日期	平原产水	其他外供	河网供水	水库供水	合计来水
2026/03/03	1.84	2.0	2.526	0.0	4.526
2026/03/04	0.0	2.0	1.463	0.0	3.463
2026/03/05	5.99	2.0	1.254	0.0	3.254
2026/03/06	0.16	2.0	1.09	0.0	3.09
2026/03/07	0.11	2.0	0.959	0.0	2.959
2026/03/08	1.03	2.0	0.866	0.0	2.866
2026/03/09	0.49	2.0	0.791	0.0	2.791
2026/03/10	1.03	2.0	0.738	0.0	2.738
2026/03/11	8.17	2.0	0.778	0.0	2.778
2026/03/12	4.22	2.0	0.823	0.0	2.823
2026/03/13	0.27	2.0	0.83	0.0	2.83
2026/03/14	0.32	2.0	0.816	0.0	2.816
2026/03/15	3.86	2.0	0.827	0.0	2.827
2026/03/16	0.0	2.0	0.809	0.0	2.809
2026/03/17	0.0	2.0	0.775	0.0	2.775
2026/03/18	0.0	2.0	0.731	0.0	2.731
2026/03/19	0.0	2.0	0.684	0.0	2.684
2026/03/20	17.74	2.0	1.159	0.0	3.159
2026/03/21	16.05	2.0	3.359	0.0	5.359
2026/03/22	0.05	2.0	1.727	0.0	3.7270000000000003
2026/03/23	0.76	2.0	1.213	0.0	3.213
2026/03/24	14.12	2.0	3.487	0.0	5.487
2026/03/25	0.05	2.0	1.823	0.0	3.823
2026/03/26	13.39	2.0	3.981	0.0	5.981
2026/03/27	15.44	2.0	5.858	0.0	7.858
2026/03/28	1.08	2.0	3.588	0.0	5.588
2026/03/29	8.44	2.0	4.368	0.0	6.368
2026/03/30	9.53	2.0	5.227	0.0	7.227
2026/03/31	0.0	2.0	2.718	0.0	4.718
2026/04/01	0.0	2.0	1.484	0.0	3.484
2026/04/02	0.0	2.0	1.21	0.0	3.21
2026/04/03	0.0	2.0	1.097	0.0	3.097
