日期	平原产水	其他外供	河网供水	水库供水	合计来水	农业需水	其他生态需水	非农需水	需水量	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量	水位生态需水	本地可供水量
2025/09/05	0.0	0.0	2.526	4.407	6.933	84.79	0.0	1.3781	86.16810000000001	0.0	86.16810000000001	-79.23510000000002	2858.7	2856.245	2777.0099	2856.245	2856.245	0.0	0.0	79.23510000000002	0.0	0.0	3497.0	0.0	-79.23510000000002	-79.23510000000002	149.7550000000001	690.2449999999999	2856.245	0.0	6.933
2025/09/06	0.0	0.0	1.463	4.407	5.87	47.87	0.0	1.3781	49.2481	0.0	49.2481	-43.3781	2858.7	2856.245	2812.8669	2856.245	2856.245	0.0	0.0	43.3781	0.0	0.0	3497.0	0.0	-43.3781	-43.3781	149.7550000000001	690.2449999999999	2856.245	0.0	5.87
2025/09/07	0.0	0.0	1.254	4.407	5.661	29.65	0.0	1.3781	31.0281	0.0	31.0281	-25.3671	2858.7	2856.245	2830.8779	2856.245	2856.245	0.0	0.0	25.3671	0.0	0.0	3497.0	0.0	-25.3671	-25.3671	149.7550000000001	690.2449999999999	2856.245	0.0	5.661
2025/09/08	0.0	0.0	1.09	4.407	5.497	62.55	0.0	1.3781	63.9281	0.0	63.9281	-58.4311	2858.7	2856.245	2797.8139	2856.245	2856.245	0.0	0.0	58.4311	0.0	0.0	3497.0	0.0	-58.4311	-58.4311	149.7550000000001	690.2449999999999	2856.245	0.0	5.497
2025/09/09	11.6	0.0	1.0	4.407	5.407	19.91	0.0	1.3781	21.2881	0.0	21.2881	-15.8811	2858.7	2856.245	2840.3639	2856.245	2856.245	0.0	0.0	15.8811	0.0	0.0	3497.0	0.0	-15.8811	-15.8811	149.7550000000001	690.2449999999999	2856.245	0.0	5.407
2025/09/10	3.67	0.0	0.927	4.407	5.334	19.91	0.0	1.3781	21.2881	0.0	21.2881	-15.9541	2858.7	2856.245	2840.2909	2856.245	2856.245	0.0	0.0	15.9541	0.0	0.0	3497.0	0.0	-15.9541	-15.9541	149.7550000000001	690.2449999999999	2856.245	0.0	5.334
2025/09/11	20.89	0.0	0.926	4.407	5.333	19.91	0.0	1.3781	21.2881	0.0	21.2881	-15.9551	2858.7	2856.245	2840.2899	2856.245	2856.245	0.0	0.0	15.9551	0.0	0.0	3497.0	0.0	-15.9551	-15.9551	149.7550000000001	690.2449999999999	2856.245	0.0	5.333
2025/09/12	0.0	0.0	0.897	4.407	5.304	0.0	0.0	1.3781	1.3781	0.0	1.3781	3.9259	2858.7	2856.245	2860.1709	2860.1709	2860.1709	0.0	0.0	0.0	0.0	0.0	3497.0	0.0	3.9259	3.9259	145.82909999999993	694.1709000000001	2860.1709	0.0	5.304
