日期	平原产水	其他外供	河网供水	水库供水	合计来水
2026/03/03	9.63	3.1706000000000008	2.953	0.0	6.123600000000001
2026/03/04	1.48	3.3466000000000005	2.777	0.0	6.123600000000001
2026/03/05	25.44	3.8736000000000006	2.25	0.0	6.123600000000001
2026/03/06	0.74	4.4076	1.716	0.0	6.123600000000001
2026/03/07	4.45	4.765600000000001	1.358	0.0	6.1236000000000015
2026/03/08	11.61	4.8626000000000005	1.261	0.0	6.123600000000001
2026/03/09	1.48	5.0676000000000005	1.056	0.0	6.123600000000001
2026/03/10	14.58	4.988600000000001	1.135	0.0	6.123600000000001
2026/03/11	32.82	4.448600000000001	1.675	0.0	6.123600000000001
2026/03/12	13.73	4.2216000000000005	1.902	0.0	6.123600000000001
2026/03/13	0.99	4.4476	1.676	0.0	6.123600000000001
2026/03/14	4.94	4.639600000000001	1.484	0.0	6.123600000000001
2026/03/15	17.36	4.4346000000000005	1.689	0.0	6.123600000000001
2026/03/16	0.0	4.659600000000001	1.464	0.0	6.1236000000000015
2026/03/17	0.0	4.967600000000001	1.156	0.0	6.123600000000001
2026/03/18	0.0	5.2456000000000005	0.878	0.0	6.123600000000001
2026/03/19	3.21	5.3486	0.775	0.0	6.123600000000001
2026/03/20	4.45	5.334600000000001	0.789	0.0	6.123600000000001
2026/03/21	57.67	2.847600000000001	3.276	0.0	6.123600000000001
2026/03/22	0.0	2.6986000000000008	3.425	0.0	6.123600000000001
2026/03/23	0.0	3.246600000000001	2.877	0.0	6.123600000000001
2026/03/24	41.0	1.4376000000000007	4.686	0.0	6.123600000000001
2026/03/25	1.23	1.6436000000000002	4.48	0.0	6.123600000000001
2026/03/26	44.33	-0.6213999999999995	6.745	0.0	6.123600000000001
2026/03/27	40.39	-4.047399999999999	10.171	0.0	6.123600000000001
2026/03/28	3.7	-1.5703999999999994	7.694	0.0	6.123600000000001
2026/03/29	20.7	-1.0203999999999995	7.144	0.0	6.123600000000001
2026/03/30	23.42	-1.298399999999999	7.422	0.0	6.123600000000001
2026/03/31	0.0	0.7626000000000008	5.361	0.0	6.123600000000001
2026/04/01	0.0	2.3956	4.158	0.0	6.5536
2026/04/02	0.0	3.4616000000000002	3.092	0.0	6.5536
2026/04/03	0.0	1.5896	2.254	0.0	3.8436
