日期	合计来水	需水量	其他生态需水	水位生态需水	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量
2025/09/05	2.526	147.1128	7.69	0.0	7.69	154.8028	-152.27679999999998	1076.45	1076.45	924.1732000000001	1076.45	1076.45	0.0	0.0	152.27679999999998	0.0	0.0	1391.0	0.0	-152.27679999999998	-152.27679999999998	81.54999999999995	570.45	1076.45
2025/09/06	1.463	109.8728	7.69	0.0	7.69	117.5628	-116.0998	1076.45	1076.45	960.3502000000001	1076.45	1076.45	0.0	0.0	116.0998	0.0	0.0	1391.0	0.0	-116.0998	-116.0998	81.54999999999995	570.45	1076.45
2025/09/07	1.254	93.5128	7.69	0.0	7.69	101.2028	-99.94879999999999	1076.45	1076.45	976.5012	1076.45	1076.45	0.0	0.0	99.94879999999999	0.0	0.0	1391.0	0.0	-99.94879999999999	-99.94879999999999	81.54999999999995	570.45	1076.45
2025/09/08	1.09	125.0428	7.69	0.0	7.69	132.7328	-131.6428	1076.45	1076.45	944.8072000000001	1076.45	1076.45	0.0	0.0	131.6428	0.0	0.0	1391.0	0.0	-131.6428	-131.6428	81.54999999999995	570.45	1076.45
2025/09/09	1.0	75.6328	7.69	0.0	7.69	83.3228	-82.3228	1076.45	1076.45	994.1272	1076.45	1076.45	0.0	0.0	82.3228	0.0	0.0	1391.0	0.0	-82.3228	-82.3228	81.54999999999995	570.45	1076.45
2025/09/10	0.927	75.6328	7.69	0.0	7.69	83.3228	-82.3958	1076.45	1076.45	994.0542	1076.45	1076.45	0.0	0.0	82.3958	0.0	0.0	1391.0	0.0	-82.3958	-82.3958	81.54999999999995	570.45	1076.45
2025/09/11	0.926	75.6328	7.69	0.0	7.69	83.3228	-82.3968	1076.45	1076.45	994.0532000000001	1076.45	1076.45	0.0	0.0	82.3968	0.0	0.0	1391.0	0.0	-82.3968	-82.3968	81.54999999999995	570.45	1076.45
2025/09/12	0.897	59.5128	7.69	0.0	7.69	67.2028	-66.30579999999999	1076.45	1076.45	1010.1442000000001	1076.45	1076.45	0.0	0.0	66.30579999999999	0.0	0.0	1391.0	0.0	-66.30579999999999	-66.30579999999999	81.54999999999995	570.45	1076.45
