水质类别,氨氮(mg/L),总磷(mg/L),高锰酸盐指数(mg/L),化学需氧量(mg/L),五日生化需氧量(mg/L)
I,0.15,0.01,2,15,3
II,0.5,0.025,4,15,3
III,1.0,0.05,6,20,4
IV,1.5,0.1,10,30,6
V,2.0,0.2,15,40,10
