水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,水浇地,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330781,兰溪市,金华市,4.5,0.0032,0.0001,0,0.0033,0,0.0011,0.0071,0,0.0003,0.0002,0.0017,0.0104,0,,,0.0005,0.0002,0.0007,0,0.0001,0.0002,0.0003,0,0.0001,0.0003,0.0004,0,0.0001,0.0001,0.0002,0,0.0153,0,,0.0153,0,0
 ,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330782,义乌市,金华市,349.1,0.1416,0.0072,0,0.1488,,0.001,0.0083,,0.0251,,0.0054,0.0398,,,,0.1409,0.1328,0.2737,,0.0251,0.2325,0.2576,,0.5283,0.1138,0.6421,,0.0474,0.0064,0.0538,,1.4158,0,,1.4158,0,0
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330782,义乌市,金华市,491.7,0.2672,0.0133,0,0.2805,,0.0014,0.0117,,0.0354,0.0001,0.0077,0.0563,,0,0.0097,0.1386,0.1328,0.2811,,0.0083,0.0771,0.0854,,0.1754,0.0378,0.2132,,0.0668,0.0091,0.0759,,0.9924,0,,0.9924,0,0
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330782,义乌市,金华市,264.2,0.1252,0.0063,0,0.1315,,0.0007,0.0064,,0.019,,0.0042,0.0303,,,,0.0712,0.0674,0.1386,,0.0086,0.0797,0.0883,,0.1813,0.0391,0.2204,,0.0358,0.005,0.0408,,0.6499,0,,0.6499,0,0
 ,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330783,东阳市,金华市,1528.8,1.2227,0.0543,0,1.277,0,0.0056,0.0213,0,0.1334,0.0003,0.0038,0.1644,0,0,0.0268,0.2217,0.112,0.3605,0,0.0105,0.1715,0.182,0.0001,0.3636,0.1344,0.498,0,0.0534,0.037,0.0904,0,2.5723,0.0001,,2.5723,0,0
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330783,东阳市,金华市,30,0.0244,0.0011,0,0.0255,0,0.0001,0.0005,0,0.0024,0,0.0001,0.0031,0,,,0.0007,0.0004,0.0011,0,0.0001,0.0017,0.0018,0,0,0.003,0.003,0,0,0.0008,0.0008,0,0.0353,0,,0.0353,0,0
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330783,东阳市,金华市,18.6,0.0163,0.0008,0,0.0171,0,0,0.0003,0,0.0013,0,0.0001,0.0017,0,,,0.001,0.0005,0.0015,0,0.0001,0.0012,0.0013,0,0,0.0019,0.0019,0,0,0.0005,0.0005,0,0.024,0,,0.024,0,0
 ,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330783,东阳市,金华市,166.5,0.1016,0.0045,0,0.1061,0,0.0007,0.0018,0,0.0147,0,0.0005,0.0177,0,,,0.0007,0.0004,0.0011,0,0.0001,0.002,0.0021,0,0,0.0035,0.0035,0,0,0.001,0.001,,0.1315,0,,0.1315,0,0
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330783,东阳市,金华市,3.1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,0,0,
 ,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330784,永康市,金华市,92.6,0.0481,0.0014,0,0.0495,0,0.0012,0.0018,0,0.0121,0,0.0003,0.0154,0.0001,,,0,0.0061,0.0061,0,0.0003,0.0041,0.0044,0,0,0.0127,0.0127,0,0,0.0058,0.0058,0,0.0939,0.0001,,0.0939,0,0
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330784,永康市,金华市,934.9,0.545,0.0144,0,0.5594,0,0.0128,0.0198,0,0.1211,0.0001,0.0027,0.1565,0.0008,0,0.0092,0.185,0.0553,0.2495,0,0.0071,0.0964,0.1035,0,0.3631,0.1424,0.5055,0,0.0703,0.0591,0.1294,0,1.7038,0.0008,,1.7038,0,0
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330784,永康市,金华市,19.5,0.0089,0.0002,0,0.0091,0,0.0003,0.0003,0,0.0025,0,0.0001,0.0032,0,,,0,0.0007,0.0007,0,0,0.0006,0.0006,0,0.0011,0.002,0.0031,0,0,0.0012,0.0012,0,0.0179,0,,0.0179,0,0
,,,,,,,,金华市,10942,6.0529,0.2675,0,6.3204,0,0.08020000000000001,0.24469999999999995,0,0.7839999999999999,0.010199999999999997,0.09579999999999997,1.2149000000000005,0.0139,0,0.4019999999999999,1.7469,0.7761999999999999,2.9251,0.0040999999999999995,0.10949999999999999,1.3597,1.4691999999999996,0.0036,2.7646999999999995,1.0023,3.7670000000000003,0,0.6067,0.1643,0.771,0,16.4676,0.021599999999999998,0,16.4676,0,0
,东南诸河,钱塘江,富春江坝址以下,,,,,金华市,1579.2,0.5603,0.043500000000000004,0,0.6038,0,0.0045000000000000005,0.05050000000000001,0,0.051699999999999996,0.0005,0.0139,0.12110000000000001,0,0,0.0294,0.24889999999999998,0.15740000000000004,0.4357,0,0.0165,0.1862,0.20269999999999996,0,0.34349999999999997,0.1328,0.4763,0,0.0657,0.0193,0.085,0,1.9246000000000003,0,0,1.9246000000000003,0,0
,东南诸河,钱塘江,富春江坝址以上,,,,,金华市,8132.5,5.1884999999999994,0.18710000000000002,0,5.3756,0,0.072,0.17879999999999996,0,0.722,0.009399999999999997,0.07659999999999999,1.0588,0.0139,0,0.37259999999999993,1.4933,0.6134999999999999,2.4794,0.0040999999999999995,0.09199999999999998,1.1593,1.2513,0.0036,2.4001,0.8283,3.2284000000000006,0,0.5327,0.1385,0.6712,0,14.0647,0.021599999999999998,0,14.0647,0,0
,东南诸河,浙南诸河,瓯江温溪以下,,,,,金华市,345.1,0.0587,0.0222,0,0.0809,0,0.0004,0.0032,0,0.0028,0,0.0008,0.0072,0,0,0,0.0019,0.003,0.004900000000000001,0,0,0.0004,0.0004,0,0.0009,0.0092,0.0101,0,0.0033,0,0.0033,0,0.1068,0,0,0.1068,0,0
,东南诸河,浙南诸河,瓯江温溪以上,,,,,金华市,885.2,0.24539999999999998,0.014700000000000001,0,0.2601,0,0.0032999999999999995,0.0122,0,0.0075,0.0003,0.0045000000000000005,0.027800000000000002,0,0,0,0.0028,0.0023,0.0050999999999999995,0,0.001,0.0138,0.0148,0,0.0202,0.032,0.052199999999999996,0,0.005,0.0065,0.0115,0,0.37150000000000005,0,0,0.37150000000000005,0,0
,,,,,,,婺城区,金华市,1392,0.9207000000000001,0.0128,0,0.9335,0,0.0387,0.036199999999999996,0,0.1187,0.0043,0.0165,0.2144,0.0039,0,0.0293,0.22840000000000002,0.0667,0.3244,0.0003,0.0164,0.29109999999999997,0.3075,0.001,0.4293,0.0953,0.5246,0,0.13779999999999998,0,0.13779999999999998,0,2.4422,0.0052,0,2.4422,0,0
,,,,,,,金东区,金华市,658,0.2906,0.0074,0,0.298,0,0.0014,0.0163,0,0.0608,0.0019,0.0131,0.0935,0.0043,0,0.0069,0.1069,0.0307,0.1445,0,0.0114,0.1318,0.1432,0,0.158,0.0846,0.2426,0,0.0855,0,0.0855,0,1.0073,0.0043,0,1.0073,0,0
,,,,,,,武义县,金华市,1568,0.7601,0.0274,0,0.7875,0,0.006699999999999999,0.0288,0,0.0324,0.0007999999999999999,0.010499999999999999,0.0792,0,0,0.0067,0.1965,0.002,0.2052,0,0.0053,0.0606,0.0659,0.0015,0.181,0.0946,0.2756,0,0.0264,0.013999999999999999,0.0404,0,1.4538000000000002,0.0015,0,1.4538000000000002,0,0
,,,,,,,浦江县,金华市,918,0.2904,0.023,0,0.3134,0,0.0019,0.0332,0,0.015,0.0003,0.007,0.05740000000000001,0,0,0.0294,0.1699,0.0806,0.2799,0,0.0069,0.0923,0.0992,0,0.15209999999999999,0.0771,0.22920000000000001,0,0.0281,0.0127,0.0408,0,1.0199,0,0,1.0199,0,0
,,,,,,,磐安县,金华市,1195,0.1867,0.07110000000000001,0,0.25780000000000003,0,0.0008,0.0091,0,0.007600000000000001,0,0.0023,0.019799999999999998,0,0,0.0015,0.013800000000000002,0.0196,0.0349,0,0.0034000000000000002,0.0426,0.04599999999999999,0,0.050199999999999995,0.0389,0.08910000000000001,0,0.009099999999999999,0,0.009099999999999999,0,0.4567,0,0,0.4567,0,0
,,,,,,,兰溪市,金华市,1312,1.1034000000000002,0.022299999999999997,0,1.1257000000000001,0,0.0069,0.048900000000000006,0,0.1825,0.0024,0.0215,0.2622,0.0048000000000000004,0,0.2825,0.2716,0.06820000000000001,0.6223000000000001,0.0037999999999999996,0.0059,0.07450000000000001,0.0804,0.001,0.1813,0.1212,0.30250000000000005,0,0.0461,0.011699999999999999,0.0578,0,2.4509,0.0096,0,2.4509,0,0
,,,,,,,义乌市,金华市,1105,0.534,0.026799999999999997,0,0.5608,0,0.0031000000000000003,0.0264,0,0.0795,0.0001,0.0173,0.1264,0,0,0.0097,0.35069999999999996,0.333,0.6934,0,0.041999999999999996,0.3893,0.43129999999999996,0,0.885,0.1907,1.0756999999999999,0,0.15,0.0205,0.17049999999999998,0,3.0581,0,0,3.0581,0,0
,,,,,,,东阳市,金华市,1746.9999999999998,1.3649999999999998,0.0607,0,1.4257,0,0.0064,0.0239,0,0.1518,0.0003,0.0045000000000000005,0.18689999999999998,0,0,0.0268,0.22410000000000002,0.1133,0.36419999999999997,0,0.010799999999999999,0.17640000000000003,0.18719999999999998,0.0001,0.3636,0.1428,0.5064,0,0.0534,0.0393,0.09269999999999999,0,2.7630999999999997,0.0001,0,2.7630999999999997,0,0
,,,,,,,永康市,金华市,1047,0.6020000000000001,0.015999999999999997,0,0.618,0,0.0143,0.021900000000000003,0,0.1357,0.0001,0.0031,0.1751,0.0009000000000000001,0,0.0092,0.185,0.0621,0.2563,0,0.0074,0.10110000000000001,0.1085,0,0.36419999999999997,0.1571,0.5213,0,0.0703,0.0661,0.1364,0,1.8156,0.0009000000000000001,0,1.8156,0,0
