序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计
183,丽水市,缙云县,瓯江温溪以下,楠溪江,6,82.5,0,0.7479,0.7479,0.546,1.036,3.336,4.918,0,0.078,0,0.078,0,0,0.6959,0.5615,0.28,0,0,0.28,0.15,0,0,0,0,0,0.9684,0.9684,0.0098,0.0062,0.0031,0,,0,0.0191,0,0,0,0,0,0,0,0,0.0191,0,0.0147,0,0,0.0147,0,0,0,0,0,0,0.0003,0.0003,0,0,0.0023,0.0001,0,0.0001,0,0,0,0,0,0,0.0031,0.0031,0,0,0.0009,0.0009,0,0.0191,0,0,0.0191
184,丽水市,遂昌县,富春江坝址以上,衢江下游,6,1822,1.6216,4.4942,6.1158,10.277,32.0096,37.4518,79.7384,0,5.94,0,5.94,0,0,12.83,10.32,8.92,0.31,0,9.23,4.42,0.0321,0.283,0,0.18,0.12,3.89,4.01,0.1911,0.1956,0.0058,0,,0,0.3925,0,0,0,0,0,0,0,0,0.3925,0,0.319,0.0036,0,0.3226,0,0.0001,0.0007,0,0.0093,0.0006,0.0009,0.0116,0,0,0.0023,0.0055,0.0096,0.0151,0,0.0022,0.0101,0.0123,0,0.0074,0.0168,0.0242,0,0.0033,0.0034,0.0067,0,0.3925,0,0,0.3925
185,丽水市,遂昌县,富春江坝址以上,金华江下游,6,27.5,0,0.0285,0.0285,0.15,0,0,0.15,0,0,0,0,0,0,0.22,0.03,0.02,0.01,0,0.03,0.01,0,0,0,0,0,0,0,0.0006,0.0002,0,0,,0,0.0008,0,0,0,0,0,0,0,0,0.0008,0,0.0006,0.0001,0,0.0007,0,0,0,0,0,0,0,0,0,0,0.0023,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0,0,0,0,0,0.0008,0,0,0.0008
186,丽水市,遂昌县,瓯江温溪以上,大溪,6,689.5,9.4952,3.6605,13.1557,4.0288,42.3195,54.8326,101.1809,0,55.66,0,55.66,0,0,5.15,4.32,3.97,0.02,0,3.99,1.99,0.0684,0.5615,0,0.21,0.04,2.39,2.43,0.2381,0.0893,0.0276,0,,0,0.355,0,0,0,0,0.0153,0,0,0.0153,0.3703,0,0.1377,0.0002,0,0.1379,0,0.0003,0.0013,0,0.0102,0.0002,0.0006,0.0126,0,0,0.0023,0.0822,0.0234,0.1056,0,0.0052,0.0348,0.04,0,0.0435,0.0141,0.0576,0,0.0146,0.002,0.0166,0,0.3703,0,0,0.3703
187,丽水市,松阳县,瓯江温溪以上,大溪,6,1406,10.52,9.78,20.3,14.444,62.6901,76.8557,153.9898,0.13,51.1013,0,51.2313,0,1.5,11.68,11.68,9.7,1.98,0,11.68,4.05,0,2.72,0,0.1095,0.1616,5.1436,5.3052,0.2488,0.3135,0.0344,0,,0,0.5967,0.0003,0,0,0.0003,0.0092,0,0,0.0092,0.6062,0,0.298,0.015,0,0.313,0,0,0.0108,0,0.0049,0.0005,0.0028,0.019,0,0,0.0023,0.0748,0,0.0788,0.0003,0.0063,0.0555,0.0618,0,0.0621,0.0476,0.1097,0,0.0239,0,0.0239,0,0.6062,0.0003,0,0.6062
188,丽水市,云和县,瓯江温溪以上,大溪,6,819.7,9.39,2.8112,12.2012,4.619,49.658,41.38,95.657,0,43.86,0,43.86,0,0,8.5724,8.5724,7.2238,0.8802,0,8.104,1.61,0,0.485,0,0.03,0.1642,2.5746,2.7388,0.3533,0.0295,0.0005,0,,0,0.3833,0,0,0,0,0.0123,0,0,0.0123,0.3956,0,0.2352,0.005,0,0.2402,0,0,0.0029,0,0.0013,0.0005,0.0008,0.0055,0,0,0.0023,0.0322,0,0.0322,0,0.0034,0.0331,0.0365,0,0.0493,0.0139,0.0632,0,0.0145,0.0035,0.018,0,0.3956,0,0,0.3956
189,丽水市,云和县,瓯江温溪以上,小溪及瓯江青田段,6,164.3,0,0.3988,0.3988,1.065,0,6.979,8.044,0,0,0,0,0,0,1.6576,1.6576,1.3906,0.1694,0,1.56,0.46,0,0.097,0,0,0.0124,0.2759,0.2883,0.0462,0.0037,0,0,,0,0.0499,0,0,0,0,0,0,0,0,0.0499,0,0.0472,0.001,0,0.0482,0,0,0.0003,0,0,0.0001,0.0003,0.0007,0,0,0.0023,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0.0499,0,0,0.0499
190,丽水市,庆元县,瓯江温溪以上,大溪,6,64,0.8125,0.4187,1.2312,0.791,2.422,6.588,9.801,0,0,0,0,0,0,1.535,1.4141,1.08,0.09,0,1.17,0.46,0,0,0,0,0,0,0,0.0093,0.0471,0,0,,0,0.0564,0,0,0,0,0,0,0,0,0.0564,0,0.0489,0.0012,0,0.0501,0,0,0,0,0,0,0,0,0,0,0.0023,0,0,0,0,0.0005,0.0005,0.001,0,0.0035,0.0018,0.0053,0,0,0,0,0,0.0564,0,0,0.0564
191,丽水市,庆元县,瓯江温溪以上,小溪及瓯江青田段,6,546.7,2.168,1.1321,3.3001,1.694,9.127,13.497,24.318,0,2.97,0,2.97,0,0,4.9318,4.5433,2.25,0.49,0,2.74,0.85,0,0,0,0,0.091,1.437,1.528,0.0454,0.0846,0,0,,0,0.13,0,0,0,0,0,0,0,0,0.13,0,0.1049,0.0067,0,0.1116,0,0,0,0,0,0.0003,0.0004,0.0007,0,0,0.0023,0.0016,0,0.0016,0,0.0007,0.0014,0.0021,0,0.0092,0.0048,0.014,0,0,0,0,0,0.13,0,0,0.13
192,丽水市,庆元县,闽东诸河,闽东诸河,6,247.3,1.2547,0.4674,1.7221,1.376,4.047,7.985,13.408,0,0,0,0,0,0,2.7927,2.5727,1.2,0.209,0,1.409,0.51,0,0,0,0,0,0.8598,0.8598,0.0216,0.0481,0,0,,0,0.0697,0,0,0,0,0,0,0,0,0.0697,0,0.0575,0.003,0,0.0605,0,0,0,0,0,0,0.0003,0.0003,0,0,0.0023,0,0,0,0,0.0005,0.001,0.0015,0,0.0054,0.002,0.0074,0,0,0,0,0,0.0697,0,0,0.0697
