序号,所属流域_z,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
69,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330402,南湖区,嘉兴市,439,77.25,10.51,87.76,14.99,455.96,531.19,1002.14,0.42,297,98.08,395.5,0,7,24.19,22.32,17.66,1.33,0,18.99,10.29,,2.8,,0.44,,162.76,162.76
70,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330411,秀洲区,嘉兴市,548,49.26,21.9,71.16,19.48,465.33,419.24,904.05,7.05,346.12,64.86,418.03,0,20.3,31.25,27.92,21.66,1.87,,23.53,15.41,,0.85,,3.81,0.17,111.19,111.36
71,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330421,嘉善县,嘉兴市,507,49.98,16.46,66.44,23.72,516.31,368.19,908.22,3.43,413.41,62.61,479.45,0,11.1,29.76,28.97,28.47,0,0,28.47,14.53,0,0.68,0,3.26,0,52.29,52.29
72,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330424,海盐县,嘉兴市,530.8,31.58,15.51,47.09,20.13,384.75,263.51,668.39,110.59,218.15,31.86,360.6,0,109.45,33.64,31.67,20.17,3.37,0,23.54,14.44,0.1,3.87,,2.36,0,898.73,898.73
73,东南诸河,钱塘江,富春江坝址以下,钱塘江河口水域,G010250,330424,海盐县,嘉兴市,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330481,海宁市,嘉兴市,730.4,79,31.68,110.68,20.78,754.81,542.72,1318.31,5.61,533.6,138.82,678.03,0,134,34.06,30.38,22.84,3.35,0,26.19,12.7,0,8.34,0,2.5,0,551.03,551.03
75,东南诸河,钱塘江,富春江坝址以下,钱塘江河口水域,G010250,330481,海宁市,嘉兴市,132.6,,,0,,,,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330482,平湖市,嘉兴市,554,47.84,21.38,69.22,16.24,594.86,397.65,1008.75,25.45,502.54,28.03,556.02,0,542,36.51,34.69,25.73,1.87,0,27.6,19.26,0,0.25,0,1.35,0,79.86,79.86
77,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330483,桐乡市,嘉兴市,727,73.57,32.48,106.05,25.82,604.82,621.95,1252.59,8.26,461.92,55.33,525.51,0,59.75,38,36.07,26.64,4.75,0,31.39,13.64,0.57,6.5,,2.13,0,276.44,276.44
