序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计,col_37,col_38,zjszyreport,12.0
56,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330326,平阳县,温州市,832.3,40.0079,24.0569,64.0648,14.5078,170.7265,212.7805,398.0148,5.6918,63.2911,79.7171,148.7,0,1.2,40,17.3973,17.22,,0.14,17.36,9.585,0.23,0.24,1.19,0.2483,0.3219,7.387,7.7089,,,,
57,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330327,苍南县,温州市,956.31,54.4208,20.7777,75.1985,25.8249,116.74,189.3536,331.9185,,28.84,39.56,68.4,0,0,40.9,20.377,19.6,,0.5215,20.1215,11.0619,2.6,2.2,,0.0763,0.2516,9.876,10.1276,,,,
58,东南诸河,闽东诸河,闽东诸河,闽东诸河,G040100,330327,苍南县,温州市,112.7,3.0991,6.0983,9.1974,2.19,11.18,17.8,31.17,,2.2199,3.2888,5.5087,,,2.63,1.665,1.34,,0.3507,1.6907,0,0.19,0.1,,,0.086,3.24,3.326,,,,
59,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,330328,文成县,温州市,104.9,,0.25,0.25,,,,0,,,,0,,,1.55,0.9,0.12,,,0.12,0,0,0,,,0,0,0,,,,
60,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330328,文成县,温州市,1170.4,12.5054,16.0614,28.5668,9.7085,28.337,73.9694,112.0149,,2.9954,8.8046,11.8,,,38,12,6.5,,1.5,8,5.0872,0,0.84,,,0.1162,2.204,2.3202,,,,
61,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330328,文成县,温州市,20.7,,,0,,,,0,,,,0,,,0,,,,,0,,,,,,0,0,0,,,,
62,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330329,泰顺县,温州市,863.3,5.8238,7.073,12.8968,5.1,20.82,38.6112,64.5312,,1.1994,3.8055,5.0049,,,19,5.2494,3.7501,,0.2486,3.9987,4.6163,0,0.22,,,0.1212,2.715,2.8362,,,,
63,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330329,泰顺县,温州市,36.6,0.25,0.25,0.5,,,,0,,,,0,,,0.24,0.2867,0.2,,0.0068,0.2068,0,0,0,,,,0.308,0.308,,,,
64,东南诸河,闽东诸河,闽东诸河,闽东诸河,G040100,330329,泰顺县,温州市,868.1,5.8502,7.3503,13.2005,4.56,16.94,35.96,57.46,,1.1739,3.7261,4.9,,,19,8.7589,5.8031,,0.51,6.3131,2,0,0.01,,,0.0985,2.732,2.8305,,,,
65,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330381,瑞安市,温州市,1340.9,101.2484,50.7562,152.0046,25.8173,464.5871,546.6868,1037.0912,3.97,196.07,188.18,388.22,0,4.4,57.61,29.2803,15.84,7.76,3.58,27.18,10.7616,3.825,3.765,,0.2326,0.4412,8.424,8.8652,,,,
66,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330381,瑞安市,温州市,9.1,,,0,,,,0,,,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,,,,
67,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,330382,乐清市,温州市,30.9,,,0,,,,0,,,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,,,,
68,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330382,乐清市,温州市,1354.1,94.9823,50.3267,145.309,21.2268,591.8466,649.9325,1263.0059,58.6,299.88,188.52,547,315,2.4,39.84,26.61,23.1309,,2.965,26.0959,14.4535,6,3,,,0.4959,6.861,7.3569,,,,
69,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330383,龙港市,温州市,183.99,45.025,1.4445,46.4695,9.0157,144.6061,162.7832,316.405,9.33,57.47,70.8,137.6,0,1.9,10,7.5,6.9,,0.6,7.5,4,,1,,,0,0,0,,,,
