序号,市,县（市、区）,水资源分区,nan,水资源利用分区,nan,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水
99,绍兴市,新昌县,瓯江温溪以下,始丰溪,2,0.0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,绍兴市,诸暨市,富春江坝址以上,金华江上游,3,0.0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,绍兴市,诸暨市,富春江坝址以下,富春江下游段,3,0.0,114.4,1.53,0.74,2.27,1.3742,2.9975,3.9089,8.2806,0,0,0,0,0,0,1.31,1.31,0.79,0.22,0,1.01,0.7,0,0,0,0,0,0,0,0.0097,0.0281,0.0065,0,,0,0.0443,0,0,0,0,0,0,0,0,0.0443,0,0.0306,0.004,0,0.0346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0066,0.0031,0.0097,0,0,0,0,0,0.0443,0,0,0.0443,0,0,0
102,绍兴市,诸暨市,富春江坝址以下,浦阳江,3,0.0,2185.1,76,43.63,119.63,56.1675,806.2845,788.1093,1650.5613,1.3941,350.3453,323.9339,675.6733,0,8.4,47.31,47.31,32.69,6.72,0,39.41,21.9,1.3,22.1,0,3.4,0.3614,42.7,43.0614,1.2182,1.8247,0.5248,0,,0,3.5677,0.0076,0,0,0.0076,0.1311,0,0,0.1311,3.7064,0,1.2389,0.1275,0,1.3664,0.0015,0.0134,0.2435,0,0.5587,0.0012,0.0281,0.8449,0,0,0.0375,0.2894,0.1378,0.4647,0.0003,0.0606,0.227,0.2876,0,0.3617,0.1842,0.5459,0.0058,0.1646,0.0323,0.1969,0,3.7064,0.0076,0,3.7064,0,0,0
103,绍兴市,嵊州市,富春江坝址以下,曹娥江百官以上,2,0.0,1779.2,40.64,28.36,69,44.5183,330.5243,336.0331,711.0757,3.7156,147.7606,137.5611,289.0373,0,11.95,35.73,35.73,26.73,9,0,35.73,15.1,1.28,7.6,0,0.23,0.1323,77.9,78.0323,0.7278,1.3511,0.2117,0,,0,2.2906,0.0225,0,0,0.0225,0.1146,0,0,0.1146,2.4277,0,1.1694,0.1531,0,1.3225,0.003,0.0128,0.0907,0,0.0408,0.0004,0.0512,0.1959,0,0,0.0423,0.0988,0.1556,0.2967,0.0014,0.0372,0.0951,0.1323,0.0094,0.229,0.1594,0.3884,0.0087,0.08,0.0119,0.0919,0,2.4277,0.0225,0,2.4277,0,0,0
104,绍兴市,嵊州市,浙东沿海诸河,奉化江及甬江干流,2,0.0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,绍兴,绍北供水区,越城区,,,,643,93.91,18.29,112.2,17.4767,547.3796,706.1821,1271.0384,5.5534,405.6429,2.3365,413.5328,0,7.2,28.8,28.8,19.87,3.66,0,23.53,7.1,3.5,9.7,0,3.0999999999999996,0.6,14.6,15.2,1.2513999999999998,1.1106,0.6508,0,,0,3.0128000000000004,0.0012000000000000001,0,0,0.0012000000000000001,0.1417,0,0,0.1417,3.1557,1.5779,0.8916999999999999,0.0608,0,0.9525,0.0009000000000000001,0.035,0.1361,0,0.4646,0,0.009600000000000001,0.6473,0,0,0.0269,0.5191,0.1099,0.6558999999999999,0,0.1206,0.0832,0.2038,0,0.42969999999999997,0.082,0.5117,0.0003,0.15569999999999998,0.0288,0.1845,0,3.1557,0.0012000000000000001,1.5779,4.7336,0,0,0
,绍兴,,柯桥区,,,,1066,92.74000000000001,18.86,111.60000000000001,42.34780000000001,970.567,888.4452,1901.36,30.3255,578.4207000000001,232.20340000000002,840.9495999999999,0,106.5,14.32,14.32,12.08,2.24,0,14.32,11.62,1.1,12.6,0,1.1,0.0011,15.5,15.5011,1.3997,1.003,1.72,0,,0,4.1227,0.0105,0,0,0.0105,0.1725,0,0,0.1725,4.3057,0,0.4941,0.028999999999999998,0,0.5231,0.0005,0.0115,0.126,0,0.1716,0,0.0104,0.3196,0,0,0.4159,1.7253,0.1953,2.3364999999999996,0,0.07780000000000001,0.32530000000000003,0.40309999999999996,0,0.5113,0.0987,0.61,0.01,0.09849999999999999,0.014899999999999998,0.1134,0,4.3057,0.0105,0,4.3057,0,0,0
,绍兴,,上虞区,,,,1256,55.06,24.74,79.8,56.332800000000006,647.7064,537.7221,1241.7613,14.2891,513.1608,22.2429,549.6928,0,22.1,29.6,29.6,15.489999999999998,5.45,0,20.939999999999998,22.799999999999997,0.48000000000000004,2.6,0,0.8999999999999999,0.0424,21.7,21.7424,1.0333,0.6335,0.514,0,,0,2.1807999999999996,0.0066,0,0,0.0066,0.12090000000000001,0,0,0.12090000000000001,2.3083,0,0.7963,0.1125,0,0.9088,0.0049,0.0048000000000000004,0.0155,0,0.123,0.0001,0.0142,0.15760000000000002,0,0,0.084,0.3371,0.12050000000000001,0.5416000000000001,0,0.039400000000000004,0.16499999999999998,0.2044,0,0.2865,0.1197,0.4062,0.0017000000000000001,0.0771,0.0126,0.0897,0,2.3083,0.0066,0,2.3083,0,0,0
,绍兴,嵊新供水区,嵊州市,,,,1789,40.64,28.36,69,44.5183,330.5243,336.0331,711.0757,3.7156,147.7606,137.5611,289.0373,0,11.95,35.73,35.73,26.73,9,0,35.73,15.1,1.28,7.6,0,0.23,0.1323,77.9,78.0323,0.7278,1.3511,0.2117,0,,0,2.2906,0.0225,0,0,0.0225,0.1146,0,0,0.1146,2.4277,0,1.1694,0.1531,0,1.3225,0.003,0.0128,0.0907,0,0.0408,0.0004,0.0512,0.1959,0,0,0.0423,0.0988,0.1556,0.2967,0.0014,0.0372,0.0951,0.1323,0.0094,0.229,0.1594,0.3884,0.0087,0.08,0.0119,0.0919,0,2.4277,0.0225,0,2.4277,0,0,0
,绍兴,,新昌县,,,,1214,26.05,14.75,40.8,25.2298,290.628,248.8962,564.754,1.6755,175.4851,81.819,258.9796,0,4.2,25.47,25.47,12.53,8.07,0,20.6,4.4,1.11,1.3,0,0.19,0.1037,12.5,12.6037,0.7432,0.3328,0.2949,0,,0,1.3709,0.0061,0,0,0.0061,0.0462,0,0,0.0462,1.4232,0,0.6156,0.1647,0,0.7803,0.001,0.01,0.0079,0,0.0238,0.0003,0.0083,0.0503,0,0,0.0143,0.1302,0.0309,0.1754,0.0001,0.0315,0.0887,0.1202,0,0.1522,0.0854,0.2376,0.005,0.0516,0.0078,0.0594,0,1.4232,0.0061,0,1.4232,0,0,0
,绍兴,诸暨供水区,诸暨区,,,,2311,77.53,44.370000000000005,121.89999999999999,57.5417,809.2819999999999,792.0182,1658.8419000000001,1.3941,350.3453,323.9339,675.6733,0,8.4,48.620000000000005,48.620000000000005,33.48,6.9399999999999995,0,40.419999999999995,22.599999999999998,1.3,22.1,0,3.4,0.3614,42.7,43.0614,1.2279,1.8528,0.5313,0,,0,3.6119999999999997,0.0076,0,0,0.0076,0.1311,0,0,0.1311,3.7506999999999997,0,1.2694999999999999,0.1315,0,1.401,0.0015,0.0134,0.2435,0,0.5587,0.0012,0.0281,0.8449,0,0,0.0375,0.2894,0.1378,0.4647,0.0003,0.0606,0.227,0.2876,0,0.3683,0.1873,0.5556000000000001,0.0058,0.1646,0.0323,0.1969,0,3.7506999999999997,0.0076,0,3.7506999999999997,0,0,0
