序号,市,县（市、区）,水资源分区,nan,水资源利用分区,nan,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水
38,宁波市,象山县,浙东沿海诸河,象山港及三门湾,2,0.0,1382,36,21.6,57.6,98.45,273.75,347.84,720.04,13.34,192.37,0,205.71,240,3.75,35.05,20.51,18.05,2.14,0,20.19,6.99,1.422,9.213,0,2.03,0.1723,30.8567,31.029,1.1482,0.1982,0.2121,0,,0,1.5585,0,0,0,0,0.0073,0.0001,0.0005,0.0079,1.5664,0.051,0.5686,0.0157,0,0.5843,0,0.01,0.022,0,0.1421,0.0005,0.0112,0.1858,0,0.0342,0.0077,0.1326,0.0529,0.2274,0,0.0151,0.1915,0.2066,0,0.2188,0.1225,0.3413,0,0.019,0.002,0.021,0,1.5664,0,0.051,1.6174,0,0,0
39,宁波市,宁海县,浙东沿海诸河,奉化江及甬江干流,2,0.0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,宁波市,宁海县,浙东沿海诸河,象山港及三门湾,2,0.0,1840.2,45.2,25.7,70.9,54.52,436.49,409.71,900.72,34.45,352.11,0,386.56,452,2.5,32.11,32.11,24.554,0.491,0,25.045,9.02,0.8475,6.4515,0,1.5,0.4965,20.9792,21.4757,1.6551,0.059,0.084,0,,0,1.7981,0.0011,0,0,0.0011,0,0,0,0,1.7992,0.169,0.7514,0.0046,0,0.756,0,0.0059,0.0135,0,0.105,0.0014,0.0092,0.135,0,0.071,0.0048,0.122,0.0563,0.2541,0.0004,0.017,0.1652,0.1822,0.0007,0.2867,0.1347,0.4214,0,0.04,0.0105,0.0505,0,1.7992,0.0011,0.169,1.9682,0,0,0
41,宁波市,余姚市,富春江坝址以下,曹娥江百官以上,2,0.0,106.7,0.38,1.29,1.67,0.106,0.6,1.466,2.172,0,0,0,0,0,0,1.35,1.35,0.284,0.192,0,0.476,0.52,0.7,0.47,0,0,0.161,0.69,0.851,0.0248,0,0.0091,0,,0,0.0339,0,0,0,0,0,0,0,0,0.0339,0,0.0102,0.0016,0,0.0118,0,0.0049,0.0024,0,0,0.0005,0.0003,0.0081,0,0,0,0,0,0,0,0.0013,0.0013,0.0026,0,0.0019,0.0063,0.0082,0,0.0021,0.0011,0.0032,0,0.0339,0,0,0.0339,0,0,0
42,宁波市,余姚市,浙东沿海诸河,姚江,2,0.0,1236.7,102.06,20.71,122.77,53.442,895.86,558.017,1507.319,3.64,840.65,0,844.29,0,87.16,38.05,38.05,25.32,10.952,0,36.272,15.78,4.35,1.804,0,2.48,0.325,27.6632,27.9882,1.924,0.15,0.6241,0.35,,0,3.0481,0,0,0,0,0.0166,0.0016,0,0.0182,3.0663,0.459,1.1318,0.1022,0,1.234,0,0.0305,0.0101,0,0.1736,0.0006,0.0103,0.2251,0,0,0.0316,0.4694,0.0875,0.5885,0,0.0231,0.3277,0.3508,0,0.5289,0.1034,0.6323,0,0.0244,0.0112,0.0356,0,3.0663,0,0.459,3.5253,0,0,0
43,宁波市,余姚市,浙东沿海诸河,奉化江及甬江干流,2,0.0,157.6,0.36,1.6,1.96,0.212,1.81,2.077,4.099,0,0,0,0,0,0,2.38,2.38,0.97,1.41,0,2.38,1.25,0.275,0.45,0,0,0.137,1.05,1.187,0.0643,0,0.0181,0,,0,0.0824,0,0,0,0,0,0,0,0,0.0824,0,0.0488,0.0145,0,0.0633,0,0.0019,0.0022,0,0,0.0003,0.0003,0.0047,0,0,0,0,0,0,0,0.0009,0.0016,0.0025,0,0.0017,0.0067,0.0084,0,0.0024,0.0011,0.0035,0,0.0824,0,0,0.0824,0,0,0
44,宁波市,慈溪市,浙东沿海诸河,姚江,2,0.0,1361,149.4,37.1,186.5,66.01,1531.35,924.23,2521.59,0.762,1423.708,0,1424.47,0,12.7,49.65,49.65,10.42,35.32,0,45.74,9.5744,2.1705,8.1405,0,2.429,0.1042,47.7612,47.8654,1.4458,0.1176,0.82,0.6554,,0,3.0388,0,0,0,0,0.0817,0,0,0.0817,3.1205,1.955,0.4376,0.3386,0,0.7762,0,0.0135,0.0527,0,0.153,0.0004,0.012,0.2316,0,0,0.0785,0.5217,0.3224,0.9226,0,0.0561,0.1948,0.2509,0,0.7085,0.1671,0.8756,0,0.0463,0.0173,0.0636,0,3.1205,0,1.955,5.0755,0,0,0
,宁波,宁波城市供水区,中心城区,,,,2461,389.09999999999997,72.7,461.8,73.0893,3703.1153,5325.3002,9101.504799999999,70.35,3135.8200000000006,97.25999999999999,3303.4300000000003,500,443.3,65.655,57.245000000000005,44.0217,9.147300000000001,0,53.169000000000004,19.21,3.0409999999999995,6.140000000000001,0,0.7748,0.7477,15.3421,16.089800000000004,5.814499999999999,0.4010000000000001,3.4596,0.7819,,0,10.456999999999999,0.0050999999999999995,0,0,0.0050999999999999995,0.3944,0.0002,0,0.39459999999999995,10.8567,3.042,1.6329,0.0957,0,1.7286000000000006,0,0.0214,0.035100000000000006,0,0.0528,0.0026999999999999997,0.0058,0.1178,0,0.0828,0.46799999999999997,3.3575999999999997,0.4023,4.310700000000001,0.0050999999999999995,0.15899999999999997,1.4263000000000001,1.5853,0,2.3073,0.4055000000000001,2.7127999999999997,0,0.30929999999999996,0.0922,0.4015,0,10.8567,0.0050999999999999995,3.042,13.8987,0,0,0
,宁波,,奉化区,,,,1268,35.7,22.9,58.6,35.980000000000004,547.37,323.92999999999995,907.28,0,492.84999999999997,0,492.84999999999997,0,0,18.509999999999998,18.509999999999998,16.66,1.8499999999999999,0,18.509999999999998,6.32,8.7045,4.390499999999999,0,0.108,0.095,17.5901,17.6851,1.1219999999999999,0.1983,0.3295,0,,0,1.6498,0.0012,0,0,0.0012,0,0,0,0,1.651,0.325,0.6924,0.0177,0,0.7101,0,0.061,0.0168,0,0.0076,0.00039999999999999996,0.0097,0.0955,0,0,0,0.178,0.0841,0.2621,0.0008,0.028700000000000003,0.166,0.1947,0.0004,0.2315,0.1331,0.36460000000000004,0,0.013,0.011,0.024,0,1.651,0.0012,0.325,1.976,0,0,0
,宁波,余慈供水区,余姚市,,,,1501,102.8,23.6,126.39999999999999,53.760000000000005,898.27,561.5600000000001,1513.59,3.64,840.65,0,844.29,0,87.16,41.78,41.78,26.573999999999998,12.554,0,39.128,17.55,5.325,2.724,0,2.48,0.623,29.403200000000002,30.0262,2.0131,0.15,0.6513,0.35,,0,3.1643999999999997,0,0,0,0,0.0166,0.0016,0,0.0182,3.1826,0.459,1.1907999999999999,0.1183,0,1.3091,0,0.0373,0.0147,0,0.1736,0.0014,0.0109,0.2379,0,0,0.0316,0.4694,0.0875,0.5885,0,0.0253,0.3306,0.3559,0,0.5325000000000001,0.1164,0.6488999999999999,0,0.028900000000000002,0.0134,0.042300000000000004,0,3.1826,0,0.459,3.6416,0,0,0
,宁波,,慈溪市（含杭州湾新区）,,,,1361,149.4,37.1,186.5,66.01,1531.35,924.23,2521.59,0.762,1423.708,0,1424.47,0,12.7,49.65,49.65,10.42,35.32,0,45.74,9.5744,2.1705,8.1405,0,2.429,0.1042,47.7612,47.8654,1.4458,0.1176,0.82,0.6554,,0,3.0388,0,0,0,0,0.0817,0,0,0.0817,3.1205,1.955,0.4376,0.3386,0,0.7762,0,0.0135,0.0527,0,0.153,0.0004,0.012,0.2316,0,0,0.0785,0.5217,0.3224,0.9226,0,0.0561,0.1948,0.2509,0,0.7085,0.1671,0.8756,0,0.0463,0.0173,0.0636,0,3.1205,0,1.955,5.0755,0,0,0
,宁波,宁象供水区,宁海县,,,,1843,45.2,25.7,70.9,54.52,436.49,409.71,900.72,34.45,352.11,0,386.56,452,2.5,32.11,32.11,24.554,0.491,0,25.045,9.02,0.8475,6.4515,0,1.5,0.4965,20.9792,21.4757,1.6551,0.059,0.084,0,,0,1.7981,0.0011,0,0,0.0011,0,0,0,0,1.7992,0.169,0.7514,0.0046,0,0.756,0,0.0059,0.0135,0,0.105,0.0014,0.0092,0.135,0,0.071,0.0048,0.122,0.0563,0.2541,0.0004,0.017,0.1652,0.1822,0.0007,0.2867,0.1347,0.4214,0,0.04,0.0105,0.0505,0,1.7992,0.0011,0.169,1.9682,0,0,0
,宁波,,象山县,,,,1382,36,21.6,57.6,98.45,273.75,347.84,720.04,13.34,192.37,0,205.71,240,3.75,35.05,20.51,18.05,2.14,0,20.19,6.99,1.422,9.213,0,2.03,0.1723,30.8567,31.029,1.1482,0.1982,0.2121,0,,0,1.5585,0,0,0,0,0.0073,0.0001,0.0005,0.0079,1.5664,0.051,0.5686,0.0157,0,0.5843,0,0.01,0.022,0,0.1421,0.0005,0.0112,0.1858,0,0.0342,0.0077,0.1326,0.0529,0.2274,0,0.0151,0.1915,0.2066,0,0.2188,0.1225,0.3413,0,0.019,0.002,0.021,0,1.5664,0,0.051,1.6174,0,0,0
