序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计
45,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330302,鹿城区,温州市,289.9,1.3317,0.3144,0.2633,0,,0,1.9094,0,0,0,0,0,0,0,0,1.9094,1.0471,2.9565,0,0.3141,0,0.733,0,0,1.0471
46,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330303,龙湾区,温州市,332.8,0.9713,0.2912,0.1971,0,,0,1.4596,0,0,0,0,0,0,0,0,1.4596,0.5399,1.9995,0.4821,0.2548,0,0.2851,0,0,0.5399
47,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330304,瓯海区,温州市,461.4,1.3636,0.1267,0.2164,0,,0,1.7067,0,0,0,0,0,0,0,0,1.7067,1.2983,3.005,0,0.3036,0,0.9947,0,0,1.2983
48,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330304,瓯海区,温州市,1.9,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330305,洞头区,温州市,231,0.0304,0.1013,0.0185,0,,0,0.1502,0,0,0,0,0,0,0,0,0.1502,0,0.1502,0,0,0,0,0,0,0
50,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,330324,永嘉县,温州市,6.9,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,330324,永嘉县,温州市,2.8,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,330324,永嘉县,温州市,2272.3,0.5861,0.4422,0.1,0,,0,1.1283,0.0097,0,0,0.0097,0,0,0,0,1.138,0,1.138,0,0,0,0,0,0,0
53,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330324,永嘉县,温州市,395,0.1289,0.123,0.119,0,,0,0.3709,0.0016,0,0,0.0016,0,0,0,0,0.3725,0,0.3725,0,0,0,0,0,0,0
54,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330326,平阳县,温州市,209.7,0.1505,0.2386,0.0974,0,,0,0.4865,0.001,0,0,0.001,0,0,0,0,0.4875,0,0.4875,0,0,0,0,0,0,0
