序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan
27,宁波市,海曙区,浙东沿海诸河,姚江,2,25.9,0,0.34,0.34,0.1115,0,0,0.1115,0,0,0,0,0,0,0.87,0.3,0.166,0.029,0,0.195,0.01,0.01,0,0,0,0,0.009,0.009,0.0012,0.0072,0,0,0,0,0.0084,0,0,0,0,0,0,0,0,0.0084,0,0.0068,0.0003,0,0.0071,0,0.0001,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.0012,0,0,0,0,0,0.0084,0,0,0.0084,0.008400000000000001,0.0084,0,,,
28,宁波市,海曙区,浙东沿海诸河,奉化江及甬江干流,2,568.8,82.6,14.46,97.06,15.2914,374.1873,780.5245,1170.0032,0.0249,225.2204,77.1472,302.3925,0,8.8,19.15,14.89,12.064,2.546,0,14.61,6.68,0.65,0,0,0.27,0.03,1.773,1.803,1.9333,0.14,0.4878,-0.9108,0,0,1.6503,0.0046,0,0,0.0046,0,0,0,0,1.6549,0.43,0.4462,0.0304,0,0.4766,0,0.0065,0,0,0.0135,0.0001,0.0006,0.0207,0,0,0.0002,0.2392,0.075,0.3144,0.0046,0.0194,0.2327,0.2521,0,0.497,0.0701,0.5671,0,0.023,0.001,0.024,0,1.6549,0.0046,0.43,2.0849,1.6549,1.6549,0,,,
29,宁波市,江北区,浙东沿海诸河,奉化江及甬江干流,2,207.6,31.9,9.2,41.1,7.7,198.1,433.8,639.6,0,132.3,26.6,158.9,0,0,8.67,8.67,7.48,1.19,0,8.67,1.75,0,0.908,0,0.1,0.31,0.85,1.16,0.029,0.023,1.3995,-0.7394,0,0,0.7121,0,0,0,0,0,0,0,0,0.7121,0.293,0.202,0.0093,0,0.2113,0,0,0.0091,0,0.0052,0.0011,0.0003,0.0157,0,0,0,0.1015,0.0067,0.1082,0,0.0234,0.1061,0.1295,0,0.1961,0.0462,0.2423,0,0.0038,0.0013,0.0051,0,0.7121,0,0.293,1.0051,0.7121,0.7121,0,,,
30,宁波市,镇海区,浙东沿海诸河,奉化江及甬江干流,2,245.7,29.6,17.5,47.1,6.3,725.3,290,1021.6,10.6,641.4,29.1,681.1,0,268.2,9,7.64,3.195,2.805,0,6,1.68,0.12,0.8,0,0.06,0.05,0.87,0.92,0.0447,0,0.4018,1.2324,0,0,1.6789,0.0001,0,0,0.0001,0.0762,0,0,0.0762,1.7552,0.242,0.1212,0.0238,0,0.145,0,0.0008,0.0056,0,0.0033,0.0002,0.0004,0.0103,0,0,0.1405,0.8096,0.1526,1.1027,0.0001,0.0093,0.1954,0.2047,0,0.194,0.0838,0.2778,0,0.0087,0.006,0.0147,0,1.7552,0.0001,0.242,1.9972,1.7551999999999999,1.7552,0,,,
31,宁波市,北仑区,浙东沿海诸河,奉化江及甬江干流,2,399.9,44.62,9.92,54.54,4.98,777.632,604.5,1387.112,36.635,625.76,69.27,731.665,500,90,7.6,5.68,3.321,2.362,0,5.683,0.14,0.3,0.78,0,0.03,0.02,1.003,1.023,0.2491,0.0262,0.3634,1.4104,0,0,2.0491,0,0,0,0,0.1933,0,0,0.1933,2.2424,0.1436,0.1162,0.018,0,0.1342,0,0.0016,0.0043,0,0.0013,0.0001,0.0004,0.0077,0,0.1008,0.2182,0.9538,0.1337,1.4065,0,0.0098,0.2901,0.2999,0,0.3234,0.0662,0.3896,0,0.003,0.0015,0.0045,0,2.2424,0,0.1436,2.386,2.2424000000000004,2.2424,0,,,
32,宁波市,北仑区,浙东沿海诸河,象山港及三门湾,2,199.1,12.88,8.08,20.96,3.32,245.568,325.5,574.388,6.465,191.44,32.43,230.335,0,75,8.18,3.87,2.123,1.745,0,3.868,0.1,0.2,0.53,0,0.02,0.02,0.757,0.777,0.0063,0.0016,0.109,0.6163,0,0,0.7332,0,0,0,0,0,0,0,0,0.7332,0,0.0742,0.0152,0,0.0894,0,0.001,0.0028,0,0.0009,0.0001,0.0003,0.0051,0,0,0.062,0.2626,0.0669,0.3915,0,0.0042,0.0837,0.0879,0,0.0848,0.052,0.1368,0,0.016,0.0065,0.0225,0,0.7332,0,0,0.7332,0.7332,0.7332,0,,,
33,宁波市,鄞州区,浙东沿海诸河,奉化江及甬江干流,2,560.3,106.77,20.39,127.16,18.2818,573.7242,1477.4458,2069.4518,1.9172,340.4602,135.4614,477.8388,0,3,19.67,16.44,12.916,1.079,0,13.995,6.62,0.555,1.1,0,0.23,0.027,0.36,0.387,0.4612,0.08,0.3223,1.3446,0,0,2.2081,0.0001,0,0,0.0001,0.005,0.0003,0,0.0053,2.2135,1.834,0.4393,0.0104,0,0.4497,0,0.0033,0.0066,0,0.0136,0.0001,0.0003,0.0239,0,0,0.0161,0.2677,0.1378,0.4216,0.0001,0.0373,0.3882,0.4255,0,0.7325,0.1243,0.8568,0,0.0345,0.0015,0.036,0,2.2135,0.0001,1.834,4.0475,2.2135000000000002,2.2135000000000002,0,,,
34,宁波市,鄞州区,浙东沿海诸河,象山港及三门湾,2,253.7,11.13,4.61,15.74,8.2623,56.3332,76.9739,141.5694,0,16.5214,8.1273,24.6487,0,0,6.87,4.74,3.519,0.909,0,4.428,2.15,0.12,0.04,0,0.14,0.013,0.18,0.193,0.1888,0.0189,0.0715,0,0,0,0.2792,0,0,0,0,0,0,0,0,0.2792,0,0.0986,0.0064,0,0.105,0,0.0007,0.0002,0,0.0083,0.0001,0.0001,0.0094,0,0,0,0.0651,0.0179,0.083,0,0.003,0.0113,0.0143,0,0.0452,0.0175,0.0627,0,0.004,0.0008,0.0048,0,0.2792,0,0,0.2792,0.27920000000000006,0.2792,0,,,
35,宁波市,奉化区,浙东沿海诸河,奉化江及甬江干流,2,999.6,24.7,16.7,41.4,16.7,313.9,188.7,519.3,0,234.6,49.7,284.3,0,0,26.74,26.74,20.56,5.06,0,25.62,5.23,4.45,0.57,0,0.11,0.064,6.882,6.946,2.1266,0.1675,0.1737,-1.083,0,0,1.3848,0.0078,0,0,0.0078,0,0,0,0,1.3926,0.2,0.7402,0.0361,0,0.7763,0,0.0267,0.0034,0,0.0066,0.0002,0.0025,0.0394,0,0,0,0.1561,0.0342,0.1903,0.0017,0.0153,0.1079,0.1232,0.0011,0.1646,0.0848,0.2494,0.005,0.007,0.007,0.014,0,1.3926,0.0078,0.2,1.5926,1.3926,1.3926,0,,,
36,宁波市,奉化区,浙东沿海诸河,象山港及三门湾,2,268.4,4.4,5.8,10.2,14.4,78.4,33.2,126,0,56.5,11.7,68.2,0,0,7.54,7.54,5.54,1.35,0,6.89,1.3,2,0.33,0,0,0.026,4.848,4.874,0.3161,0.0637,0.0139,0,0,0,0.3937,0.0003,0,0,0.0003,0,0,0,0,0.394,0,0.1994,0.0127,0,0.2121,0,0.012,0.002,0,0,0.0001,0.0018,0.0159,0,0,0,0.0136,0.0451,0.0587,0.0003,0.0011,0.026,0.0271,0,0.0321,0.0421,0.0742,0,0.003,0.003,0.006,0,0.394,0.0003,0,0.394,0.394,0.394,0,,,
37,宁波市,余姚市,富春江坝址以下,曹娥江百官以上,2,106.7,0.38,1.29,1.67,0.099,0.564,1.273,1.936,0,0,0,0,0,0,1.92,1.92,0.4,0.27,0,0.67,0.17,0.7,0.47,0,0,0.061,0.572,0.633,0.0331,0,0.002,0,0,0,0.0351,0,0,0,0,0,0,0,0,0.0351,0,0.012,0.0019,0,0.0139,0,0.0039,0.0026,0,0,0.0003,0.0003,0.0071,0,0,0,0,0,0,0,0.0008,0.0015,0.0023,0,0.0023,0.0065,0.0088,0,0.002,0.001,0.003,0,0.0351,0,0,0.0351,0.0351,0.0351,0,,,
