序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计
11,杭州市,余杭区,杭嘉湖平原,杭嘉湖平原,1,367.2,50.5,22.3,72.8,30.87,243.35,1904.54,2178.76,0,180.19,37.25,217.44,0,0,11.62,11.62,11.62,0,0,11.62,7.15,6.12,1.18,0,1.56,0,0,0,0,0.3668,0.2553,1.0283,钱塘江,0,1.6504,0,0,0,0,0.056,0,0,0.056,1.7064,0,0.4293,0,0,0.4293,0,0.0615,0.0057,0,0.1406,0,0,0.2078,0,0,0,0.1276,0,0.1276,0,0.0938,0.3856,0.4794,0,0.2824,0.1236,0.406,0,0.0213,0.035,0.0563,0,1.7064,0,0,1.7064
12,杭州市,富阳区,富春江坝址以下,富春江下游段,3,1760.1,61.9,22.4,84.3,53.05,403.12,499.56,955.73,0,278.68,67.37,346.05,0,0,24.41,24.27,24.27,0,0,24.27,9.89,1.28,13.45,0,2.48,0.66,24.58,25.24,0.0271,0.9789,1.8175,0,,0,2.8235,0,0,0,0.0003,0.0805,0,0,0.0805,2.9043,1.1024,1.2095,0,0,1.2095,0,0.0068,0.034,0,0.3227,0.0019,0.0165,0.3819,0,0,0,0.267,0.1213,0.3883,0.0003,0.0753,0.2874,0.3627,0,0.3372,0.1183,0.4555,0,0.067,0.0394,0.1064,0,2.9043,0.0003,1.1024,4.0067
13,杭州市,富阳区,富春江坝址以下,浦阳江,3,47.9,0.15,1.25,1.4,0.32,2.17,2.66,5.15,0,0,0.91,0.91,0,0,0.59,0.59,0.59,0,0,0.59,0.12,0,0,0,0,0,0,0,0.0003,0,0.0359,0,,0,0.0362,0,0,0,0,0,0,0,0,0.0362,0,0.013,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0.0136,0.0136,0,0,0.002,0.002,0,0.0009,0.0067,0.0076,0,0,0,0,0,0.0362,0,0,0.0362
14,杭州市,临安区,湖西及湖区,东苕溪,1,845,30.6,10.9,41.5,26.31,189.26,167.55,383.12,1.11,220.14,16.33,237.58,0,3.7,8.21,8.21,8.21,0,0,8.21,1.54,0.48,4.06,0,0.07,0,5.17,5.17,0.4418,0.5057,0.0507,0.1273,钱塘江,0,1.1255,0,0,0,0.0006,0.0285,0,0,0.0315,1.1576,0,0.4316,0,0,0.4316,0,0.0016,0.0102,0,0.007,0,0.0021,0.0209,0,0,0.011,0.086,0.0064,0.1034,0.0006,0.0656,0.2331,0.2987,0,0.1772,0.0626,0.2398,0,0.0455,0.0177,0.0632,0,1.1576,0.0006,0,1.1576
15,杭州市,临安区,富春江坝址以下,富春江下游段,1,2279,9.1,14.6,23.7,20.87,149.85,132.61,303.33,0,34.8,27.88,62.68,0,0,10.95,10.95,10.95,0,0,10.95,3.09,0.75,4.84,0,0.09,0.29,13.57,13.86,0.4559,0.4026,0.0304,0,,0,0.8889,0,0,0,0,0,0,0,0,0.8889,0,0.5789,0,0,0.5789,0,0.0025,0.0122,0,0.0089,0.0007,0.005,0.0293,0,0,0,0.0176,0.0046,0.0222,0,0.0143,0.0741,0.0884,0,0.0542,0.08,0.1342,0,0.0271,0.0088,0.0359,0,0.8889,0,0,0.8889
16,杭州市,临平区,杭嘉湖平原,杭嘉湖平原,1,286,100.5,12.2,112.7,16.8,557.27,493.2,1067.27,0.34,434.94,91.39,526.67,0,11.2,6.96,6.68,6.68,0,0,6.68,1.65,0.18,2,0,0.87,0,1.5,1.5,0,0,0.6827,1.2961,钱塘江,0,1.9788,0,0,0,0,0.0211,0,0,0.0211,1.9999,3.624,0.2477,0,0,0.2477,0,0.0018,0.0055,0,0.1392,0,0.0005,0.147,0,0,0,0.2681,0.0385,0.3076,0,0.0607,0.3981,0.4588,0,0.6342,0.0726,0.7068,0,0.1105,0.0215,0.132,0,1.9999,0,3.624,5.6239
17,杭州市,桐庐县,富春江坝址以上,兰江及富春江上游段,3,146.5,0,0.3,0.3,0.34,2.29,2.34,4.97,0,0,0.27,0.27,0,0,0.12,0.1,0.09,0,0,0.09,0.1,0.08,0.28,0,0.02,0.03,0.37,0.4,0.0086,0.0053,0.0038,0,,0,0.0177,0,0,0,0,0,0,0,0,0.0177,0,0.0029,0,0,0.0029,0,0.0003,0.0023,0,0.0021,0.0001,0.0002,0.005,0,0,0,0,0,0,0,0.0015,0.0042,0.0057,0,0,0.0017,0.0017,0,0.0021,0.0003,0.0024,0,0.0177,0,0,0.0177
18,杭州市,桐庐县,富春江坝址以下,富春江下游段,3,1633.5,32.8,12.8,45.6,28.22,212.4,223.64,464.26,0,132.27,38.03,170.3,0,2.55,17.54,16.77,14.27,0,0,14.27,5.23,1.6,5.79,0,0.98,0.17,10.81,10.98,0.6723,0.524,0.3793,0,,0,1.5756,0.0063,0,0,0.0063,0.0425,0,0,0.0426,1.6245,0,0.7169,0,0,0.7169,0,0.0064,0.0463,0,0.1279,0.0004,0.0066,0.1876,0,0,0,0.145,0.0686,0.2149,0.0012,0.0446,0.1419,0.1865,0.0015,0.1966,0.0753,0.2719,0.0036,0.044,0.0027,0.0467,0,1.6245,0.0063,0,1.6245
19,杭州市,淳安县,富春江坝址以上,衢江上游,3,16.4,0,0.15,0.15,0.12,0.29,0.59,1,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.0005,0.0004,0,,0,0.0009,0,0,0,0,0,0,0,0,0.0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0.0009,0,0,0,0,0,0.0009,0,0,0.0009
20,杭州市,淳安县,富春江坝址以上,新安江,3,4369.3,16.4,15.05,31.45,43.52,74.28,156.62,274.42,0.12,37.3,10.33,47.75,0,0.75,22.07,16.27,11.41,0,0,11.41,4.33,0.03,1.79,0,0,0.04,4.8,4.84,0.8717,0.5003,0.0538,0,,0,1.4258,0,0,0,0,0.0411,0,0,0.0411,1.4669,0,0.4486,0,0,0.4486,0,0.0001,0.0036,0,0.0365,0.0001,0.0028,0.0431,0,0,0,0.0801,0.0244,0.1068,0,0.0157,0.6489,0.6646,0,0.0967,0.0859,0.1826,0,0.0182,0.003,0.0212,0,1.4669,0,0,1.4669
21,杭州市,淳安县,富春江坝址以下,富春江下游段,3,66.3,0,0.5,0.5,0.82,1.36,2.89,5.07,0,0,0,0,0,0,0.9,0.79,0.55,0,0,0.55,0.16,0,0.03,0,0,0,0,0,0,0.0187,0.0021,0,,0,0.0208,0,0,0,0,0,0,0,0,0.0208,0,0.018,0,0,0.018,0,0,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0.0027,0.0027,0,0,0,0,0,0.0208,0,0,0.0208
