日期	合计来水	需水量	其他生态需水	水位生态需水	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量
2026/03/03	2.526	1.23	0.37	0.0	0.37	1.6	0.9259999999999997	3006.0	591.8032786885245	592.7292786885246	592.7292786885246	592.7292786885246	0.0	0.0	0.0	0.0	0.0	3987.999999999999	0.0	0.9259999999999997	0.9259999999999997	2413.2707213114754	0.0	592.7292786885246
2026/03/04	1.463	1.23	0.37	0.0	0.37	1.6	-0.137	3006.0	592.7292786885246	592.5922786885246	592.7292786885246	592.7292786885246	0.0	0.0	0.137	0.0	0.0	3987.999999999999	0.0	-0.137	-0.137	2413.2707213114754	0.0	592.7292786885246
2026/03/05	1.254	1.23	0.37	0.0	0.37	1.6	-0.3460000000000001	3006.0	592.7292786885246	592.3832786885246	592.7292786885246	592.7292786885246	0.0	0.0	0.3460000000000001	0.0	0.0	3987.999999999999	0.0	-0.3460000000000001	-0.3460000000000001	2413.2707213114754	0.0	592.7292786885246
2026/03/06	1.09	1.23	0.37	0.0	0.37	1.6	-0.51	3006.0	592.7292786885246	592.2192786885246	592.7292786885246	592.7292786885246	0.0	0.0	0.51	0.0	0.0	3987.999999999999	0.0	-0.51	-0.51	2413.2707213114754	0.0	592.7292786885246
2026/03/07	0.959	1.23	0.37	0.0	0.37	1.6	-0.6410000000000001	3006.0	592.7292786885246	592.0882786885246	592.7292786885246	592.7292786885246	0.0	0.0	0.6410000000000001	0.0	0.0	3987.999999999999	0.0	-0.6410000000000001	-0.6410000000000001	2413.2707213114754	0.0	592.7292786885246
2026/03/08	0.866	1.23	0.37	0.0	0.37	1.6	-0.7340000000000001	3006.0	592.7292786885246	591.9952786885245	592.7292786885246	592.7292786885246	0.0	0.0	0.7340000000000001	0.0	0.0	3987.999999999999	0.0	-0.7340000000000001	-0.7340000000000001	2413.2707213114754	0.0	592.7292786885246
2026/03/09	0.791	1.23	0.37	0.0	0.37	1.6	-0.809	3006.0	592.7292786885246	591.9202786885246	592.7292786885246	592.7292786885246	0.0	0.0	0.809	0.0	0.0	3987.999999999999	0.0	-0.809	-0.809	2413.2707213114754	0.0	592.7292786885246
2026/03/10	0.738	1.23	0.37	0.0	0.37	1.6	-0.8620000000000001	3006.0	592.7292786885246	591.8672786885246	592.7292786885246	592.7292786885246	0.0	0.0	0.8620000000000001	0.0	0.0	3987.999999999999	0.0	-0.8620000000000001	-0.8620000000000001	2413.2707213114754	0.0	592.7292786885246
2026/03/11	0.778	1.23	0.37	0.0	0.37	1.6	-0.8220000000000001	3006.0	592.7292786885246	591.9072786885246	592.7292786885246	592.7292786885246	0.0	0.0	0.8220000000000001	0.0	0.0	3987.999999999999	0.0	-0.8220000000000001	-0.8220000000000001	2413.2707213114754	0.0	592.7292786885246
2026/03/12	0.823	1.23	0.37	0.0	0.37	1.6	-0.7770000000000001	3006.0	592.7292786885246	591.9522786885245	592.7292786885246	592.7292786885246	0.0	0.0	0.7770000000000001	0.0	0.0	3987.999999999999	0.0	-0.7770000000000001	-0.7770000000000001	2413.2707213114754	0.0	592.7292786885246
2026/03/13	0.83	1.23	0.37	0.0	0.37	1.6	-0.7700000000000001	3006.0	592.7292786885246	591.9592786885246	592.7292786885246	592.7292786885246	0.0	0.0	0.7700000000000001	0.0	0.0	3987.999999999999	0.0	-0.7700000000000001	-0.7700000000000001	2413.2707213114754	0.0	592.7292786885246
2026/03/14	0.816	1.23	0.37	0.0	0.37	1.6	-0.7840000000000001	3006.0	592.7292786885246	591.9452786885246	592.7292786885246	592.7292786885246	0.0	0.0	0.7840000000000001	0.0	0.0	3987.999999999999	0.0	-0.7840000000000001	-0.7840000000000001	2413.2707213114754	0.0	592.7292786885246
2026/03/15	0.827	1.23	0.37	0.0	0.37	1.6	-0.7730000000000001	3006.0	592.7292786885246	591.9562786885245	592.7292786885246	592.7292786885246	0.0	0.0	0.7730000000000001	0.0	0.0	3987.999999999999	0.0	-0.7730000000000001	-0.7730000000000001	2413.2707213114754	0.0	592.7292786885246
2026/03/16	0.809	1.23	0.37	0.0	0.37	1.6	-0.791	3006.0	592.7292786885246	591.9382786885245	592.7292786885246	592.7292786885246	0.0	0.0	0.791	0.0	0.0	3987.999999999999	0.0	-0.791	-0.791	2413.2707213114754	0.0	592.7292786885246
2026/03/17	0.775	1.23	0.37	0.0	0.37	1.6	-0.8250000000000001	3006.0	592.7292786885246	591.9042786885245	592.7292786885246	592.7292786885246	0.0	0.0	0.8250000000000001	0.0	0.0	3987.999999999999	0.0	-0.8250000000000001	-0.8250000000000001	2413.2707213114754	0.0	592.7292786885246
2026/03/18	0.731	1.23	0.37	0.0	0.37	1.6	-0.8690000000000001	3006.0	592.7292786885246	591.8602786885245	592.7292786885246	592.7292786885246	0.0	0.0	0.8690000000000001	0.0	0.0	3987.999999999999	0.0	-0.8690000000000001	-0.8690000000000001	2413.2707213114754	0.0	592.7292786885246
2026/03/19	0.684	1.23	0.37	0.0	0.37	1.6	-0.916	3006.0	592.7292786885246	591.8132786885245	592.7292786885246	592.7292786885246	0.0	0.0	0.916	0.0	0.0	3987.999999999999	0.0	-0.916	-0.916	2413.2707213114754	0.0	592.7292786885246
2026/03/20	1.159	1.23	0.37	0.0	0.37	1.6	-0.44100000000000006	3006.0	592.7292786885246	592.2882786885245	592.7292786885246	592.7292786885246	0.0	0.0	0.44100000000000006	0.0	0.0	3987.999999999999	0.0	-0.44100000000000006	-0.44100000000000006	2413.2707213114754	0.0	592.7292786885246
2026/03/21	3.359	1.23	0.37	0.0	0.37	1.6	1.759	3006.0	592.7292786885246	594.4882786885246	594.4882786885246	594.4882786885246	0.0	0.0	0.0	0.0	0.0	3987.999999999999	0.0	1.759	1.759	2411.5117213114754	0.0	594.4882786885246
2026/03/22	1.727	1.23	0.37	0.0	0.37	1.6	0.127	3006.0	594.4882786885246	594.6152786885245	594.6152786885245	594.6152786885245	0.0	0.0	0.0	0.0	0.0	3987.999999999999	0.0	0.127	0.127	2411.3847213114755	0.0	594.6152786885245
2026/03/23	1.213	1.23	0.37	0.0	0.37	1.6	-0.387	3006.0	594.6152786885245	594.2282786885246	594.6152786885245	594.6152786885245	0.0	0.0	0.387	0.0	0.0	3987.999999999999	0.0	-0.387	-0.387	2411.3847213114755	0.0	594.6152786885245
2026/03/24	3.487	1.23	0.37	0.0	0.37	1.6	1.887	3006.0	594.6152786885245	596.5022786885245	596.5022786885245	596.5022786885245	0.0	0.0	0.0	0.0	0.0	3987.999999999999	0.0	1.887	1.887	2409.4977213114753	0.0	596.5022786885245
2026/03/25	1.823	1.23	0.37	0.0	0.37	1.6	0.22299999999999986	3006.0	596.5022786885245	596.7252786885244	596.7252786885244	596.7252786885244	0.0	0.0	0.0	0.0	0.0	3987.999999999999	0.0	0.22299999999999986	0.22299999999999986	2409.2747213114753	0.0	596.7252786885244
2026/03/26	3.981	1.23	0.37	0.0	0.37	1.6	2.381	3006.0	596.7252786885244	599.1062786885244	599.1062786885244	599.1062786885244	0.0	0.0	0.0	0.0	0.0	3987.999999999999	0.0	2.381	2.381	2406.8937213114755	0.0	599.1062786885244
2026/03/27	5.858	1.23	0.37	0.0	0.37	1.6	4.257999999999999	3006.0	599.1062786885244	603.3642786885245	603.3642786885245	603.3642786885245	0.0	0.0	0.0	0.0	0.0	3987.999999999999	0.0	4.257999999999999	4.257999999999999	2402.6357213114757	0.0	603.3642786885245
2026/03/28	3.588	1.23	0.37	0.0	0.37	1.6	1.988	3006.0	603.3642786885245	605.3522786885245	605.3522786885245	605.3522786885245	0.0	0.0	0.0	0.0	0.0	3987.999999999999	0.0	1.988	1.988	2400.6477213114754	0.0	605.3522786885245
2026/03/29	4.368	1.23	0.37	0.0	0.37	1.6	2.7680000000000002	3006.0	605.3522786885245	608.1202786885245	608.1202786885245	608.1202786885245	0.0	0.0	0.0	0.0	0.0	3987.999999999999	0.0	2.7680000000000002	2.7680000000000002	2397.8797213114754	0.0	608.1202786885245
2026/03/30	5.227	1.23	0.37	0.0	0.37	1.6	3.6270000000000002	3006.0	608.1202786885245	611.7472786885245	611.7472786885245	611.7472786885245	0.0	0.0	0.0	0.0	0.0	3987.999999999999	0.0	3.6270000000000002	3.6270000000000002	2394.2527213114754	0.0	611.7472786885245
2026/03/31	2.718	1.23	0.37	0.0	0.37	1.6	1.1179999999999999	3006.0	611.7472786885245	612.8652786885245	612.8652786885245	612.8652786885245	0.0	0.0	0.0	0.0	0.0	3987.999999999999	0.0	1.1179999999999999	1.1179999999999999	2393.1347213114755	0.0	612.8652786885245
2026/04/01	1.484	1.23	0.52	0.0	0.52	1.75	-0.266	3006.0	612.8652786885245	612.5992786885246	612.8652786885245	612.8652786885245	0.0	0.0	0.266	0.0	0.0	3987.999999999999	0.0	-0.266	-0.266	2393.1347213114755	0.0	612.8652786885245
2026/04/02	1.21	1.23	0.52	0.0	0.52	1.75	-0.54	3006.0	612.8652786885245	612.3252786885246	612.8652786885245	612.8652786885245	0.0	0.0	0.54	0.0	0.0	3987.999999999999	0.0	-0.54	-0.54	2393.1347213114755	0.0	612.8652786885245
2026/04/03	1.097	0.0	0.52	0.0	0.52	0.52	0.577	3006.0	612.8652786885245	613.4422786885245	613.4422786885245	613.4422786885245	0.0	0.0	0.0	0.0	0.0	3987.999999999999	0.0	0.577	0.577	2392.5577213114757	0.0	613.4422786885245
