日期	平原产水	其他外供	河网供水	水库供水	合计来水	农业需水	其他生态需水	非农需水	需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	水位生态需水	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量	生态需水	总需水量	本地可供水量	展示本地可供水量	累积时段
2026/03/03	252.50000000000003	169.9758	39.17099999999999	5.357	214.5038000000001	147.68	50.879999999999995	180.84380000000002	328.5238	-164.89999999999998	62969.0	3273.0009038001053	3108.1009038001052	3277.2519038001055	3277.2519038001055	0.0	0.0	0.0	169.151	0.0	0.0	72286.0	0.0	4.251000000000204	4.251000000000204	60930.74809619991	0.0	3277.2519038001055	50.879999999999995	379.4038	214.5038000000001	210.25279999999998	2026/03/03至2026/03/03
2026/03/04	271.12	340.4796	65.058	10.714	416.25160000000005	295.36	101.75999999999999	361.68760000000003	657.0476	-342.556	125938.0	6550.252807600211	6207.696807600211	6556.765807600212	6556.765807600212	0.0	0.0	0.0	349.069	0.0	0.0	144572.0	0.0	6.513000000000375	6.513000000000375	121859.23419239982	0.0	6556.765807600212	101.75999999999999	758.8076	416.25160000000005	409.73859999999996	2026/03/03至2026/03/04
2026/03/05	1019.9600000000003	512.5644	86.85600000000001	16.071	615.4914	443.04	152.64	542.5314000000001	985.5714	-522.72	188907.0	9829.766711400316	9307.046711400317	9838.332711400317	9838.332711400317	0.0	0.0	0.0	531.2860000000001	0.0	0.0	216858.0	0.0	8.566000000000258	8.566000000000258	182785.6672885997	0.0	9838.332711400317	152.64	1138.2114	615.4914	606.9254	2026/03/03至2026/03/05
2026/03/06	1040.8700000000003	686.2511999999999	105.084	21.428	812.7632000000001	590.72	203.51999999999998	723.3752000000001	1314.0952	-704.8520000000001	251876.0	13111.333615200421	12406.481615200422	13121.788615200423	13121.788615200423	0.0	0.0	0.0	715.307	0.0	0.0	289144.0	0.0	10.455000000000382	10.455000000000382	243710.21138479962	0.0	13121.788615200423	203.51999999999998	1517.6152	812.7632000000001	802.3081999999999	2026/03/03至2026/03/06
2026/03/07	1104.4800000000002	861.012	120.666	26.785	1008.4630000000002	738.4000000000001	254.39999999999998	904.219	1642.619	-888.556	314845.0	16394.789519000526	15506.233519000529	16407.00251900053	16407.00251900053	0.0	0.0	0.0	900.769	0.0	0.0	361430.0	0.0	12.213000000000193	12.213000000000193	304632.99748099956	0.0	16407.00251900053	254.39999999999998	1897.019	1008.4630000000002	996.25	2026/03/03至2026/03/07
2026/03/08	1323.8200000000002	1036.0638	134.84099999999998	32.142	1203.0468000000003	886.0800000000002	305.28	1085.0628000000002	1971.1427999999999	-1073.376	377814.0	19680.00342280063	18606.627422800633	19693.881422800634	19693.881422800634	0.0	0.0	0.0	1087.254	0.0	0.0	433716.0	0.0	13.878000000000156	13.878000000000156	365554.11857719946	0.0	19693.881422800634	305.28	2276.4228	1203.0468000000003	1189.1688	2026/03/03至2026/03/08
2026/03/09	1377.2200000000003	1211.7305999999999	147.50099999999998	37.499	1396.7306000000003	1033.7600000000002	356.15999999999997	1265.9066000000003	2299.6666	-1259.096	440783.0	22966.882326600735	21707.78632660074	22982.35032660074	22982.35032660074	0.0	0.0	0.0	1274.5639999999999	0.0	0.0	506002.0	0.0	15.468000000000302	15.468000000000302	426473.6496733994	0.0	22982.35032660074	356.15999999999997	2655.8266	1396.7306000000003	1381.2626	2026/03/03至2026/03/09
2026/03/10	1651.6400000000003	1387.1603999999998	159.76199999999997	42.856	1589.7784000000004	1181.4400000000003	407.03999999999996	1446.7504000000004	2628.1904	-1445.452	503752.0	26255.35123040084	24809.899230400846	26272.356230400845	26272.356230400845	0.0	0.0	0.0	1462.4569999999999	0.0	0.0	578288.0	0.0	17.00500000000011	17.00500000000011	487391.6437695993	0.0	26272.356230400845	407.03999999999996	3035.2304	1589.7784000000004	1572.7734	2026/03/03至2026/03/10
2026/03/11	2819.5	1560.9701999999997	174.123	48.213	1783.3062000000002	1329.1200000000003	457.91999999999996	1627.5942000000005	2956.7142	-1631.328	566721.0	29545.357134200945	27914.02913420095	29563.93913420095	29563.93913420095	0.0	0.0	0.0	1649.9099999999999	0.0	0.0	650574.0	0.0	18.582000000000335	18.582000000000335	548308.0608657992	0.0	29563.93913420095	457.91999999999996	3414.6342	1783.3062000000002	1764.7242	2026/03/03至2026/03/11
2026/03/12	3343.4700000000003	1734.0989999999997	189.70499999999998	53.57	1977.3740000000003	1476.8000000000004	508.79999999999995	1808.4380000000006	3285.238	-1816.664	629690.0	32836.94003800105	31020.27603800106	32857.14403800105	32857.14403800105	0.0	0.0	0.0	1836.868	0.0	0.0	722860.0	0.0	20.20400000000018	20.20400000000018	609222.8559619992	0.0	32857.14403800105	508.79999999999995	3794.038	1977.3740000000003	1957.17	2026/03/03至2026/03/12
2026/03/13	3375.21	1907.9057999999998	204.69299999999998	58.927	2171.5258000000003	1624.4800000000005	559.68	1989.2818000000007	3613.7617999999998	-2001.916	692659.0	36130.144941801154	34128.228941801164	36151.97794180116	36151.97794180116	0.0	0.0	0.0	2023.7489999999998	0.0	0.0	795146.0	0.0	21.833000000000084	21.833000000000084	670136.022058199	0.0	36151.97794180116	559.68	4173.4418	2171.5258000000003	2149.6928000000003	2026/03/03至2026/03/13
2026/03/14	3460.48	2082.2886	218.93699999999998	64.284	2365.5096000000003	1772.1600000000005	610.56	2170.1256000000008	3942.2855999999997	-2187.336	755628.0	39424.97884560126	37237.64284560127	39448.426845601265	39448.426845601265	0.0	0.0	0.0	2210.7839999999997	0.0	0.0	867432.0	0.0	23.44800000000032	23.44800000000032	731047.5731543989	0.0	39448.426845601265	610.56	4552.8456	2365.5096000000003	2342.0616000000005	2026/03/03至2026/03/14
2026/03/15	4028.7000000000003	2256.0564	233.928	69.641	2559.6254000000004	1919.8400000000006	661.4399999999999	2350.969400000001	4270.8094	-2372.624	818597.0	42721.427749401366	40348.80374940138	42746.501749401374	42746.501749401374	0.0	0.0	0.0	2397.6979999999994	0.0	0.0	939718.0	0.0	25.07400000000007	25.07400000000007	791957.4982505988	0.0	42746.501749401374	661.4399999999999	4932.2494	2559.6254000000004	2534.5514000000003	2026/03/03至2026/03/15
2026/03/16	4028.7000000000003	2430.4991999999997	248.028	74.998	2753.5252000000005	2067.5200000000004	712.3199999999999	2531.813200000001	4599.3332	-2558.1279999999997	881566.0	46019.502653201474	43461.374653201485	46046.18465320148	46046.18465320148	0.0	0.0	0.0	2584.8099999999995	0.0	0.0	1012004.0	0.0	26.682000000000244	26.682000000000244	852865.8153467987	0.0	46046.18465320148	712.3199999999999	5311.6532	2753.5252000000005	2726.8432000000003	2026/03/03至2026/03/16
2026/03/17	4028.7000000000003	2605.866	260.796	80.355	2947.0170000000007	2215.2000000000003	763.1999999999999	2712.657000000001	4927.857	-2744.0399999999995	944535.0	49319.18555700158	46575.14555700159	49347.441557001584	49347.441557001584	0.0	0.0	0.0	2772.2959999999994	0.0	0.0	1084290.0	0.0	28.256000000000313	28.256000000000313	913772.5584429987	0.0	49347.441557001584	763.1999999999999	5691.057	2947.0170000000007	2918.7610000000004	2026/03/03至2026/03/17
2026/03/18	4028.7000000000003	2782.0668	272.202	85.712	3139.9808000000007	2362.88	814.0799999999999	2893.500800000001	5256.3808	-2930.4799999999996	1007504.0	52620.442460801685	49689.9624608017	52650.22846080169	52650.22846080169	0.0	0.0	0.0	2960.265999999999	0.0	0.0	1156576.0	0.0	29.786000000000058	29.786000000000058	974677.7715391986	0.0	52650.22846080169	814.0799999999999	6070.4608	3139.9808000000007	3110.1948	2026/03/03至2026/03/18
