日期	平原产水	其他外供	河网供水	水库供水	合计来水	农业需水	其他生态需水	非农需水	需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	水位生态需水	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量	生态需水	总需水量	本地可供水量	展示本地可供水量
2026/03/03	252.50000000000003	169.9758	39.17099999999999	5.357	214.5038000000001	147.68	50.879999999999995	180.84380000000002	328.5238	-164.89999999999998	62969.0	3273.0009038001053	3108.1009038001052	3277.2519038001055	3277.2519038001055	0.0	0.0	0.0	169.151	0.0	0.0	72286.0	0.0	4.251000000000204	4.251000000000204	60930.74809619991	0.0	3277.2519038001055	50.879999999999995	379.4038	214.5038000000001	210.25279999999998
2026/03/04	18.62	170.5038	25.88700000000001	5.357	201.74779999999996	147.68	50.879999999999995	180.84380000000002	328.5238	-177.656	62969.0	3277.2519038001055	3099.595903800106	3279.5139038001057	3279.5139038001057	0.0	0.0	0.0	179.918	0.0	0.0	72286.0	0.0	2.262000000000171	2.262000000000171	60928.48609619991	0.0	3279.5139038001057	50.879999999999995	379.4038	201.74779999999996	199.48579999999998
2026/03/05	748.8400000000003	172.0848	21.798000000000002	5.357	199.23979999999992	147.68	50.879999999999995	180.84380000000002	328.5238	-180.164	62969.0	3279.5139038001057	3099.349903800106	3281.5669038001056	3281.5669038001056	0.0	0.0	0.0	182.21699999999998	0.0	0.0	72286.0	0.0	2.0529999999998836	2.0529999999998836	60926.43309619991	0.0	3281.5669038001056	50.879999999999995	379.4038	199.23979999999992	197.1868
2026/03/06	20.909999999999997	173.6868	18.227999999999998	5.357	197.27180000000004	147.68	50.879999999999995	180.84380000000002	328.5238	-182.132	62969.0	3281.5669038001056	3099.4349038001055	3283.4559038001057	3283.4559038001057	0.0	0.0	0.0	184.021	0.0	0.0	72286.0	0.0	1.8890000000001237	1.8890000000001237	60924.544096199905	0.0	3283.4559038001057	50.879999999999995	379.4038	197.27180000000004	195.3828
2026/03/07	63.60999999999999	174.7608	15.581999999999995	5.357	195.69980000000004	147.68	50.879999999999995	180.84380000000002	328.5238	-183.704	62969.0	3283.4559038001057	3099.751903800106	3285.2139038001055	3285.2139038001055	0.0	0.0	0.0	185.462	0.0	0.0	72286.0	0.0	1.7579999999998108	1.7579999999998108	60922.78609619991	0.0	3285.2139038001055	50.879999999999995	379.4038	195.69980000000004	193.9418
2026/03/08	219.34	175.05180000000001	14.174999999999995	5.357	194.58380000000014	147.68	50.879999999999995	180.84380000000002	328.5238	-184.82	62969.0	3285.2139038001055	3100.393903800106	3286.8789038001055	3286.8789038001055	0.0	0.0	0.0	186.485	0.0	0.0	72286.0	0.0	1.6649999999999636	1.6649999999999636	60921.12109619991	0.0	3286.8789038001055	50.879999999999995	379.4038	194.58380000000014	192.91879999999998
2026/03/09	53.40000000000001	175.6668	12.660000000000004	5.357	193.6838	147.68	50.879999999999995	180.84380000000002	328.5238	-185.71999999999997	62969.0	3286.8789038001055	3101.1589038001057	3288.4689038001056	3288.4689038001056	0.0	0.0	0.0	187.31	0.0	0.0	72286.0	0.0	1.5900000000001455	1.5900000000001455	60919.531096199906	0.0	3288.4689038001056	50.879999999999995	379.4038	193.6838	192.0938
2026/03/10	274.41999999999996	175.4298	12.260999999999996	5.357	193.0478	147.68	50.879999999999995	180.84380000000002	328.5238	-186.356	62969.0	3288.4689038001056	3102.112903800106	3290.0059038001054	3290.0059038001054	0.0	0.0	0.0	187.89299999999997	0.0	0.0	72286.0	0.0	1.5369999999998072	1.5369999999998072	60917.99409619991	0.0	3290.0059038001054	50.879999999999995	379.4038	193.0478	191.51080000000002
2026/03/11	1167.86	173.8098	14.361000000000006	5.357	193.52779999999993	147.68	50.879999999999995	180.84380000000002	328.5238	-185.876	62969.0	3290.0059038001054	3104.129903800106	3291.5829038001057	3291.5829038001057	0.0	0.0	0.0	187.453	0.0	0.0	72286.0	0.0	1.5770000000002256	1.5770000000002256	60916.417096199904	0.0	3291.5829038001057	50.879999999999995	379.4038	193.52779999999993	191.9508
2026/03/12	523.97	173.1288	15.582000000000004	5.357	194.06780000000006	147.68	50.879999999999995	180.84380000000002	328.5238	-185.336	62969.0	3291.5829038001057	3106.246903800106	3293.2049038001055	3293.2049038001055	0.0	0.0	0.0	186.95800000000003	0.0	0.0	72286.0	0.0	1.6219999999998436	1.6219999999998436	60914.79509619991	0.0	3293.2049038001055	50.879999999999995	379.4038	194.06780000000006	192.44579999999996
2026/03/13	31.740000000000002	173.8068	14.988	5.357	194.15180000000012	147.68	50.879999999999995	180.84380000000002	328.5238	-185.252	62969.0	3293.2049038001055	3107.9529038001056	3294.8339038001054	3294.8339038001054	0.0	0.0	0.0	186.88099999999997	0.0	0.0	72286.0	0.0	1.6289999999999054	1.6289999999999054	60913.16609619991	0.0	3294.8339038001054	50.879999999999995	379.4038	194.15180000000012	192.52280000000002
2026/03/14	85.26999999999997	174.3828	14.244000000000005	5.357	193.98380000000003	147.68	50.879999999999995	180.84380000000002	328.5238	-185.42000000000002	62969.0	3294.8339038001054	3109.413903800106	3296.4489038001057	3296.4489038001057	0.0	0.0	0.0	187.035	0.0	0.0	72286.0	0.0	1.6150000000002365	1.6150000000002365	60911.55109619991	0.0	3296.4489038001057	50.879999999999995	379.4038	193.98380000000003	192.3688
2026/03/15	568.2200000000001	173.7678	14.991	5.357	194.11579999999998	147.68	50.879999999999995	180.84380000000002	328.5238	-185.288	62969.0	3296.4489038001057	3111.160903800105	3298.0749038001054	3298.0749038001054	0.0	0.0	0.0	186.914	0.0	0.0	72286.0	0.0	1.625999999999749	1.625999999999749	60909.925096199906	0.0	3298.0749038001054	50.879999999999995	379.4038	194.11579999999998	192.4898
2026/03/16	0.0	174.4428	14.099999999999994	5.357	193.89979999999997	147.68	50.879999999999995	180.84380000000002	328.5238	-185.50399999999996	62969.0	3298.0749038001054	3112.570903800106	3299.6829038001056	3299.6829038001056	0.0	0.0	0.0	187.11199999999997	0.0	0.0	72286.0	0.0	1.6080000000001746	1.6080000000001746	60908.317096199906	0.0	3299.6829038001056	50.879999999999995	379.4038	193.89979999999997	192.29180000000002
2026/03/17	0.0	175.3668	12.768000000000004	5.357	193.49180000000004	147.68	50.879999999999995	180.84380000000002	328.5238	-185.91199999999998	62969.0	3299.6829038001056	3113.7709038001058	3301.2569038001056	3301.2569038001056	0.0	0.0	0.0	187.486	0.0	0.0	72286.0	0.0	1.5740000000000691	1.5740000000000691	60906.743096199905	0.0	3301.2569038001056	50.879999999999995	379.4038	193.49180000000004	191.9178
2026/03/18	0.0	176.20080000000002	11.405999999999999	5.357	192.96379999999996	147.68	50.879999999999995	180.84380000000002	328.5238	-186.44	62969.0	3301.2569038001056	3114.816903800106	3302.7869038001054	3302.7869038001054	0.0	0.0	0.0	187.97	0.0	0.0	72286.0	0.0	1.5299999999997453	1.5299999999997453	60905.21309619991	0.0	3302.7869038001054	50.879999999999995	379.4038	192.96379999999996	191.4338
2026/03/19	40.349999999999994	176.50979999999998	10.533	5.357	192.39979999999997	147.68	50.879999999999995	180.84380000000002	328.5238	-187.004	62969.0	3302.7869038001054	3115.782903800106	3304.2699038001056	3304.2699038001056	0.0	0.0	0.0	188.48699999999997	0.0	0.0	72286.0	0.0	1.4830000000001746	1.4830000000001746	60903.730096199906	0.0	3304.2699038001056	50.879999999999995	379.4038	192.39979999999997	190.91680000000002
2026/03/20	1285.2800000000002	176.4678	16.275000000000002	5.357	198.09979999999993	147.68	50.879999999999995	180.84380000000002	328.5238	-181.304	62969.0	3304.2699038001056	3122.9659038001064	3306.2279038001057	3306.2279038001057	0.0	0.0	0.0	183.262	0.0	0.0	72286.0	0.0	1.9580000000000837	1.9580000000000837	60901.77209619991	0.0	3306.2279038001057	50.879999999999995	379.4038	198.09979999999993	196.1418
2026/03/21	2179.61	169.0068	50.13600000000002	5.357	224.49980000000008	147.68	50.879999999999995	180.84380000000002	328.5238	-154.904	62969.0	3306.2279038001057	3151.3239038001057	3312.1449038001056	3312.1449038001056	0.0	0.0	0.0	160.821	0.0	0.0	72286.0	0.0	5.916999999999916	5.916999999999916	60895.8550961999	0.0	3312.1449038001056	50.879999999999995	379.4038	224.49980000000008	218.5828
2026/03/22	3.880000000000001	168.5598	30.999000000000002	5.357	204.91580000000005	147.68	50.879999999999995	180.84380000000002	328.5238	-174.488	62969.0	3312.1449038001056	3137.6569038001057	3314.7979038001054	3314.7979038001054	0.0	0.0	0.0	177.141	0.0	0.0	72286.0	0.0	2.6529999999997926	2.6529999999997926	60893.20209619991	0.0	3314.7979038001054	50.879999999999995	379.4038	204.91580000000005	202.2628
2026/03/23	54.13	170.2038	23.187000000000012	5.357	198.74779999999996	147.68	50.879999999999995	180.84380000000002	328.5238	-180.656	62969.0	3314.7979038001054	3134.141903800106	3316.8099038001055	3316.8099038001055	0.0	0.0	0.0	182.668	0.0	0.0	72286.0	0.0	2.012000000000171	2.012000000000171	60891.190096199905	0.0	3316.8099038001055	50.879999999999995	379.4038	198.74779999999996	196.73579999999998
2026/03/24	1728.3699999999997	164.77679999999998	55.90200000000002	5.357	226.03579999999997	147.68	50.879999999999995	180.84380000000002	328.5238	-153.368	62969.0	3316.8099038001055	3163.4419038001056	3322.9829038001053	3322.9829038001053	0.0	0.0	0.0	159.541	0.0	0.0	72286.0	0.0	6.1729999999997744	6.1729999999997744	60885.0170961999	0.0	3322.9829038001053	50.879999999999995	379.4038	226.03579999999997	219.8628
2026/03/25	19.390000000000004	165.3948	35.316	5.357	206.06780000000006	147.68	50.879999999999995	180.84380000000002	328.5238	-173.336	62969.0	3322.9829038001053	3149.6469038001055	3325.8279038001056	3325.8279038001056	0.0	0.0	0.0	176.18099999999998	0.0	0.0	72286.0	0.0	2.8450000000002547	2.8450000000002547	60882.17209619991	0.0	3325.8279038001056	50.879999999999995	379.4038	206.06780000000006	203.2228
2026/03/26	1741.8000000000002	158.5998	68.007	5.357	231.96379999999996	147.68	50.879999999999995	180.84380000000002	328.5238	-147.44	62969.0	3325.8279038001056	3178.3879038001055	3332.9889038001056	3332.9889038001056	0.0	0.0	0.0	154.601	0.0	0.0	72286.0	0.0	7.161000000000058	7.161000000000058	60875.01109619991	0.0	3332.9889038001056	50.879999999999995	379.4038	231.96379999999996	224.8028
2026/03/27	1808.62	148.3218	100.80900000000001	5.357	254.48780000000005	147.68	50.879999999999995	180.84380000000002	328.5238	-124.916	62969.0	3332.9889038001056	3208.072903800106	3343.9039038001056	3343.9039038001056	0.0	0.0	0.0	135.831	0.0	0.0	72286.0	0.0	10.914999999999964	10.914999999999964	60864.09609619991	0.0	3343.9039038001056	50.879999999999995	379.4038	254.48780000000005	243.5728
2026/03/28	123.87999999999998	155.75279999999998	66.138	5.357	227.24779999999996	147.68	50.879999999999995	180.84380000000002	328.5238	-152.15599999999998	62969.0	3343.9039038001056	3191.7479038001056	3350.2789038001056	3350.2789038001056	0.0	0.0	0.0	158.53099999999998	0.0	0.0	72286.0	0.0	6.375	6.375	60857.72109619991	0.0	3350.2789038001056	50.879999999999995	379.4038	227.24779999999996	220.8728
2026/03/29	948.9999999999999	157.40279999999998	73.84800000000001	5.357	236.60779999999997	147.68	50.879999999999995	180.84380000000002	328.5238	-142.796	62969.0	3350.2789038001056	3207.4829038001058	3358.2139038001055	3358.2139038001055	0.0	0.0	0.0	150.731	0.0	0.0	72286.0	0.0	7.934999999999945	7.934999999999945	60849.7860961999	0.0	3358.2139038001055	50.879999999999995	379.4038	236.60779999999997	228.6728
2026/03/30	1076.12	156.5688	84.99000000000004	5.357	246.91580000000005	147.68	50.879999999999995	180.84380000000002	328.5238	-132.488	62969.0	3358.2139038001055	3225.7259038001057	3367.8669038001053	3367.8669038001053	0.0	0.0	0.0	142.141	0.0	0.0	72286.0	0.0	9.652999999999793	9.652999999999793	60840.133096199905	0.0	3367.8669038001053	50.879999999999995	379.4038	246.91580000000005	237.2628
2026/03/31	0.0	162.7518	48.69900000000001	5.357	216.8077999999999	147.68	50.879999999999995	180.84380000000002	328.5238	-162.596	62969.0	3367.8669038001053	3205.2709038001053	3372.5019038001055	3372.5019038001055	0.0	0.0	0.0	167.231	0.0	0.0	72286.0	0.0	4.635000000000218	4.635000000000218	60835.49809619991	0.0	3372.5019038001055	50.879999999999995	379.4038	216.8077999999999	212.1728
2026/04/01	0.0	169.1908	30.282000000000018	5.357	204.8298000000001	147.68	67.01000000000002	180.84380000000002	328.5238	-190.704	62969.0	3372.5019038001055	3181.797903800106	3374.6349038001053	3374.6349038001053	0.0	0.0	0.0	192.83700000000002	0.0	0.0	72286.0	0.0	2.132999999999811	2.132999999999811	60833.36509619991	0.0	3374.6349038001053	67.01000000000002	395.53380000000004	204.8298000000001	202.69680000000002
2026/04/02	0.0	172.3888	23.79600000000001	5.357	201.54180000000008	147.68	67.01000000000002	180.84380000000002	328.5238	-193.99200000000002	62969.0	3374.6349038001053	3180.6429038001056	3376.4939038001057	3376.4939038001057	0.0	0.0	0.0	195.851	0.0	0.0	72286.0	0.0	1.8590000000003783	1.8590000000003783	60831.50609619991	0.0	3376.4939038001057	67.01000000000002	395.53380000000004	201.54180000000008	199.68280000000004
2026/04/03	0.0	126.99279999999999	19.926000000000002	5.357	152.27580000000006	0.0	67.01000000000002	180.84380000000002	180.84380000000002	-95.578	62969.0	3376.4939038001057	3280.9159038001058	3379.6847038001056	3379.6847038001056	0.0	0.0	0.0	98.7688	0.0	0.0	72286.0	0.0	3.1907999999998538	3.1907999999998538	60828.31529619991	0.0	3379.6847038001056	67.01000000000002	247.85380000000004	152.27580000000006	149.08500000000004
