序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
39,宁波市,余姚市,富春江坝址以下,曹娥江百官以上,2,106.7,0.38,1.29,1.67,0.1,0.59,1.32,2.01,0,0,0,0,0,0,1.93,1.93,0.4,0.27,0,0.67,0.52,0.7,0.47,0,0,0.158,0.65,0.808,0.0303,0,0.0037,0,,0,0.034,0,0,0,0,0,0,0,0,0.034,0,0.0121,0.0019,0,0.014,0,0.0039,0.0026,0,0,0.0005,0.0003,0.0073,0,0,0,0,0,0,0,0.0013,0.0009,0.0022,0,0.0019,0.0054,0.0073,0,0.0021,0.0011,0.0032,0,0.034,0,0,0.034,0.034,0.034,0,447.00793078586884,138.04821068280768,,,,,,,,
40,宁波市,余姚市,浙东沿海诸河,姚江,2,1236.7,101.36,21.11,122.47,50.38,882.86,502.4,1435.64,3.64,833.06,0,836.7,0,87.16,54.28,54.28,35.62,15.43,0,51.05,15.78,0,0.7,0,2.48,0.32,25.906,26.226,2.4267,0.15,0.6245,0.0474,,0,3.2486,0.0002,0,0,0.0002,0.0168,0.0019,0,0.0187,3.2675,0.439,1.3357,0.1201,0,1.4558,0,0,0.0042,0,0.1477,0.0006,0.0103,0.1628,0,0,0.0431,0.3345,0.201,0.5786,0.0002,0.0226,0.3153,0.3379,0,0.5858,0.1105,0.6963,0,0.0247,0.0114,0.0361,0,3.2675,0.0002,0.439,3.7065,3.2674999999999996,3.2675,0,256.3492664151106,158.20587529120135,,,,,,,,
41,宁波市,余姚市,浙东沿海诸河,奉化江及甬江干流,2,157.6,0.36,1.6,1.96,0.2,1.78,1.87,3.85,0,0,0,0,0,0,3.4,3.4,1.36,2,0,3.36,1.25,0.275,0.45,0,0,0.135,0.98,1.115,0.0876,0,0.003,0,,0,0.0906,0,0,0,0,0,0,0,0,0.0906,0,0.0571,0.0169,0,0.074,0,0.0016,0.0023,0,0,0.0003,0.0003,0.0045,0,0,0,0,0,0,0,0.0009,0.001,0.0019,0,0.0013,0.005,0.0063,0,0.0026,0.0013,0.0039,0,0.0906,0,0,0.0906,0.0906,0.0906,0,441.400304414003,107.87671232876713,,,,,,,,
42,宁波市,慈溪市,浙东沿海诸河,姚江,2,1361,148.5,37.4,185.9,60.9549,1455.3281,862.8863,2379.1693,0.762,1357.1228,0,1357.8848,0,12.7,67.14,55.48,12.2,42.15,0,54.35,8.81,0.02,1.5,0,2.429,0.1035,39.2916,39.3951,1.1958,0.1024,0.8121,0.776,,0,2.8863,0.0001,0,0,0.0001,0.0667,0,0,0.0667,2.9531,1.75,0.4514,0.3245,0,0.7759,0,0.0001,0.0112,0,0.1476,0.0004,0.015,0.1743,0,0,0.0781,0.4069,0.4015,0.8865,0.0001,0.0561,0.1759,0.232,0,0.656,0.1612,0.8172,0,0.0475,0.0197,0.0672,0,2.9531,0.0001,1.75,4.7031,2.9531000000000005,2.9531,0,172.59351505926847,132.51776426635413,,,,,,,,
43,宁波市,象山县,浙东沿海诸河,象山港及三门湾,2,1382,35.4,22,57.4,85.39,281.33,303.04,669.76,13.34,195.46,0,208.8,240,3.75,35.05,24.465,20.809,2.943,0,23.752,6.99,3.555,1.845,0,2.03,0.1646,32.9589,33.1235,0.9904,0.1882,0.2021,0.1052,,0,1.4859,0,0,0,0,0.0188,0.0001,0.0043,0.0232,1.5091,0.0515,0.541,0.0165,0,0.5575,0,0.0213,0.0111,0,0.1081,0.0005,0.0112,0.1522,0,0.0253,0.0092,0.1407,0.0565,0.2317,0,0.0151,0.1933,0.2084,0,0.2164,0.1219,0.3383,0,0.019,0.002,0.021,0,1.5091,0,0.0515,1.5606,1.5090999999999999,1.5091,0,343.47186750251535,154.29638854296388,,,,,,,,
44,宁波市,宁海县,浙东沿海诸河,奉化江及甬江干流,2,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
45,宁波市,宁海县,浙东沿海诸河,象山港及三门湾,2,1840.2,44.9,25.9,70.8,50.67,429.4,360.03,840.1,36.1,345.03,0,381.13,452,0,50.61,26.78,19.664,4.86,0,24.524,9.02,4.245,2.385,0,1.529,0.4864,21.7582,22.2446,3.1474,0.05,0.0757,-1.6392,,0,1.6339,0.002,0,0,0.002,0,0,0,0,1.6359,0.1536,0.5762,0.0436,0,0.6198,0,0.0289,0.0158,0,0.0869,0.0014,0.0096,0.1426,0,0.0639,0,0.114,0.0571,0.235,0.001,0.0175,0.1352,0.1527,0.001,0.2926,0.1417,0.4343,0,0.0411,0.0104,0.0515,0,1.6359,0.002,0.1536,1.7895,1.6359000000000001,1.6359,0,296.7934832351954,160.89279102977733,,,,,,,,
,宁波,宁波城市供水区,中心城区,,,2461,381.7,74.10000000000001,455.8,69.6809,3400.062,4895.5455,8365.288400000001,77.41420000000001,2942.8633999999997,0,3020.2776,500,446.3,80.01,62.229800000000004,44.78260000000001,12.667400000000002,0,57.45,19.1,1.9500000000000002,4.108,0,0.7645,0.7403,14.048799999999998,14.789100000000001,2.6561000000000003,0.39070000000000005,3.7784999999999997,3.4208,,0,10.2461,0.0060999999999999995,0,0,0.0060999999999999995,0.3141,0.0002,0,0.31429999999999997,10.5665,2.7800000000000002,1.5071999999999999,0.11130000000000001,0,1.6185,0,0.014000000000000002,0.028300000000000002,0,0.047099999999999996,0.0026999999999999997,0.0038999999999999994,0.096,0,0.1136,0.4447,3.1262,0.5507,4.2352,0.0060999999999999995,0.1599,1.37,1.5299,0,2.2996,0.3999,2.6994999999999996,0,0.2984,0.08900000000000001,0.3874,0,10.5665,0.0060999999999999995,2.7800000000000002,13.346499999999999,10.566500000000001,10.5665,0,,4.1692,6.9492,4.6168,4.2352,1.7145000000000001,,,,
,宁波,,奉化区,,,1268,35.300000000000004,23.1,58.400000000000006,33.79,523.83,290.82,848.44,0,473.17999999999995,0,473.17999999999995,0,0,34.72,34.72,26.099999999999998,6.41,0,32.51,6.32,6.45,0.8999999999999999,0,0.108,0.11,18.412,18.522,2.5042,0.20329999999999998,0.3205,-1.2773,,0,1.7507,0.0014,0,0,0.0014,0,0,0,0,1.7521,0.3,0.8455,0.056799999999999996,0,0.9023,0,0.0387,0.0054,0,0.0065,0.00039999999999999996,0.0097,0.060700000000000004,0,0,0,0.1731,0.0832,0.2563,0.001,0.028700000000000003,0.1516,0.18030000000000002,0.0004,0.2131,0.11629999999999999,0.32939999999999997,0,0.0126,0.0105,0.023100000000000002,0,1.7521,0.0014,0.3,2.0521000000000003,1.7521,1.7521,0,,0.5238,0.8238000000000001,0.5327999999999999,0.2563,0.963,,,,
,宁波,余慈供水区,余姚市,,,1501,102.1,24,126.1,50.68000000000001,885.23,505.59,1441.5,3.64,833.06,0,836.7,0,87.16,59.61,59.61,37.379999999999995,17.7,0,55.08,17.55,0.975,1.6199999999999999,0,2.48,0.613,27.535999999999998,28.148999999999997,2.5446,0.15,0.6312000000000001,0.0474,,0,3.3731999999999998,0.0002,0,0,0.0002,0.0168,0.0019,0,0.0187,3.3920999999999997,0.439,1.4049,0.13890000000000002,0,1.5438,0,0.0055,0.0091,0,0.1477,0.0014,0.0109,0.1746,0,0,0.0431,0.3345,0.201,0.5786,0.0002,0.0248,0.31720000000000004,0.34199999999999997,0,0.589,0.12090000000000001,0.7099,0,0.0294,0.0138,0.0432,0,3.3920999999999997,0.0002,0.439,3.8310999999999997,3.3920999999999992,3.3920999999999997,0,,0.7812000000000001,1.2202000000000002,1.0951,0.5786,1.7184000000000001,,,,
,宁波,,慈溪市（含杭州湾新区）,,,1361,148.5,37.4,185.9,60.9549,1455.3281,862.8863,2379.1693,0.762,1357.1228,0,1357.8848,0,12.7,67.14,55.48,12.2,42.15,0,54.35,8.81,0.02,1.5,0,2.429,0.1035,39.2916,39.3951,1.1958,0.1024,0.8121,0.776,,0,2.8863,0.0001,0,0,0.0001,0.0667,0,0,0.0667,2.9531,1.75,0.4514,0.3245,0,0.7759,0,0.0001,0.0112,0,0.1476,0.0004,0.015,0.1743,0,0,0.0781,0.4069,0.4015,0.8865,0.0001,0.0561,0.1759,0.232,0,0.656,0.1612,0.8172,0,0.0475,0.0197,0.0672,0,2.9531,0.0001,1.75,4.7031,2.9531000000000005,2.9531,0,,0.9145000000000001,2.6645000000000003,1.1164,0.8865,0.9502,,,,
,宁波,宁象供水区,宁海县,,,1843,44.9,25.9,70.8,50.67,429.4,360.03,840.1,36.1,345.03,0,381.13,452,0,50.61,26.78,19.664,4.86,0,24.524,9.02,4.245,2.385,0,1.529,0.4864,21.7582,22.2446,3.1474,0.05,0.0757,-1.6392,,0,1.6339,0.002,0,0,0.002,0,0,0,0,1.6359,0.1536,0.5762,0.0436,0,0.6198,0,0.0289,0.0158,0,0.0869,0.0014,0.0096,0.1426,0,0.0639,0,0.114,0.0571,0.235,0.001,0.0175,0.1352,0.1527,0.001,0.2926,0.1417,0.4343,0,0.0411,0.0104,0.0515,0,1.6359,0.002,0.1536,1.7895,1.6359000000000001,1.6359,0,,0.1257,0.2793,0.6385000000000001,0.235,0.7624,,,,
,宁波,,象山县,,,1382,35.4,22,57.4,85.39,281.33,303.04,669.76,13.34,195.46,0,208.8,240,3.75,35.05,24.465,20.809,2.943,0,23.752,6.99,3.555,1.845,0,2.03,0.1646,32.9589,33.1235,0.9904,0.1882,0.2021,0.1052,,0,1.4859,0,0,0,0,0.0188,0.0001,0.0043,0.0232,1.5091,0.0515,0.541,0.0165,0,0.5575,0,0.0213,0.0111,0,0.1081,0.0005,0.0112,0.1522,0,0.0253,0.0092,0.1407,0.0565,0.2317,0,0.0151,0.1933,0.2084,0,0.2164,0.1219,0.3383,0,0.019,0.002,0.021,0,1.5091,0,0.0515,1.5606,1.5090999999999999,1.5091,0,,0.3903,0.44179999999999997,0.5677,0.2317,0.7097,,,,
