序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
183,丽水市,青田县,瓯江温溪以下,飞云江,6,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
184,丽水市,云和县,瓯江温溪以上,大溪,6,819.7,9.47,3.01,12.48,4.22,48.28,38.16,90.66,0,27.26,16.3,43.56,0,0,11.45,8.74,7.024,0.76,0.32,8.104,1.49,0,0.485,0,0.05,0.142,4.03,4.172,0.3532,0.0294,0.0004,0,,0,0.383,0,0,0,0,0.0103,0,0,0.0103,0.3933,0,0.2113,0.007,0.0036,0.2219,0,0,0.0031,0,0.0013,0.0011,0.0009,0.0064,0,0,0,0.0198,0.0216,0.0414,0,0.0029,0.0338,0.0367,0,0.0496,0.0151,0.0647,0,0.0178,0.0044,0.0222,0,0.3933,0,0,0.3933,0.3933,0.3933,0,301.16734894620356,177.49055659218132,,,,,,,,
185,丽水市,云和县,瓯江温溪以上,小溪及瓯江青田段,6,164.3,0,0.42,0.42,0.97,0,6.44,7.41,0,0,0,0,0,0,2.49,1.69,1.08,0.27,0.21,1.56,0.42,0,0.097,0,0,0.0107,0.86,0.8707,0.0428,0.0035,0,0,,0,0.0463,0,0,0,0,0,0,0,0,0.0463,0,0.0388,0.0028,0.0029,0.0445,0,0,0.0004,0,0,0.0001,0.0002,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0.0011,0,0,0,0,0,0.0463,0,0,0.0463,0.046299999999999994,0.0463,0,,71.75472928897588,,,,,,,,
186,丽水市,庆元县,瓯江温溪以上,大溪,6,64,0.7898,0.4708,1.2606,0.7091,2.0974,5.4148,8.2213,0,0,0,0,0,0,2.54,1.85,0.95,0.05,0.12,1.12,0.47,0,0,0,0,0,0,0,0.0084,0.0434,0,0,0,0,0.0518,0,0,0,0,0,0,0,0,0.0518,0,0.0445,0.0006,0.0015,0.0466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0004,0.0006,0,0.0029,0.0017,0.0046,0,0,0,0,0,0.0518,0,0,0.0518,0.051800000000000006,0.0518,0,121.41100399962536,98.92808510143038,,,,,,,,
187,丽水市,庆元县,瓯江温溪以上,小溪及瓯江青田段,6,546.7,2.078,1.2465,3.3245,1.5068,7.9049,11.0965,20.5082,0,2.7053,0,2.7053,0,0,6.43,5.942,1.979,0.22,0.65,2.849,0.86,0,0,0,0,0.11,1.88,1.99,0.0423,0.0782,0,0,0,0,0.1205,0,0,0,0,0,0,0,0,0.1205,0,0.0933,0.0022,0.0083,0.1038,0,0,0,0,0,0.0004,0.0007,0.0011,0,0,0,0.0019,0,0.0019,0,0.0005,0.0011,0.0016,0,0.0076,0.0045,0.0121,0,0,0,0,0,0.1205,0,0,0.1205,0.12050000000000001,0.1205,0,121.2968212322175,98.90707680134513,,,,,,,,
188,丽水市,庆元县,闽东诸河,闽东诸河,6,247.3,1.228,0.5261,1.7541,1.2311,3.5098,6.5601,11.301,0,0,0,0,0,0,3.67,3.38,1.06,0.18,0.28,1.52,0.52,0,0,0,0,0,1.13,1.13,0.0199,0.0444,0,0,0,0,0.0643,0,0,0,0,0,0,0,0,0.0643,0,0.0507,0.0019,0.0037,0.0563,0,0,0,0,0,0,0.0005,0.0005,0,0,0,0,0,0,0,0.0003,0.0008,0.0011,0,0.0045,0.0019,0.0064,0,0,0,0,0,0.0643,0,0,0.0643,0.0643,0.0643,0,124.9386462005265,98.94467690657278,,,,,,,,
189,丽水市,庆元县,闽江上游,闽江上游,6,1040,4.9942,2.9366,7.9308,3.9984,16.2737,24.8616,45.1337,0.3301,19.1634,0,19.4935,0,9,11.18,9.8,3.91,0.24,0.48,4.63,2.03,0.1,0.1,0,0,0.06,4.15,4.21,0.0632,0.1865,0,0,0,0,0.2497,0.0032,0,0,0.0032,0.0141,0,0,0.0141,0.267,0,0.1845,0.0025,0.0061,0.1931,0,0.0005,0.0006,0,0,0.0002,0.0019,0.0032,0,0,0.0036,0.0129,0,0.0165,0.0004,0.0015,0.0026,0.0041,0,0.0184,0.0106,0.029,0.0028,0.0211,0,0.0211,0,0.267,0.0032,0,0.267,0.26699999999999996,0.267,0,239.18156019887175,98.89360447596187,,,,,,,,
190,丽水市,缙云县,富春江坝址以上,金华江下游,6,298.7,7.9998,5.6541,13.6539,3.1725,40.3825,21.0901,64.6451,0,34.5278,0,34.5278,0,0,10.65,4.27,3.53,0.44,0.24,4.21,1.22,0.07,0.28,0,0.12,0.03,5.92,5.95,0.1384,0.1147,0.0395,0,0,0,0.2926,0,0,0,0,0,0,0,0,0.2926,0,0.1489,0.0047,0.0033,0.1569,0,0.0003,0.0018,0,0.0051,0.0001,0.0027,0.01,0,0,0,0.0392,0,0.0392,0,0.0024,0.0196,0.022,0,0.0345,0.0221,0.0566,0,0.0073,0.0006,0.0079,0,0.2926,0,0,0.2926,0.2926,0.2926,0,218.49861315026027,109.99412960845726,,,,,,,,
191,丽水市,缙云县,瓯江温溪以上,大溪,6,981.9,15.4702,7.7918,23.262,7.7018,76.9258,106.0707,190.6983,0,66.7768,0,66.7768,0,0,20.39,9.45,7.814,0.93,0.53,9.274,3.08,0.08,0.31,0,0.2,0.02,8.11,8.13,0.3196,0.1717,0.104,0,0,0,0.5953,0,0,0,0,0.0081,0,0,0.0081,0.6034,0,0.3542,0.0099,0.0076,0.3717,0,0.0003,0.002,0,0.0091,0.0001,0.0034,0.0149,0,0,0,0.0797,0,0.0797,0,0.0046,0.023,0.0276,0,0.0669,0.0309,0.0978,0,0.0107,0.001,0.0117,0,0.6034,0,0,0.6034,0.6034,0.6034,0,186.30604522384442,112.16568735590313,,,,,,,,
192,丽水市,缙云县,瓯江温溪以下,永安溪,6,130.9,0,2.9104,2.9104,1.1688,7.4782,5.6806,14.3276,0,1.2113,0,1.2113,0,0,2.5,1.29,0.9,0.35,0,1.25,0.52,0,0,0,0,0.02,2.87,2.89,0.0372,0.015,0.0048,0,0,0,0.057,0,0,0,0,0,0,0,0,0.057,0,0.0379,0.0037,0,0.0416,0,0,0,0,0,0.0001,0.0013,0.0014,0,0,0,0.0014,0,0.0014,0,0,0,0,0,0,0.0115,0.0115,0,0,0.0011,0.0011,0,0.057,0,0,0.057,0.05699999999999999,0.057,0,,118.61100860777034,,,,,,,,
