水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,旱地,水浇地,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
 ,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330783,东阳市,金华市,1528.8,77.53,30.06,107.59,20.96,342.7,479.58,843.24,2.73,157.93,97.82,258.48,0,8.1,35.41,29.85,22.18,7.67,0,29.85,8.98,1.12,4.61,0,2.67,0.14,8.85,8.99
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330783,东阳市,金华市,30,0,0.65,0.65,0.42,1.33,4.57,6.32,0,0.43,0.26,0.69,0,0,0.71,0.59,0.44,0.15,0,0.59,0.18,0.01,0.09,0,0.05,0,0.2,0.2
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330783,东阳市,金华市,18.6,0,0.43,0.43,0.27,1.56,3.05,4.88,0,0.61,0.37,0.98,0,0,0.48,0.41,0.3,0.11,0,0.41,0.12,0.01,0.06,,0.03,0,0.2,0.2
 ,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330783,东阳市,金华市,166.5,0,0.83,0.83,2.05,8.37,10.28,20.7,0,0.5,0.3,0.8,0,0,2.95,2.44,1.82,0.62,0,2.44,0.73,0.11,0.38,0,0.29,0,1.05,1.05
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330783,东阳市,金华市,3.1,,,0,,,,0,,,,0,,,0,0,,,,0,0,0,,,0,,,0
 ,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330784,永康市,金华市,92.6,0,2.39,2.39,0.86,11.17,16.65,28.68,0,4.95,4.26,9.21,0,0,2.3,2.06,1.75,0.27,0,2.02,0.49,0.25,0.28,0,0.13,0,0.62,0.62
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330784,永康市,金华市,934.9,68.18,26.93,95.11,9.23,412.68,380.32,802.23,0.96,196.77,170.26,367.99,0,1.5,25.74,23.02,19.66,3.01,0,22.67,5.48,2.5,3.09,0,1.32,0.05,4.06,4.11
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330784,永康市,金华市,19.5,0.2,0.4,0.6,0.16,1.39,3.07,4.62,0,0.45,0.4,0.85,,,0.39,0.35,0.28,0.05,0,0.33,0.08,0.04,0.05,0,0.03,,0.15,0.15
,,,,,,,,金华市,10942,525.01,195.89000000000004,720.9,166.96544985242753,2586.891699456309,4171.661065098229,6925.518214406966,18.165,1347.5948097995233,767.3299999999999,2133.089809799523,0,310.975,221.53,211.84,157.5,37.99999999999999,0,195.50000000000003,48.489999999999995,12.750699999999998,44.752200000000016,0,13.465499999999999,3.7769,178.8304,182.60729999999998
,东南诸河,钱塘江,富春江坝址以下,,,,,金华市,1579.2,64.80000000000001,26.57,91.37,20.4159436240767,357.66873497017224,412.8278262009988,790.9122120285525,1.38,152.03667605316537,115.146,268.5626760531654,0,6.3,24.2547,23.6247,16.4223,5.047200000000001,0,21.469500000000004,4.73,0.8082,10.0912,0,0.8489,0.18430000000000002,29.6224,29.8067
