序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计
142,衢州市,开化县,富春江坝址以上,新安江,3,24.6,0,0.1,0.1,0.2,0,0,0.2,0,0,0,0,0,0,0.0985,0.0793,0.0271,0.0521,0,0.0792,0.020000000000000462,0,0,0,0,0,0,0,0.0015,0,0,0,,0,0.0015,0.0001,0,0,0,0,0,0,0,0.0015,0,0.0009,0.0003,0,0.0012,0,0,0,0,0,0,0,0,0,0,0.0021,0,0,0,0,0,0,0,0,0,0.0003,0.0003,0,0,0,0,0,0.0015,0,0,0.0015
143,衢州市,龙游县,富春江坝址以上,衢江下游,3,1141,20.1,16.6,36.7,12.73,135.67,170.54,318.94,6.5563,102.4104,0,108.9667,0,45.3,47,32.5919,28.0746,3.1608,0,31.2354,12.54,0.1,5.1165,0,0.8956,0.5077,106.364,106.8717,1.1934,0.6944,0.1046,0,,0,1.9924,0.0001,0,0,0,0.028,0,0,0.028,2.0204,0,1.2031,0.0177,0,1.2208,0,0.0003,0.0196,0,0.077,0.0013,0.0368,0.135,0,0,0.0345,0.3278,0,0.3623,0,0.0186,0.1017,0.1203,0,0.0919,0.063,0.1549,0,0.0261,0.001,0.0271,0,2.0204,0,0,2.0204
144,衢州市,龙游县,富春江坝址以上,新安江,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,衢州市,江山市,信江,信江,3,214.2,0.7,1,1.7,0.25,2.99,8.87,12.11,0,0.0624,0,0.0624,0,0,1.8908,0.6543,0.4759,0.1784,0,0.6543,1.51,0.4,0.62,0,0.0946,0,5.9985,5.9985,0.0526,0.0024,0.002,0,,0,0.057,0,0,0,0,0,0,0,0,0.057,0,0.0294,0.0013,0,0.0307,0,0.0012,0.002,0,0.0062,0,0.002,0.0114,0,0,0.0021,0.0001,0,0.0001,0,0.0046,0.0003,0.0049,0,0.0027,0.0032,0.0059,0,0.0035,0.0005,0.004,0,0.057,0,0,0.057
146,衢州市,江山市,富春江坝址以上,衢江上游,3,1756.9,28.8,16.6,45.4,20.31,169.82,196.36,386.49,2.2554,126.7823,0,129.0377,0,26.1,44.5792,35.5567,31.5919,3.9648,0,35.5567,13.49,1.8206,4.2593,0,1.2854,0.2537,74.197,74.4507,1.1469,0.6177,0.3531,0,,0,2.1177,0.0006,0,0,0.0006,0.0312,0,0,0.0312,2.1495,0.0384,1.5079,0.0272,0,1.5351,0,0.0054,0.0135,0,0.0807,0.0006,0.0251,0.1253,0,0,0.0062,0.1672,0,0.1734,0.0006,0.0278,0.0388,0.0666,0,0.1498,0.0637,0.2135,0,0.0329,0.0027,0.0356,0,2.1495,0.0006,0.0384,2.1879
147,衢州市,江山市,富春江坝址以上,衢江下游,3,47.9,0.9,1.5,2.4,4.49,2.32,0.36,7.17,0,5.332,0,5.332,0,0,5.67,0.459,0.3508,0.1081,0,0.4589,0.92,0.1794,0.5492,0,0,0.0728,13.3775,13.4503,0.027,0.0133,0.0011,0,,0,0.0414,0,0,0,0,0,0,0,0,0.0414,0,0.0157,0.0007,0,0.0164,0,0.0006,0.002,0,0,0.0002,0.0045,0.0073,0,0,0.0021,0.0076,0,0.0076,0,0.0007,0,0.0007,0,0.0043,0.0049,0.0092,0,0.0002,0,0.0002,0,0.0414,0,0,0.0414
,衢州,衢江干流供水区,衢州市区,,,2355,61.4,31,92.39999999999999,29.04,434.67999999999995,534.6800000000001,998.4,3.4114000000000004,377.9998,0,381.4112,34.5,23,59.78,43.81,34.399699999999996,5.2853,0,39.685,15.719999999999999,2.5,15.33,0,0.40850000000000003,0.6602999999999999,34.144999999999996,34.8053,2.912,1.0723,0.1882,0,,0,4.1725,0.00030000000000000003,0,0,0.0002,0.1494,0,0,0.1494,4.322099999999999,0,1.5021,0.039,0,1.5411,0,0.0085,0.0492,0,0.4101,0.0015999999999999999,0.012499999999999999,0.4819,0,0.3624,0.0078,1.1044,0,1.4683000000000002,0.0002,0.027700000000000002,0.3399,0.3676,0,0.2424,0.10269999999999999,0.3451,0,0.1131,0.005,0.11810000000000001,0,4.322099999999999,0.0002,0,4.322099999999999
,衢州,,龙游区,,,1143,20.1,16.6,36.7,12.73,135.67,170.54,318.94,6.5563,102.4104,0,108.9667,0,45.3,47,32.5919,28.0746,3.1608,0,31.2354,12.54,0.1,5.1165,0,0.8956,0.5077,106.364,106.8717,1.1934,0.6944,0.1046,0,,0,1.9924,0.0002,0,0,0,0.028,0,0,0.028,2.0204,0,1.2031,0.0177,0,1.2208,0,0.0003,0.0196,0,0.077,0.0013,0.0368,0.135,0,0,0.0366,0.3278,0,0.3623,0,0.0186,0.1017,0.1203,0,0.0919,0.063,0.1549,0,0.0261,0.001,0.0271,0,2.0204,0,0,2.0204
,衢州,江山供水区,江山区,,,2019.0000000000002,30.4,19.1,49.5,25.049999999999997,175.13,205.59000000000003,405.77000000000004,2.2554,132.1767,0,134.4321,0,26.1,52.14,36.67,32.4186,4.2513,0,36.6699,15.92,2.4,5.4285,0,1.3800000000000001,0.3265,93.57300000000001,93.89949999999999,1.2265,0.6334,0.3562,0,,0,2.2161,0.0006,0,0,0.0006,0.0312,0,0,0.0312,2.2479,0.0384,1.5530000000000002,0.029199999999999997,0,1.5821999999999998,0,0.0072,0.0175,0,0.08689999999999999,0.0007999999999999999,0.0316,0.144,0,0,0.0104,0.17489999999999997,0,0.18109999999999998,0.0006,0.0331,0.0391,0.07220000000000001,0,0.1568,0.0718,0.2286,0,0.0366,0.0032,0.0398,0,2.2479,0.0006,0.0384,2.2862999999999998
,衢州,常山港供水区,常山区,,,1097,14,12.7,26.7,9.370000000000001,94.22999999999999,110.34,213.94,1.9486,69.5071,0,71.4557,0,49.1,24.2,18.02,14.0087,3.0613,0,17.07,6.2,0,10.1325,0,0.18,0.2888,16.5425,16.8313,0.6641,0.2432,0.0773,0,,0,0.9846,0.0002,0,0,0,0.0433,0,0,0.0433,1.0279,0,0.5788,0.0237,0,0.6025,0,0,0.0279,0,0.0162,0.0007,0.006,0.0508,0,0,0.0526,0.1275,0,0.178,0,0.0096,0.0432,0.0528,0,0.0741,0.051699999999999996,0.1258,0,0.017,0.001,0.018,0,1.0279,0,0,1.0279
,衢州,,开化区,,,2231,13.1,11.299999999999999,24.400000000000002,15.01,69.27,103.94,188.21999999999997,0.2078,44.7812,0,44.989,0,0.6,33.82,18.5,14.071000000000002,4.415500000000001,0,18.4865,6.22,0,1.4445000000000001,0,0.1449,0.0767,9.915799999999999,9.9925,0.7147,0.2746,0.1754,0,,0,1.1647,0.00030000000000000003,0,0,0.0025,0.0142,0,0,0.0142,1.1814,0,0.8390000000000001,0.0332,0,0.8722,0,0,0.0049,0,0.0139,0.0002,0.0036,0.022600000000000002,0,0,0.0051,0.0526,0,0.0535,0.0024,0.0088,0.0847,0.0935,0.0001,0.075,0.045700000000000005,0.1207,0,0.0179,0.001,0.0189,0,1.1814,0.0025,0,1.1814
