序号,市,县（市、区）,水资源分区,nan,水资源利用分区,nan,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水
115,金华市,磐安县,瓯江温溪以下,永安溪,3,0.0,140.2,0.0823,0.9738,1.0561,0.8652,6.2923,3.8653,11.0228,0,2.9438,1.8407,4.7845,0,0,0.9296,0.9296,0.4021,0.4296,0,0.8317,0.2305,0.0072,0.2236,0,0.0269,0.0033,0.6675,0.6708,0.0316,0,0,0,,0,0.0316,0,0,0,0,0,0,0,0,0.0316,0,0.0119,0.0045,0,0.0164,0,0.0001,0.0013,0,0.0013,0,0.0004,0.0031,0,0,0,0.0019,0.0029,0.0048,0,0,0.0002,0.0002,0,0.0005,0.0049,0.0054,0,0.0017,0,0.0017,0,0.0316,0,0,0.0316,0,0,0
116,金华市,磐安县,瓯江温溪以下,始丰溪,3,0.0,204.9,0.103,1.1672,1.2702,3.4499,1.2631,5.8452,10.5582,0,0.5908,0.3695,0.9603,0,0,3.7066,3.7066,1.5836,1.7123,0,3.2959,0.9118,0.0068,0.2112,0,0.0254,0.0032,0.6296,0.6328,0.0766,0,0,0,,0,0.0766,0,0,0,0,0,0,0,0,0.0766,0,0.0468,0.0177,0,0.0645,0,0,0.0012,0,0.0013,0,0.0004,0.0029,0,0,0,0.0004,0.0006,0.001,0,0,0.0002,0.0002,0,0.0006,0.0058,0.0064,0,0.0016,0,0.0016,0,0.0766,0,0,0.0766,0,0,0
117,金华市,兰溪市,富春江坝址以上,衢江下游,3,0.0,330.1,7.2,5.88,13.08,9.76,62.11,53.04,124.91,0,30.86,10.02,40.88,0,0,14.87,14.87,12.25,1.89,0,14.14,2.9,0.37,4.71,0,2.66,0.29,12.38,12.67,0.4144,0.1952,0.1642,0,,0,0.7738,0,0,0,0,0,0,0,0,0.7738,0,0.4315,0.0083,0,0.4398,0,0.0024,0.022,0,0.1322,0.0009,0.0078,0.1653,0,0,0,0.0438,0.011,0.0548,0,0.0053,0.0157,0.021,0,0.0459,0.0327,0.0786,0,0.0113,0.003,0.0143,0,0.7738,0,0,0.7738,0,0,0
118,金华市,兰溪市,富春江坝址以上,金华江下游,3,0.0,126.1,3.24,2.7,5.94,6.25,35.59,42.28,84.12,0,41.03,8.54,49.57,0,264,4.8,4.8,3.31,1.49,0,4.8,1.28,0.11,3.07,0,0.27,0.13,6.58,6.71,0.1297,0.0236,0.3916,0,,0,0.5449,0.0029,0,0,0.0029,0,0,0,0,0.5478,0,0.1262,0.0055,0,0.1317,0,0.0007,0.0119,0,0.0119,0.0004,0.0031,0.028,0.001,0,0.2858,0.0368,0.0098,0.3324,0.0019,0.0015,0.0133,0.0148,0,0.0209,0.015,0.0359,0,0.0042,0.0008,0.005,0,0.5478,0.0029,0,0.5478,0,0,0
119,金华市,兰溪市,富春江坝址以上,兰江及富春江上游段,3,0.0,851.3,22.2,16.49,38.69,11.54,144.63,97.16,253.33,0,97.21,34.76,131.97,0,0,21.3,21.3,15.14,2.5,0,17.64,3.89,0.44,2.3,0,1.21,0.31,15.62,15.93,0.7198,0.1012,0.3022,0,,0,1.1232,0.0072,0,0,0.0072,0,0,0,0,1.1304,0,0.5312,0.0081,0,0.5393,0,0.0028,0.0118,0,0.063,0.0009,0.0078,0.0863,0.004,0,0,0.1526,0.0381,0.1907,0.0032,0.0024,0.0417,0.0441,0,0.1362,0.0972,0.2334,0,0.0291,0.0075,0.0366,0,1.1304,0.0072,0,1.1304,0,0,0
120,金华市,兰溪市,富春江坝址以下,浦阳江,3,0.0,4.5,0.02,0.07,0.09,0.04,0.01,2.64,2.69,0,0.25,0.15,0.4,0,0,0.12,0.12,0.07,0.02,0,0.09,0.02,0.17,1.8,0,0.01,0.07,0.82,0.89,0.0038,0.0015,0.0106,0,,0,0.0159,0,0,0,0,0,0,0,0,0.0159,0,0.0032,0.0001,0,0.0033,0,0.0011,0.0078,0,0.0003,0.0002,0.0016,0.011,0,0,0,0.0004,0.0002,0.0006,0,0.0002,0.0002,0.0004,0,0.0001,0.0003,0.0004,0,0.0001,0.0001,0.0002,0,0.0159,0,0,0.0159,0,0,0
121,金华市,义乌市,富春江坝址以上,金华江上游,3,0.0,349.1,90.4584,21.5658,112.0242,7.2582,267.9764,970.3478,1245.5824,0,100.369,121.2216,221.5906,0,0,6.6888,6.6888,4.5149,1.4104,0,5.9253,1.535,0,1.6045,0,0.5075,0,4.82,4.82,0.3339,0.8,0.0932,0,,0,1.2271,0,0,0,0,0.0839,0.0033,0,0.0872,1.3143,0,0.1428,0.0072,0,0.15,0,0,0.0078,0,0.0254,0,0.0028,0.036,0,0,0,0.136,0.1284,0.2644,0,0.0148,0.2314,0.2462,0,0.4641,0.1032,0.5673,0,0.0444,0.006,0.0504,0,1.3143,0,0,1.3143,0,0,0
122,金华市,义乌市,富春江坝址以上,金华江下游,3,0.0,491.7,30.9667,7.4703,38.437,15.852,180.4229,79.075,275.3499,0.0994,90.5127,116.7087,207.3208,0,0.45,12.6267,12.6267,8.5228,2.6624,0,11.1852,2.8977,0,3.029,0,0.716,0.02,5.98,6,0.8417,0,0.0319,0,,0,0.8736,0,0,0,0,0.0717,0.0012,0,0.0729,0.9465,0,0.2694,0.0135,0,0.2829,0,0,0.0109,0,0.0358,0.0001,0.004,0.0508,0,0,0.0054,0.137,0.1293,0.2717,0,0.0049,0.0768,0.0817,0,0.1541,0.0343,0.1884,0,0.0625,0.0085,0.071,0,0.9465,0,0,0.9465,0,0,0
123,金华市,义乌市,富春江坝址以下,浦阳江,3,0.0,264.2,30.9365,7.4023,38.3388,3.7987,167.8786,142.9277,314.605,0,56.4146,75.9115,132.3261,0,0,5.9145,5.9145,3.9923,1.2472,0,5.2395,1.3573,0,1.4189,0,0.3845,0,3,3,0.5252,0,0.0248,0,,0,0.55,0,0,0,0,0.0616,0,0,0.0616,0.6116,0,0.1262,0.0063,0,0.1325,0,0,0.0059,0,0.0192,0,0.0022,0.0273,0,0,0,0.0691,0.0654,0.1345,0,0.0051,0.0794,0.0845,0,0.1593,0.0354,0.1947,0,0.0335,0.0046,0.0381,0,0.6116,0,0,0.6116,0,0,0
124,金华市,东阳市,富春江坝址以上,金华江上游,3,0.0,1528.8,74.92,31.84,106.76,19.03,343.76,370.95,733.74,0.77,163.1,105.86,269.73,0,3.1,35.41,35.41,23.31,8.06,0,31.37,8.11,0.78,4.38,0,2.67,0.17,7.34,7.51,2.4311,0.134,0.0191,0,,0,2.5842,0,0,0,0,0,0,0,0,2.5842,0,1.229,0.0546,0,1.2836,0,0.0043,0.0224,0,0.1427,0.0005,0.0059,0.1758,0,0,0.0121,0.254,0.1144,0.3805,0,0.0156,0.1286,0.1442,0,0.3583,0.1325,0.4908,0,0.0645,0.0448,0.1093,0,2.5842,0,0,2.5842,0,0,0
125,金华市,东阳市,富春江坝址以上,金华江下游,3,0.0,30,0,0.8,0.8,0.38,1.33,3.53,5.24,0,0.44,0.28,0.72,0,0,0.71,0.71,0.46,0.16,0,0.62,0.16,0.01,0.09,0,0.05,0,0.17,0.17,0.0261,0,0.0094,0,,0,0.0355,0,0,0,0,0,0,0,0,0.0355,0,0.0246,0.0011,0,0.0257,0,0.0001,0.0005,0,0.0026,0,0.0001,0.0033,0,0,0,0.0007,0.0004,0.0011,0,0.0002,0.0013,0.0015,0,0,0.0029,0.0029,0,0,0.001,0.001,0,0.0355,0,0,0.0355,0,0,0
126,金华市,东阳市,富春江坝址以下,浦阳江,3,0.0,18.6,0,0.46,0.46,0.25,1.57,2.36,4.18,0,0.62,0.4,1.02,0,0,0.48,0.48,0.31,0.12,0,0.43,0.11,0.01,0.06,0,0.03,0,0.17,0.17,0.0241,0,0,0,,0,0.0241,0,0,0,0,0,0,0,0,0.0241,0,0.0164,0.0008,0,0.0172,0,0,0.0003,0,0.0014,0,0.0001,0.0018,0,0,0,0.0011,0.0005,0.0016,0,0.0001,0.0009,0.001,0,0,0.0019,0.0019,0,0,0.0006,0.0006,0,0.0241,0,0,0.0241,0,0,0
127,金华市,东阳市,富春江坝址以下,曹娥江百官以上,3,0.0,166.5,0,0.88,0.88,1.86,8.4,7.95,18.21,0,0.51,0.33,0.84,0,0,2.95,2.95,1.92,0.65,0,2.57,0.67,0.08,0.36,0,0.29,0,0.87,0.87,0.0953,0.0358,0.002,0,,0,0.1331,0,0,0,0,0,0,0,0,0.1331,0,0.1022,0.0045,0,0.1067,0,0.0005,0.0019,0,0.0158,0,0.0007,0.0189,0,0,0,0.0008,0.0004,0.0012,0,0.0002,0.0015,0.0017,0,0,0.0034,0.0034,0,0,0.0012,0.0012,0,0.1331,0,0,0.1331,0,0,0
128,金华市,东阳市,瓯江温溪以上,大溪,3,0.0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,金华市,永康市,富春江坝址以上,金华江上游,3,0.0,92.6,0,2.56,2.56,0.82,10.4,13.3,24.52,0,4.41,4.48,8.89,0,0,2.3,2.3,1.78,0.27,0,2.05,0.6,0.19,0.37,0,0.13,0,0.34,0.34,0.0755,0.0043,0.0057,0,,0,0.0855,0,0,0,0,0,0,0,0,0.0855,0,0.0422,0.0012,0,0.0434,0,0.0008,0.0021,0,0.0111,0,0.0003,0.0143,0,0,0,0,0.0061,0.0061,0,0.0002,0.0041,0.0043,0,0,0.0119,0.0119,0,0,0.0055,0.0055,0,0.0855,0,0,0.0855,0,0,0
130,金华市,永康市,富春江坝址以上,金华江下游,3,0.0,934.9,65.39,28.73,94.12,8.8,384.28,303.84,696.92,0.53,175.62,179.07,355.22,0,1.5,25.74,25.74,19.97,3.06,0,23.03,6.74,1.9,4.12,0,1.32,0.05,3.62,3.67,1.4668,0.0295,0.0706,0,,0,1.5669,0.0007,0,0,0.0007,0.0092,0.0112,0,0.0204,1.588,0,0.4779,0.0126,0,0.4905,0,0.008,0.0239,0,0.1119,0.0002,0.003,0.147,0.0006,0,0.0049,0.1889,0.0555,0.2493,0.0001,0.0053,0.0984,0.1037,0,0.3416,0.134,0.4756,0,0.0662,0.0557,0.1219,0,1.588,0.0007,0,1.588,0,0,0
131,金华市,永康市,瓯江温溪以上,大溪,3,0.0,19.5,0.19,0.43,0.62,0.15,1.3,2.46,3.91,0,0.4,0.42,0.82,0,0,0.39,0.39,0.29,0.05,0,0.34,0.11,0.03,0.06,0,0.03,0,0.12,0.12,0.0132,0.0012,0.0014,0,,0,0.0158,0.0006,0,0,0.0006,0,0,0,0,0.0164,0,0.0077,0.0002,0,0.0079,0,0.0002,0.0004,0,0.0023,0,0.0001,0.003,0.0006,0,0,0,0.0007,0.0007,0,0,0.0007,0.0007,0,0.001,0.002,0.003,0,0,0.0011,0.0011,0,0.0164,0.0006,0,0.0164,0,0,0
钱塘江区,金华,金义供水区,金华市区,,,,2050,108.32999999999998,40.57,148.9,33.55,385.21000000000004,627.55,1046.31,2.55,241.65999999999997,63.03,307.24,0,22.125,34.980000000000004,34.980000000000004,28.55,2.99,0,31.54,8.39,6.46,6.91,0,2.92,2.18,55.82,58,2.5826000000000002,0.4245,0.2869,0,,0,3.2940000000000005,0.0125,0,0,0.0125,0.0046,0.0007,0,0.0053,3.3118,0,1.181,0.019799999999999998,0,1.2008,0,0.038299999999999994,0.0551,0,0.15710000000000002,0.0063999999999999994,0.033,0.2899,0.0085,0,0.0332,0.3731,0.1091,0.5154000000000001,0.0008,0.0218,0.265,0.2868,0.0031999999999999997,0.5982,0.196,0.7942,0,0.2247,0,0.2247,0,3.3118,0.0125,0,3.3118,0,0,0
,金华,,义乌区,,,,1105,152.3616,36.4384,188.79999999999998,26.9089,616.2779,1192.3505,1835.5373,0.0994,247.2963,313.8418,561.2375,0,0.45,25.23,25.23,17.03,5.32,0,22.35,5.789999999999999,0,6.0524,0,1.608,0.02,13.8,13.82,1.7008,0.8,0.14989999999999998,0,,0,2.6507000000000005,0,0,0,0,0.2172,0.0045,0,0.2217,2.8724000000000003,0,0.5384,0.027,0,0.5653999999999999,0,0,0.0246,0,0.0804,0.0001,0.009000000000000001,0.1141,0,0,0.0054,0.3421,0.3231,0.6706000000000001,0,0.024800000000000003,0.38759999999999994,0.4124,0,0.7775,0.1729,0.9504,0,0.1404,0.0191,0.1595,0,2.8724000000000003,0,0,2.8724000000000003,0,0,0
,金华,兰溪供水区,兰溪区,,,,1312,32.660000000000004,25.14,57.8,27.589999999999996,242.33999999999997,195.11999999999998,465.05,0,169.35,53.46999999999999,222.82000000000002,0,264,41.089999999999996,41.089999999999996,30.770000000000003,5.8999999999999995,0,36.67,8.09,1.0899999999999999,11.879999999999999,0,4.15,0.8,35.4,36.2,1.2677,0.3215,0.8686000000000001,0,,0,2.4578,0.0101,0,0,0.0101,0,0,0,0,2.4678999999999998,0,1.0921,0.022,0,1.1141,0,0.007,0.0535,0,0.2074,0.0024,0.020300000000000002,0.2906,0.005,0,0.2858,0.23360000000000003,0.0591,0.5785,0.0051,0.0094,0.0709,0.0803,0,0.20309999999999997,0.1452,0.3483,0,0.044700000000000004,0.011399999999999999,0.056100000000000004,0,2.4678999999999998,0.0101,0,2.4678999999999998,0,0,0
,金华,永武供水区,永康区,,,,1047,65.58,31.72,97.30000000000001,9.770000000000001,395.97999999999996,319.59999999999997,725.3499999999999,0.53,180.43,183.96999999999997,364.93,0,1.5,28.43,28.43,22.04,3.38,0,25.42,7.45,2.1199999999999997,4.55,0,1.4800000000000002,0.05,4.08,4.13,1.5555,0.034999999999999996,0.07769999999999999,0,,0,1.6682,0.0013,0,0,0.0013,0.0092,0.0112,0,0.0204,1.6899,0,0.5278,0.014,0,0.5418000000000001,0,0.009000000000000001,0.026400000000000003,0,0.1253,0.0002,0.0034,0.1643,0.0012,0,0.0049,0.1889,0.0623,0.2561,0.0001,0.0055,0.10320000000000001,0.1087,0,0.3426,0.1479,0.49050000000000005,0,0.0662,0.062299999999999994,0.12849999999999998,0,1.6899,0.0013,0,1.6899,0,0,0
,金华,,武义区,,,,1568,29.7815,17.1185,46.900000000000006,16.9526,157.66219999999998,145.9106,320.5254,0.6737,126.51,19.435599999999997,146.6193,0,2.4,21.47,21.47,16.61,2.67,0,19.28,7.459999999999999,2.13,3.21,0,0.6499999999999999,0.31,25.356,25.666000000000004,1.1651,0.1296,0.0974,0,,0,1.3921,0.0012,0,0,0.0012,0,0,0,0,1.3933,0,0.7562,0.027200000000000002,0,0.7834,0,0.0144,0.0228,0,0.0334,0.0009,0.0118,0.0833,0,0,0.0073,0.17579999999999998,0.0018,0.1849,0.0003,0.0045000000000000005,0.06659999999999999,0.0711,0.0009,0.1525,0.0796,0.23209999999999997,0,0.0251,0.0134,0.0385,0,1.3933,0.0012,0,1.3933,0,0,0
,金华,磐东供水区,磐安区,,,,1195,9.5942,8.2058,17.8,13.709999999999999,52.910000000000004,66.94,133.56,0,24.752800000000004,15.4772,40.23,0,0.6,14.73,14.73,6.3149999999999995,6.805,0,13.12,3.6313000000000004,0.0389,1.2092,0,0.14550000000000002,0.02,3.5999999999999996,3.62,0.48310000000000003,0,0,0,,0,0.48310000000000003,0,0,0,0,0.0011,0,0,0.0011,0.4842,0,0.1865,0.071,0,0.2575,0,0.0002,0.007,0,0.007200000000000001,0,0.0022,0.0166,0,0,0.0011,0.0163,0.0235,0.0409,0,0.0045000000000000005,0.0547,0.059199999999999996,0,0.0572,0.043800000000000006,0.101,0,0.009000000000000001,0,0.009000000000000001,0,0.4842,0,0,0.4842,0,0,0
,金华,,东阳区,,,,1746.9999999999998,74.92,33.980000000000004,108.89999999999999,21.52,355.05999999999995,384.78999999999996,761.37,0.77,164.67,106.87,272.31,0,3.1,39.55,39.55,26,8.99,0,34.99,9.049999999999999,0.88,4.89,0,3.0399999999999996,0.17,8.549999999999999,8.719999999999999,2.5765999999999996,0.1698,0.0305,0,,0,2.7768999999999995,0,0,0,0,0,0,0,0,2.7768999999999995,0,1.3722,0.061,0,1.4332000000000003,0,0.0049,0.0251,0,0.1625,0.0005,0.0068000000000000005,0.1998,0,0,0.0121,0.2566,0.1157,0.38439999999999996,0,0.016099999999999996,0.1323,0.1484,0,0.3583,0.14070000000000002,0.49900000000000005,0,0.0645,0.0476,0.1121,0,2.7768999999999995,0,0,2.7768999999999995,0,0,0
,金华,浦江供水区,浦江区,,,,918,29.168999999999997,17.131,46.3,11.76,123.05000000000001,139.95,274.76,1.1,53.09,51.41,105.6,0,5.49,12.91,12.91,9.45,2.2,0,11.65,7.17,0.23,6.57,0,0.15000000000000002,0.0939,10.703800000000001,10.7977,0.8184,0.0834,0.0434,0,,0,0.9451999999999999,0,0,0,0,0,0,0,0,0.9451999999999999,0,0.2947,0.023200000000000002,0,0.3179,0,0.0013,0.0369,0,0.0191,0.0002,0.0041,0.0616,0,0,0.0288,0.1379,0.0643,0.231,0,0.0067,0.048100000000000004,0.0548,0,0.1606,0.0816,0.2422,0,0.026099999999999998,0.0116,0.0377,0,0.9451999999999999,0,0,0.9451999999999999,0,0,0
