水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,水浇地,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
,,,,,,,,衢州市,8845,5.7229,0.1467,0,5.869600000000001,0,0.0149,0.1135,0,0.7388999999999999,0.0045,0.0907,0.9624999999999998,0,0.3922,0.09720000000000001,2.0294999999999996,0,2.5189,0.0032999999999999995,0.09540000000000001,0.7040999999999998,0.7995000000000001,0.0006,0.7080000000000001,0.33619999999999994,1.0442000000000002,0,0.2185,0.011700000000000002,0.2302,0,11.424900000000001,0.0039000000000000003,0.0384,11.4633,0,0
,东南诸河,钱塘江,富春江坝址以上,,,,,衢州市,8287.5,5.498100000000001,0.1386,0,5.6367,0,0.0138,0.1077,0,0.7284999999999999,0.0045,0.0877,0.9421999999999998,0,0.3922,0.09720000000000001,2.0163999999999995,0,2.5058,0.0032999999999999995,0.09100000000000001,0.6925999999999999,0.7836,0.0006,0.6992,0.3235,1.0227000000000002,0,0.21269999999999997,0.011100000000000002,0.2238,0,11.114799999999999,0.0039000000000000003,0.0384,11.153199999999998,0,0
,长江,鄱阳湖水系,饶河,,,,,衢州市,272,0.0474,0.0051,0,0.0525,0,0,0.0005,0,0.0013,0,0.0002,0.002,0,0,0,0.0004,0,0.0004,0,0,0.0003,0.0003,0,0.0004,0.0054,0.0058,0,0.0011,0,0.0011,0,0.0621,0,0,0.0621,0,0
,长江,鄱阳湖水系,信江,,,,,衢州市,285.5,0.1774,0.003,0,0.1804,0,0.0011,0.0053,0,0.0091,0,0.0028,0.0183,0,0,0,0.0127,0,0.0127,0,0.0044,0.0112,0.0156,0,0.008400000000000001,0.0073,0.0157,0,0.0047,0.0006000000000000001,0.0053,0,0.248,0,0,0.248,0,0
,,,,,,,衢州市,衢州市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,柯城区,衢州市,607,0.4199,0.013600000000000001,0,0.4335,0,0.0042,0.0195,0,0.51,0.00030000000000000003,0.0019000000000000002,0.5358999999999999,0,0.3922,0.0025,0.7022999999999999,0,1.097,0,0.0204,0.2365,0.2569,0,0.1845,0.041499999999999995,0.22599999999999998,0,0.083,0,0.083,0,2.6323,0,0,2.6323,0,0
,,,,,,,衢江区,衢州市,1748,1.1365,0.0269,0,1.1634,0,0.0035,0.0249,0,0.0368,0.0015,0.0102,0.0769,0,0,0,0.4915,0,0.4915,0.00039999999999999996,0.0068000000000000005,0.1572,0.164,0,0.0785,0.0617,0.1402,0,0.0377,0.0055000000000000005,0.043199999999999995,0,2.0792,0.00039999999999999996,0,2.0792,0,0
,,,,,,,常山县,衢州市,1097,0.5939,0.0265,0,0.6204000000000001,0,0,0.0279,0,0.0166,0.0006,0.0059,0.051,0,0,0.0555,0.20959999999999998,0,0.2651,0,0.0095,0.06459999999999999,0.0741,0,0.0735,0.0511,0.12459999999999999,0,0.0173,0.001,0.0183,0,1.1535,0,0,1.1535,0,0
,,,,,,,开化县,衢州市,2231,0.8384,0.0332,0,0.8715999999999999,0,0,0.0049,0,0.0138,0.0002,0.0034000000000000002,0.0223,0,0,0.0013,0.0598,0,0.061099999999999995,0.0024,0.0088,0.0785,0.08729999999999999,0.0006,0.0766,0.0442,0.12079999999999999,0,0.0183,0.001,0.0193,0,1.1824000000000001,0.003,0,1.1824000000000001,0,0
,,,,,,,龙游县,衢州市,1143,1.2025,0.0177,0,1.2202,0,0.0003,0.0188,0,0.0734,0.0012,0.0349,0.1286,0,0,0.0299,0.3689,0,0.3988,0,0.018,0.1213,0.1393,0,0.1173,0.0691,0.1864,0,0.025,0.001,0.026,0,2.0993,0,0,2.0993,0,0
,,,,,,,江山市,衢州市,2019.0000000000002,1.5317,0.0288,0,1.5605,0,0.0069,0.0175,0,0.0883,0.0007,0.0344,0.14780000000000001,0,0,0.008,0.1974,0,0.2054,0.0005,0.031900000000000005,0.046,0.0779,0,0.1776,0.0686,0.2462,0,0.0372,0.0032,0.0404,0,2.2782,0.0005,0.0384,2.3166,0,0
