序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan
,其中绍兴市,,,,,5968,274.06,112.86,386.91999999999996,176.266,2157.5288,2133.4052,4467.191000000001,38.2886,1262.5250999999998,481.9863,1782.8000000000002,1.8,141.45000000000002,219.70999999999998,166.33,129.82999999999998,18.71,14.149999999999999,162.69000000000003,58.519999999999996,5.955,5.7,0,12.120000000000001,0.6950000000000001,192.07000000000002,192.76,4.4192,4.864800000000001,3.1544999999999996,0.9201999999999999,0,0,13.358700000000002,0.0674,0,0,0.0674,0.0004,0,0,0.0004,13.4265,1.85,4.6362,0.3242,0.124,5.0844,0.0106,0.0463,0.033400000000000006,0,0.7513,0.0029000000000000002,0.06949999999999999,0.9033999999999998,0,0.0032,0.5416000000000001,2.5689,0.6980999999999999,3.8117999999999994,0.0183,0.1962,1.1901,1.3862999999999999,0.0012,1.5303,0.5331,2.0634,0.0373,0.1772,0,0.1772,0,13.4265,0.0674,1.85,15.276500000000002,其中绍兴市,,0,0.0,8.019300000000001,9.8693
,其中绍兴市,,,,,2311,71.83,46.949999999999996,118.78,57.3311,675.829,579.2399,1312.3958,1.7941,450.7078,88.5981,541.1,0,7.4,77.41,66.05,58.11,0,7.9399999999999995,66.05,29.32,0.56,0.61,0,7.2,0.18,62.65,62.83,1.1719000000000002,2.4605,0.4557,0,0,0,4.0881,0.0004,0,0,0.0004,0.0438,0,0,0.0438,4.1323,0,1.6777,0,0.0616,1.7393,0,0.0163,0.0094,0,0.41,0.0008,0.0234,0.4599,0,0,0.0431,0.3009,0.2036,0.5476,0.0004,0.1201,0.41240000000000004,0.5325,0,0.411,0.22999999999999998,0.641,0,0.2103,0.0017,0.212,0,4.1323,0.0004,0,4.1323,其中绍兴市,,0,0.0,2.9162,2.9162
