序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计
38,宁波市,象山县,浙东沿海诸河,象山港及三门湾,2,1382,36.4,21.3,57.7,100.11,293.02,377.02,770.15,14.32,206.57,0,220.89,0,243.75,20.28,20.28,18.05,2.14,0,20.19,8.351,1.422,3.81,0,2.07,0.1723,30.8567,31.029,1.1486,0.2184,0.2217,0,,0,1.5887,0,0,0,0,0.0076,0.0001,0.0007,0.0084,1.5971,0.1506,0.592,0.0152,0,0.6072,0,0.0097,0.0183,0,0.1427,0.0005,0.0111,0.1823,0,0,0.0475,0.1359,0.0582,0.2416,0,0.0115,0.1869,0.1984,0,0.2245,0.1232,0.3477,0,0.018,0.0019,0.0199,0,1.5971,0,0.1506,1.7477
39,宁波市,宁海县,浙东沿海诸河,奉化江及甬江干流,2,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,宁波市,宁海县,浙东沿海诸河,象山港及三门湾,2,1840.2,45.9,25.1,71,55.68,484.16,461.33,1001.17,36.07,394.47,0,430.54,0,454.5,32.02,27.38,24.55,0.4609,0,25.0109,10.444,2.43,2.385,0,1.529,0.4965,20.9792,21.4757,1.671,0.0341,0.0724,0,,0,1.7775,0.001,0,0,0.001,0.0066,0,0,0.0066,1.7851,0.2125,0.6788,0.0036,0,0.6824,0,0.0122,0.0119,0,0.105,0.0014,0.0085,0.139,0,0,0.0759,0.1198,0.0587,0.2544,0.0005,0.016,0.2168,0.2328,0.0005,0.285,0.1412,0.4262,0,0.04,0.0103,0.0503,0,1.7851,0.001,0.2125,1.9976
41,宁波市,余姚市,富春江坝址以下,曹娥江百官以上,2,106.7,0,0.9,0.9,2.172,0,0,2.172,0,0,0,0,0,0,1.35,1.35,0.284,0.192,0,0.476,0.193,0.7,0.47,0,0,0.161,0.69,0.851,0.0275,0,0,0,,0,0.0275,0,0,0,0,0,0,0,0,0.0275,0,0.0106,0.0016,0,0.0122,0,0.005,0.0024,0,0,0.0005,0.0003,0.0082,0,0,0,0,0,0,0,0,0,0,0,0,0.0037,0.0037,0,0.0022,0.0012,0.0034,0,0.0275,0,0,0.0275
42,宁波市,余姚市,浙东沿海诸河,姚江,2,1236.7,104.4,20.2,124.6,46.359,906.57,611.86,1564.789,3.64,846.72,0,850.36,0,87.16,37.45,37.45,25.42,10.852,0,36.272,17.319,4.35,1.804,0,2.484,0.325,27.663,27.988,1.4577,0.15,0.8466,0.68,,0,3.1343,0.0014,0,0,0.0014,0.0227,0.0016,0,0.0243,3.16,0.446,1.1515,0.1189,0,1.2704,0,0.0309,0.0103,0,0.1736,0.0008,0.0101,0.2257,0,0,0.0246,0.4498,0.0935,0.5679,0.0013,0.0275,0.3402,0.3677,0.0001,0.5678,0.1006,0.6684,0,0.0459,0.014,0.0599,0,3.16,0.0014,0.446,3.606
43,宁波市,余姚市,浙东沿海诸河,奉化江及甬江干流,2,157.6,0,1,1,4.099,0,0,4.099,0,0,0,0,0,0,2.38,2.38,0.97,1.41,0,2.38,0.66,0.275,0.45,0,0,0.137,1.05,1.187,0.0783,0,0,0,,0,0.0783,0,0,0,0,0,0,0,0,0.0783,0,0.0495,0.0157,0,0.0652,0,0.002,0.0022,0,0,0.0005,0.0003,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.0044,0.0044,0,0.0025,0.0012,0.0037,0,0.0783,0,0,0.0783
44,宁波市,慈溪市,浙东沿海诸河,姚江,2,1361,151.8,35.4,187.2,64.17,1558.93,1016.35,2639.45,0.762,1433.218,0,1433.98,0,18.7,48.62,48.62,11.38,34.4841,0,45.8641,9.865,2.3469,7.4994,0,2.531,0.1032,47.7612,47.8644,1.4668,0.1625,0.8447,0.6484,,0,3.1224,0,0,0,0,0.1058,0,0,0.1058,3.2282,2.2439,0.478,0.3139,0,0.7919,0,0.0146,0.0485,0,0.1595,0.0005,0.015,0.2381,0,0,0.0752,0.511,0.3274,0.9136,0,0.0587,0.1987,0.2574,0,0.7836,0.1816,0.9652,0,0.0446,0.0174,0.062,0,3.2282,0,2.2439,5.4721
,宁波,宁波城市供水区,中心城区,,,2461,399.2,69.2,468.4,74.32,3716.42,5718.89,9509.63,70.97,3161.9099999999994,80,3312.88,0,946.3,60.87,55.77,45.677200000000006,7.0202,0,52.697399999999995,21.516000000000002,2.826,5.638,0,0.7420000000000001,0.7476999999999999,15.519699999999998,16.2674,5.6933,0.42949999999999994,3.0583,1.4581000000000002,,0,10.6392,0.0053,0,0,0.0053,0.5485,0.0003,0,0.5488,11.193299999999999,3.4009,1.7768000000000002,0.0815,0,1.8583,0,0.0202,0.0327,0,0.048299999999999996,0.0026,0.0067,0.11050000000000001,0,0,0.5438999999999999,3.4356,0.43689999999999996,4.416499999999999,0.0050999999999999995,0.1897,1.4758,1.6655,0.0002,2.3416,0.38809999999999995,2.7297,0,0.3233,0.08950000000000001,0.4128,0,11.193299999999999,0.0053,3.4009,14.594199999999999
,宁波,,奉化区,,,1268,36.8,22.1,58.9,36.83,577.53,346.03999999999996,960.4000000000001,0,521.27,0,521.27,0,0,18.59,18.59,15.969999999999999,1.5429,0,17.5129,6.685,9.45,6.75,0,0.108,0.1079,17.6086,17.7165,0.925,0.18,0.588,0,,0,1.693,0.00030000000000000003,0,0,0.00030000000000000003,0,0,0,0,1.6932999999999998,0.33,0.7105999999999999,0.025,0,0.7356,0,0.0661,0.027000000000000003,0,0.0072,0.00039999999999999996,0.0094,0.1101,0,0,0,0.162,0.1056,0.2676,0.00030000000000000003,0.031,0.1505,0.1815,0,0.24230000000000002,0.1305,0.37279999999999996,0,0.0137,0.012,0.0257,0,1.6932999999999998,0.00030000000000000003,0.33,2.0233
,宁波,余慈供水区,余姚市,,,1501,104.4,22.099999999999998,126.5,52.629999999999995,906.57,611.86,1571.06,3.64,846.72,0,850.36,0,87.16,41.18000000000001,41.18000000000001,26.674,12.454,0,39.128,18.172,5.325,2.724,0,2.484,0.623,29.403000000000002,30.026,1.5635000000000001,0.15,0.8466,0.68,,0,3.2401,0.0014,0,0,0.0014,0.0227,0.0016,0,0.0243,3.2658,0.446,1.2116,0.1362,0,1.3477999999999999,0,0.037899999999999996,0.0149,0,0.1736,0.0018,0.0107,0.23890000000000003,0,0,0.0246,0.4498,0.0935,0.5679,0.0013,0.0275,0.3402,0.3677,0.0001,0.5678,0.10869999999999999,0.6765,0,0.050600000000000006,0.0164,0.067,0,3.2658,0.0014,0.446,3.7117999999999998
,宁波,,慈溪市（含杭州湾新区）,,,1361,151.8,35.4,187.2,64.17,1558.93,1016.35,2639.45,0.762,1433.218,0,1433.98,0,18.7,48.62,48.62,11.38,34.4841,0,45.8641,9.865,2.3469,7.4994,0,2.531,0.1032,47.7612,47.8644,1.4668,0.1625,0.8447,0.6484,,0,3.1224,0,0,0,0,0.1058,0,0,0.1058,3.2282,2.2439,0.478,0.3139,0,0.7919,0,0.0146,0.0485,0,0.1595,0.0005,0.015,0.2381,0,0,0.0752,0.511,0.3274,0.9136,0,0.0587,0.1987,0.2574,0,0.7836,0.1816,0.9652,0,0.0446,0.0174,0.062,0,3.2282,0,2.2439,5.4721
,宁波,宁象供水区,宁海县,,,1843,45.9,25.1,71,55.68,484.16,461.33,1001.17,36.07,394.47,0,430.54,0,454.5,32.02,27.38,24.55,0.4609,0,25.0109,10.444,2.43,2.385,0,1.529,0.4965,20.9792,21.4757,1.671,0.0341,0.0724,0,,0,1.7775,0.001,0,0,0.001,0.0066,0,0,0.0066,1.7851,0.2125,0.6788,0.0036,0,0.6824,0,0.0122,0.0119,0,0.105,0.0014,0.0085,0.139,0,0,0.0759,0.1198,0.0587,0.2544,0.0005,0.016,0.2168,0.2328,0.0005,0.285,0.1412,0.4262,0,0.04,0.0103,0.0503,0,1.7851,0.001,0.2125,1.9976
,宁波,,象山县,,,1382,36.4,21.3,57.7,100.11,293.02,377.02,770.15,14.32,206.57,0,220.89,0,243.75,20.28,20.28,18.05,2.14,0,20.19,8.351,1.422,3.81,0,2.07,0.1723,30.8567,31.029,1.1486,0.2184,0.2217,0,,0,1.5887,0,0,0,0,0.0076,0.0001,0.0007,0.0084,1.5971,0.1506,0.592,0.0152,0,0.6072,0,0.0097,0.0183,0,0.1427,0.0005,0.0111,0.1823,0,0,0.0475,0.1359,0.0582,0.2416,0,0.0115,0.1869,0.1984,0,0.2245,0.1232,0.3477,0,0.018,0.0019,0.0199,0,1.5971,0,0.1506,1.7477
