序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查,col_47,col_48,zjszyreport,12.0
17,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330122,桐庐县,杭州市,1633.5,0.7828,0.0186,0.0186,0.82,,0.0115,0,0,0.1164,0.0004,0.0105,0.1388,,0,0.0037,0.1513,0.0625,0.2175,0.0038,0.0563,0.095,0.1513,0.0012,0.1757,0.0644,0.2401,0.0032,0.0556,0.0035,0.0591,0.0001,1.6268,0.0083,,1.6268,0,0,,,,
18,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330127,淳安县,杭州市,16.4,0.0026,0,0.0001,0.0027,,0,0.0002,0,0,0,0,0.0002,,,,0,0,0,,0,0,0,,0,0.0008,0.0008,,0,0,0,,0.0037,0,,0.0037,0,0,,,,
19,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330127,淳安县,杭州市,4369.3,0.4005,0.0166,0.0282,0.4453,,0.0004,0.0198,0,0.0151,0.0003,0.0063,0.0419,,,,0.1086,0.0301,0.1387,,0.031,0.4725,0.5035,,0.0805,0.0756,0.1561,,0.0121,0,0.0121,,1.2976,0,,1.2976,0,0,,,,
20,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330127,淳安县,杭州市,66.3,0.0209,0.0003,0.0002,0.0214,,0,0.0004,0,0,0,0.0001,0.0005,,,,0,0,0,,0,0,0,,0,0.0024,0.0024,,0,0,0,,0.0243,0,,0.0243,0,0,,,,
21,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330142,西湖区,杭州市,115.9,0.029,0.0003,0.0024,0.0317,,0,0,0,0.017,0,0,0.017,,,,0.0399,0.0048,0.0447,,0.0515,0.6268,0.6783,,0.4016,0.0037,0.4053,,0.0216,,0.0216,,1.1986,0,,1.1986,0,0,,,,
22,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330142,西湖区,杭州市,147.1,0.1073,0.0035,0.0085,0.1193,,0.0284,0,0,0.0461,0,0,0.0745,,,,0.0222,0.0032,0.0254,,0.0623,0.0869,0.1492,,0.0895,0.0092,0.0987,0,0.0335,0,0.0335,,0.5006,0,4.7975,5.2981,0,0,,,,
23,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330155,钱塘新区,杭州市,104.7,0,0.0005,0.0005,0.001,,0,0.0005,0,0.017,0.0001,0,0.0176,,0,0.0191,0.4592,0.0032,0.4815,,0.0104,0.1017,0.1121,,0.2106,0,0.2106,,0.0466,0,0.0466,,0.8694,0,1.4135,2.2829,0,0,,,,
24,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330155,钱塘新区,杭州市,427,1.1611,0,0.01,1.1711,,0,0.0059,0,0.1959,0.0005,0.0113,0.2136,,0,0.1098,0.5558,0.022,0.6876,,0.0401,0.0378,0.0779,,0.106,0.0393,0.1453,,0.0479,0.0212,0.0691,,2.3646,0,,2.3646,0,0,,,,
25,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330182,建德市,杭州市,78.3,0.0455,0.0009,0.0005,0.0469,,0.0003,0.0009,,0.0022,,0.0009,0.0043,,,,0.0096,0.0007,0.0103,,0.0008,0.0008,0.0016,,0.0006,0.008,0.0086,,0.0008,0.0003,0.0011,,0.0728,0,,0.0728,0,0,,,,
26,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330182,建德市,杭州市,1326.1,0.6344,0.0069,0.0051,0.6464,,0.0034,0.0249,,0.0526,0.0007,0.0106,0.0922,,,,0.2356,0.0318,0.2674,0.0136,0.0336,0.1251,0.1587,0.0001,0.0994,0.068,0.1674,,0.0361,0.0055,0.0416,,1.3737,0.0137,,1.3737,0,0,,,,
27,东南诸河,钱塘江,富春江坝址以上,兰江及富春江上游段,G010160,330182,建德市,杭州市,871.1,0.1673,0.0015,0.0012,0.17,,0.0017,0.0078,,0.0334,,0.0037,0.0466,,,,0.0904,0.0135,0.1039,,0.017,0.0372,0.0542,,0.0235,0.0202,0.0437,,0.0184,0.0025,0.0209,,0.4393,0,,0.4393,0,0,,,,
28,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330182,建德市,杭州市,88.5,0.0162,0.0006,0.0003,0.0171,,0.0002,0.0008,,0.0048,,0.0008,0.0066,,,,0.0091,0.003,0.0121,,0.0004,0.0007,0.0011,,0.0006,0.0042,0.0048,,0.0004,0.0002,0.0006,,0.0423,0,,0.0423,0,0,,,,
