序号,市,县（市、区）,水资源分区,nan,水资源利用分区,nan,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水
11,杭州市,余杭区,杭嘉湖平原,杭嘉湖平原,1,0.0,367.2,48.72,22.03,70.75,31,251.73,1684.43,1967.16,0,188.51,38.97,227.48,0,0,11.62,11.62,10.44,1.18,0,11.62,6.03,6.42,3.44,0,1.56,0,0,0,0,0.3941,0.2953,1.1929,钱塘江,0,1.8823,0,0,0,0,0.074,0,0,0.074,1.9563,0,0.6361,0.0296,0,0.6657,0,0.08,0.0172,0,0.1006,0,0,0.1978,0,0,0.0017,0.185,0,0.185,0,0.0703,0.3728,0.4431,0,0.2793,0.12,0.3993,0,0.0252,0.0402,0.0654,0,1.9563,0,0,1.9563,0,0,0
12,杭州市,富阳区,富春江坝址以下,富春江下游段,3,0.0,1760.1,61.12,22.58,83.7,52.51,413.46,446.49,912.46,0,285.65,69.05,354.7,0,0,24.69,24.69,18.28,6.41,0,24.69,9.96,1.28,13.45,0,3.43,1,22.62,23.62,0.0286,0.9983,1.8645,0,,0,2.8914,0.0006,0,0,0.0006,0.077,0,0,0.077,2.969,1.0596,1.0689,0.165,0,1.2339,0,0.0072,0.0354,0,0.3432,0.0029,0.0165,0.4052,0,0,0.0017,0.295,0.1321,0.4271,0.0006,0.0824,0.2574,0.3398,0,0.3275,0.1149,0.4424,0,0.0788,0.0418,0.1206,0,2.969,0.0006,1.0596,4.0286,0,0,0
13,杭州市,富阳区,富春江坝址以下,浦阳江,3,0.0,47.9,0.15,1.25,1.4,0.32,2.23,2.38,4.93,0,0,0.93,0.93,0,0,0.27,0.27,0.2,0.07,0,0.27,0.13,0,0,0,0,0,0,0,0.0003,0,0.0387,0,,0,0.039,0,0,0,0,0,0,0,0,0.039,0,0.0115,0.0018,0,0.0133,0,0,0,0,0,0,0,0,0,0,0.0017,0,0.015,0.015,0,0,0.0034,0.0034,0,0.0008,0.0065,0.0073,0,0,0,0,0,0.039,0,0,0.039,0,0,0
14,杭州市,临安区,湖西及湖区,东苕溪,1,0.0,845,30.33,10.8,41.13,26.21,190.38,158.66,375.25,1.09,216.6,16.07,233.76,0,3.7,9.91,9.91,7.08,1.51,0,8.59,1.33,0.5,4.5,0,0.07,0,5.65,5.65,0.302,0.5348,0.0533,0.2088,钱塘江,0,1.0989,0.0002,0,0,0.0002,0.032,0.003,0,0.035,1.1341,0,0.4205,0.0301,0,0.4506,0,0.0024,0.0106,0,0.0062,0,0.0027,0.0219,0,0,0.0086,0.1298,0.0086,0.147,0.0002,0.0645,0.1478,0.2123,0,0.1732,0.0583,0.2315,0,0.048,0.0228,0.0708,0,1.1341,0.0002,0,1.1341,0,0,0
15,杭州市,临安区,富春江坝址以下,富春江下游段,1,0.0,2279,9.13,14.54,23.67,20.79,150.73,125.58,297.1,0,34.24,27.43,61.67,0,0,13.23,13.23,9.45,2.01,0,11.46,2.66,0.76,4.53,0,0.08,0.31,16.97,17.28,0.4712,0.4784,0.0252,0,,0,0.9748,0,0,0,0,0,0,0,0,0.9748,0,0.5621,0.0465,0,0.6086,0,0.0038,0.0127,0,0.0073,0.0009,0.0076,0.0323,0,0,0,0.0251,0.0063,0.0314,0,0.0141,0.117,0.1311,0,0.0515,0.0801,0.1316,0,0.0287,0.0111,0.0398,0,0.9748,0,0,0.9748,0,0,0
16,杭州市,临平区,杭嘉湖平原,杭嘉湖平原,1,0.0,286,98.72,12.08,110.8,16.01,532.12,458.55,1006.68,0.32,414.39,87.07,501.78,0,11.2,6.67,6.67,5.99,0.68,0,6.67,3.09,0.2,6.94,0,1.15,0,3.41,3.41,0,0,0.6652,1.2783,钱塘江,0,1.9435,0,0,0,0,0.0926,0,0,0.0926,2.0361,5.1517,0.2438,0.0078,0,0.2516,0,0.002,0.0192,0,0.1725,0,0.0025,0.1962,0,0,0.0023,0.2661,0.0435,0.3119,0,0.0585,0.4048,0.4633,0,0.6186,0.0676,0.6862,0,0.1076,0.0193,0.1269,0,2.0361,0,5.1517,7.1878,0,0,0
17,杭州市,桐庐县,富春江坝址以上,兰江及富春江上游段,3,0.0,146.5,0,0.29,0.29,0.33,2.16,2.09,4.58,0,0,0.25,0.25,0,0,0.07,0.07,0.05,0.01,0,0.06,0.09,0.11,0.64,0,0.02,0.04,0.3,0.34,0.0058,0.0049,0.0074,0,,0,0.0181,0.0004,0,0,0.0004,0,0,0,0,0.0185,0,0.0029,0.0001,0,0.003,0,0.0013,0.0018,0,0.0024,0.0001,0.0002,0.0058,0,0,0.0023,0,0,0,0,0.0019,0.0034,0.0053,0.0004,0,0.0016,0.0016,0,0.0025,0.0003,0.0028,0,0.0185,0.0004,0,0.0185,0,0,0
18,杭州市,桐庐县,富春江坝址以下,富春江下游段,3,0.0,1633.5,32.52,12.99,45.51,27.29,200.01,199.54,426.84,0,123.27,35.44,158.71,0,2.55,16.8,16.8,11.93,2.37,0,14.3,4.7,1.56,19.31,0,0.98,0.18,9.1,9.28,0.4753,0.5106,0.598,0,,0,1.5839,0.0051,0,0,0.0051,0.0287,0.0002,0,0.0289,1.6179,0,0.7048,0.0245,0,0.7293,0,0.0179,0.0532,0,0.1356,0.0005,0.0059,0.2131,0,0,0.0023,0.1451,0.0605,0.2104,0.0016,0.0487,0.1094,0.1581,0.0004,0.1814,0.0687,0.2501,0.0031,0.0535,0.0034,0.0569,0,1.6179,0.0051,0,1.6179,0,0,0
19,杭州市,淳安县,富春江坝址以上,衢江上游,3,0.0,16.4,0,0.16,0.16,0.11,0.27,0.57,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.13,0,0,0,0,0,0,0.0006,0.0004,0,,0,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.0003,0,0,0,0,0.0003,0,0,0.0023,0,0,0,0,0,0,0,0,0,0.0007,0.0007,0,0,0,0,0,0.001,0,0,0.001,0,0,0
20,杭州市,淳安县,富春江坝址以上,新安江,3,0.0,4369.3,16.48,15.37,31.85,41.47,69.74,152.48,263.69,0.11,34.6,9.58,44.29,0,0.75,14.39,14.39,7.58,3.83,0,11.41,4.36,1.23,8.66,0,0.01,0.01,6.07,6.08,0.8651,0.4932,0.0534,0,,0,1.4117,0,0,0,0,0.0267,0,0,0.0267,1.4384,0,0.4151,0.0398,0,0.4549,0,0.003,0.0201,0,0.0576,0.0001,0.0056,0.0864,0,0,0.0023,0.0875,0.028,0.1174,0,0.019,0.563,0.582,0,0.0939,0.0836,0.1775,0,0.0177,0.0025,0.0202,0,1.4384,0,0,1.4384,0,0,0
