水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
,,,,,,,,台州市,9411,9.2409,1.0312,3.8327,0,0,0,14.104800000000001,0.017199999999999997,0,0,0.017199999999999997,0.17200000000000004,0.0256,0.1575,0.35509999999999997,14.4771,1.6681000000000001,16.1452,81.9308,0,0,0,0,1.6681000000000001,1.6681000000000001,,,,,,
,东南诸河,钱塘江,富春江坝址以下,,,,,台州市,114.3,0.0067,0.0043,0.0029,0,0,0,0.0139,0.0001,0,0,0.0001,0,0,0,0,0.014,0,0.014,0,0,0,0,0,0,0,,,,,,
,东南诸河,浙东诸河,浙东沿海诸河,,,,,台州市,1408,0.671,0.0316,0.3466,0,0,0,1.0492,0.0009,0,0,0.0009,0.0264,0.0128,0.0246,0.0638,1.1139000000000001,0.1371,1.251,50.0309,0,0,0,0,0.1371,0.1371,,,,,,
,东南诸河,浙南诸河,瓯江温溪以下,,,,,台州市,7888.7,8.563199999999998,0.9953000000000001,3.4832,0,0,0,13.041700000000002,0.016199999999999996,0,0,0.016199999999999996,0.1456,0.0128,0.1329,0.2913,13.3492,1.5310000000000001,14.880199999999999,31.899900000000002,0,0,0,0,1.5310000000000001,1.5310000000000001,,,,,,
,,,,,,,椒江区,台州市,275,1.1158,0,0.3941,0,0,0,1.5099,0.0014,0,0,0.0014,0.0194,0.007,0,0.0264,1.5376999999999998,0.36829999999999996,1.9060000000000001,6.5799,0,0,0,0,0.36829999999999996,0.36829999999999996,,,,,,
,,,,,,,黄岩区,台州市,988,1.0901,0.0001,0.256,0,0,0,1.3462,0.0022,0,0,0.0022,0.035,0,0,0.035,1.3834000000000002,0.3185,1.7019000000000002,0,0,0,0,0,0.3185,0.3185,,,,,,
,,,,,,,路桥区,台州市,273,0.7169,0,0.5701,0,0,0,1.287,0.0063,0,0,0.0063,0.0191,0.002,0,0.0211,1.3144,0.3526,1.667,0,0,0,0,0,0.3526,0.3526,,,,,,
,,,,,,,三门县,台州市,1072,0.5144,0,0.3249,0,0,0,0.8393,0.0005,0,0,0.0005,0.0264,0.0128,0.0246,0.0638,0.9036,0.1371,1.0407,50.0309,0,0,0,0,0.1371,0.1371,,,,,,
,,,,,,,天台县,台州市,1426,1.1135,0.0945,0.06559999999999999,0,0,0,1.2736,0.001,0,0,0.001,0.0102,0,0,0.0102,1.2848000000000002,0.2861,1.5709,0,0,0,0,0,0.2861,0.2861,,,,,,
,,,,,,,仙居县,台州市,1992,1.0003,0.1226,0.0093,0,0,0,1.1322,0.0006,0,0,0.0006,0.0334,0.0038,0,0.0372,1.17,0,1.17,0,0,0,0,0,0,0,,,,,,
,,,,,,,温岭市,台州市,836,1.1521,0.16699999999999998,1.6382999999999999,0,0,0,2.9574,0.0015,0,0,0.0015,0.021,0,0,0.021,2.9799,0.0085,2.9884,0,0,0,0,0,0.0085,0.0085,,,,,,
,,,,,,,临海市,台州市,2171,2.1307,0.4711,0.23170000000000002,0,0,0,2.8335000000000004,0.0015,0,0,0.0015,0.0075,0,0,0.0075,2.8425,0.0075,2.8499999999999996,0,0,0,0,0,0.0075,0.0075,,,,,,
,,,,,,,玉环市,台州市,378,0.4071,0.1759,0.3427,0,0,0,0.9257,0.0022,0,0,0.0022,0,0,0.1329,0.1329,1.0608,0.1895,1.2503,25.32,0,0,0,0,0.1895,0.1895,,,,,,
