序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计
148,东南诸河,浙东诸河,舟山群岛,舟山群岛,G020210,330902,定海区,舟山市,572,0.5261,0.0106,0.019,0.1613,宁波,,0.717,0.0001,0,,0.0001,0.0176,0.0016,0.0044,0.0236,0.7407,0,0.7407,3.8,,,,,,0
149,东南诸河,浙东诸河,舟山群岛,舟山群岛,G020210,330903,普陀区,舟山市,462,0.2043,0.0093,0.014,0.3106,宁波,,0.5382,0,0,,0,0,0.006,0.0652,0.0712,0.6094,0,0.6094,11.292,,,,,,0
150,东南诸河,浙东诸河,舟山群岛,舟山群岛,G020210,330921,岱山县,舟山市,325,0.2004,0.0085,0.0127,0.0993,宁波,,0.3209,0,0,,0,0.0045,0.0036,1.214,1.2221,1.543,0,1.543,35.8021,,,,,,0
151,东南诸河,浙东诸河,舟山群岛,舟山群岛,G020210,330922,嵊泗县,舟山市,97,0.0107,0,0,0,,,0.0107,0.0043,0,,0.0043,0,0.001,0.0334,0.0344,0.0494,0,0.0494,0,,,,,,0
