水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,旱地,水浇地,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
 ,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331126,庆元县,丽水市,546.7,2.2149,1.0653,3.2802,1.899,9.807,15.768,27.474,0,3.236,0,3.236,0,0,4.9346,4.5433,2.25,0.49,0,2.74,0.84,0,0,0,0,0.0826,1.7733,1.8559
 ,东南诸河,闽东诸河,闽东诸河,闽东诸河,G040100,331126,庆元县,丽水市,247.3,1.3144,0.4398,1.7542,1.543,4.349,9.328,15.22,0,0,0,0,0,0,2.7943,2.5727,1.2,0.209,0,1.409,0.5,0,0,0,0,0,1.061,1.061
 ,东南诸河,闽江,闽江上游,闽江上游,G050100,331126,庆元县,丽水市,1040,5.3668,2.4766,7.8434,5.029999999999999,20.179,35.331999999999994,60.54099999999999,0.155,23.296,0,23.451,0,0.9,8.1352,7.4899,4.44,0.36,0,4.800000000000001,1.98,0.105,0.105,0,0,0.0451,3.9101,3.9552
 ,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331127,景宁畲族自治县,丽水市,1682.6,7.14,3.22,10.36,7.087608787249764,29.901291996362325,73.92179781398701,110.9106985975991,0,17.9649,0,17.9649,0,0,19.76,18.61,8.72,1.86,0,10.58,4.06,0.58,0.135,0,0,0.2627,4.8878,5.1505
 ,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,331127,景宁畲族自治县,丽水市,266.4,0,0.72,0.72,0.9668529614190725,2.253480011230681,5.567228643179947,8.7875616158297,0,1.9326,0,1.9326,0,0,2.96,1.6127,0.72,0.15,0,0.87,0.08,0.02,0,0,0,0.0334,0.8622,0.8956
 ,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,331181,龙泉市,丽水市,316.1,0.3316,0.1568,0.4884,1.879,6.699,10.716,19.293999999999997,0,2.533,0,2.533,0,0,2.9762,2.7154,1.87,0.42,0,2.29,0.57,0,0,0,0,0,1.9837,1.9837
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331181,龙泉市,丽水市,2438.8,16.8889,6.9571,23.846,13.026999999999997,52.81600000000001,76.7,142.543,0.5767,46.34129999999999,0,46.91799999999999,0,4.2,21.0631,18.4154,13.82,1.94,0,15.76,6.64,0,0,0,0.06,0.09140000000000001,13.7854,13.8768
 ,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331181,龙泉市,丽水市,216.3,0.2747,0.1052,0.3799,2.137,9.046,11.167,22.35,0,6.462,0,6.462,0,0,4.1647,3.3412,2.3,0.54,0,2.84,0.68,0,0,0,0,0.0275,1.4564,1.4839
 ,东南诸河,闽江,闽江上游,闽江上游,G050100,331181,龙泉市,丽水市,87.8,0.3338,0.1519,0.4857,1.631,7.092,8.574,17.296999999999997,0,1.837,0,1.837,0,0,3.196,2.9836,2.09,0.39,0,2.48,0.41,0,0,0,0.07,0.0366,0.904,0.9406
,,,,,,,,丽水市,17324,167.02589999999998,86.17409999999998,253.2,121.26283630906066,787.4376860384823,1272.4810608095138,2181.1815831570566,3.3903,624.9973585487954,0,628.3876585487956,0,18.5,183.9,164.70829999999998,107.44019999999999,17.740199999999998,0,125.18040000000002,43.92999999999999,0.9555,10.5515,0,1.4495,1.5536,131.3628467857143,132.91644678571427
,东南诸河,钱塘江,富春江坝址以上,,,,,丽水市,2464.2999999999997,10.6579,9.598500000000001,20.2564,16.142419108688635,84.22223381284316,82.549023406614,182.91384763958402,0,46.813399199253006,0,46.813399199253006,0,0,24.049599999999998,19.552,14.0714,1.8322,0,15.9036,6.289999999999999,0.1021,0.5609999999999999,0,0.3,0.1641,14.135900000000001,14.300000000000002
