序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan
10,杭州市,萧山区,富春江坝址以下,富春江下游段,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
11,杭州市,余杭区,湖西及湖区,西苕溪及长兴平原,1,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
12,杭州市,余杭区,湖西及湖区,东苕溪,1,555.3,32.3,14.5,46.8,13.8,168.3,546.6,728.6,0,101.4,37,138.4,0,0,14.02,11.62,8.48,1.31,1.82,11.61,3.26,0,1.07,0,1.4982,0.0344,28.6069,28.6413,0,0.5611,0.8006,0,0,0,1.3617,0.0006,0,0,0.0006,0,0,0,0,1.3623,0,0.3851,0.0163,0.029,0.4304,0,0,0.0144,0,0.0987,0.0001,0.0181,0.1313,0.0005,0,0,0.2085,0.0464,0.2549,0.0001,0.026,0.1844,0.2104,0,0.174,0.0608,0.2348,0,0.0923,0.0082,0.1005,0,1.3623,0.0006,0,1.3623,1.3623,1.3622999999999998,0,,,
13,杭州市,余杭区,杭嘉湖平原,杭嘉湖平原,1,653.2,104.4,37.9,142.3,39.5,484,1571.9,2095.4,0,353.3,112.3,465.6,0,11.2,34.9,28.72,24.65,2.1,1.98,28.73,8.05,8.52,0.57,0,5.4768,0,22.8475,22.8475,0.1461,1.0986,2.3444,0.1921,0,0,3.7812,0,0,0,0,0.1532,0,0,0.1532,3.9344,5.6927,1.0685,0.0263,0.0325,1.1273,0,0.08,0.0076,0,0.3607,0,0.0144,0.4627,0,0,0.0009,0.7262,0.1266,0.8537,0,0.0619,0.6014,0.6633,0,0.5414,0.1609,0.7023,0,0.1025,0.0226,0.1251,0,3.9344,0,5.6927,9.6271,3.9344,3.9344,0,,,
14,杭州市,富阳区,富春江坝址以下,富春江下游段,3,1760.1,46.38,26.49,72.87,49,371.9,395.1,816,0,255.5,77,332.5,0,18.25,36.66,33.69,31.94,1.04,0.72,33.7,9.56,0.18,0.45,0,2.907,0.9535,73.1611,74.1146,0.0009,1.5645,1.9459,0,0,0,3.5113,0.0028,0,0,0.0028,0.0592,0,0,0.0592,3.5733,1.9397,1.283,0.0114,0.0096,1.304,0,0.0019,0.0049,0,0.2729,0.0032,0.0405,0.3234,0,0,0.0522,0.7547,0.3593,1.1662,0.0022,0.0522,0.3148,0.367,0,0.2709,0.119,0.3899,0.0006,0.0186,0.0042,0.0228,0,3.5733,0.0028,1.9397,5.513,3.5733,3.5733,0,,,
15,杭州市,富阳区,富春江坝址以下,浦阳江,3,47.9,0.12,1.41,1.53,0.3,2,2.1,4.5,0,0,1,1,0,0,0.37,0.3,0.14,0.13,0.02,0.29,0.13,0,0,0,0,0,0,0,0,0.007,0.0116,0,0,0,0.0186,0.0001,0,0,0.0001,0,0,0,0,0.0187,0,0.0055,0.0013,0.0003,0.0071,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0.0011,0.0011,0,0.0007,0.0068,0.0075,0.0001,0,0,0,0,0.0187,0.0001,0,0.0187,0.0187,0.018699999999999998,0,,,
16,杭州市,临安区,湖西及湖区,东苕溪,1,845,71.02,36.5,107.52,73.5,409.86,438.72,921.98,0,398.6,67.52,466.12,0,4.05,45.64,31.26,23.64,1.41,1.92,26.97,4.96,0.87,0.9,0,0.2513,0.3964,14.3112,14.7076,0.5091,0.374,0.3997,0,0,0,1.2828,0.0003,0,0,0.0003,0,0,0,0,1.2831,0,0.3377,0.0063,0.0099,0.3539,0,0.0026,0.0025,0,0.0078,0.0004,0.0068,0.0201,0,0,0.0061,0.3226,0.1253,0.454,0.0003,0.0564,0.137,0.1934,0,0.1378,0.0605,0.1983,0,0.0514,0.012,0.0634,0,1.2831,0.0003,0,1.2831,1.2831,1.2831,0,,,
17,杭州市,临安区,富春江坝址以下,富春江下游段,1,2279,21.4,49.28,70.68,58.22,324.58,347.38,730.18,0,62.68,110.16,172.84,0,0,84.28,58.38,46.92,3.12,3.63,53.67,9.88,0.75,0.81,0,0.2513,0.538,40.7698,41.3078,0.026,0.7407,0.3529,0,0,0,1.1196,0.002,0,0,0.002,0.0196,0,0,0.0196,1.1412,0,0.6761,0.0138,0.0184,0.7083,0,0.0022,0.0023,0,0.0078,0.0006,0.0195,0.0324,0,0,0,0.0507,0.1193,0.17,0.0012,0.0108,0.043,0.0538,0.0004,0.0419,0.0838,0.1257,0.0004,0.0309,0.0201,0.051,0,1.1412,0.002,0,1.1412,1.1412,1.1412,0,,,
18,杭州市,桐庐县,富春江坝址以上,兰江及富春江上游段,3,146.5,0,0.4,0.4,0.3,1.9,1.9,4.1,0,0,0.4,0.4,0,0,0.6,0.4499,0.29,0.09,0.0601,0.4401,0.09,0.04,0,0,0.0099,0.0119,0.1508,0.1627,0,0.0157,0.0047,0,0,0,0.0204,0,0,0,0,0,0,0,0,0.0204,0,0.0118,0.0012,0.001,0.014,0,0.0005,0,0,0.0011,0,0.0001,0.0017,0,0,0,0,0.0013,0.0013,0,0.0002,0.0016,0.0018,0,0,0.0016,0.0016,0,0,0,0,0,0.0204,0,0,0.0204,0.020399999999999998,0.0204,0,,,
19,杭州市,桐庐县,富春江坝址以下,富春江下游段,3,1633.5,26.5,16.7,43.2,24.7,175.7,181.9,382.3,0,91.4,58.2,149.6,0,1.8,31.53,21.7651,18.9699,1.39,1.13,21.4899,4.6,0.82,0,0,0.9951,0.0895,15.2247,15.3142,0.376,0.5264,0.7668,0,0,0,1.6692,0.0104,0,0,0.0104,0.031,0.0003,0,0.0313,1.7109,0,0.7784,0.0178,0.0182,0.8144,0,0.01,0,0,0.1095,0.0004,0.0098,0.1297,0,0,0.0032,0.2185,0.1508,0.3725,0.0042,0.0437,0.0721,0.1158,0.0016,0.1403,0.0824,0.2227,0.0046,0.0529,0.0029,0.0558,0,1.7109,0.0104,0,1.7109,1.7109,1.7109,0,,,
