序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan
138,衢州市,江山市,信江,信江,3,214.2,0.7,3.1,3.8,7.6239,10.1786,11.7236,29.5261,0,13,0,13,0,0,4.59,4.13,2.99,0.54,0.41,3.94,1.89,0.4,0.3,0,0.23,0.38,10.74,11.12,0.1579,0.05,0.0164,0,0,0,0.2243,0.0081,0,0,0.0081,0,0,0,0,0.2324,0,0.1497,0.0043,0.004,0.158,0.0002,0.0011,0.0013,0,0.0098,0.0003,0.0025,0.015,0,0,0,0.0368,0,0.0368,0.0003,0.0012,0.0003,0.0015,0,0.003,0.0128,0.0158,0.0076,0.0046,0.0007,0.0053,0,0.2324,0.0081,0,0.2324,0.2324,0.2324,0,,,
139,衢州市,常山县,富春江坝址以上,衢江上游,3,1025.7,12.2,11.2,23.4,8.922,58.5341,72.276,139.7321,0,44.4,0,44.4,0,0,22.57,17.63,12.64,2.96,0.06,15.66,6.38,0,2.8,0,0.2,0.075,20.71,20.79,0.5914,0.2847,0.0607,0.0405,0,0,0.9773,0,0,0,0,0,0,0,0,0.9773,0,0.5296,0.0157,0.0005,0.5458,0,0,0.0088,0,0.0104,0.0002,0.0088,0.0282,0,0,0,0.2165,0,0.2165,0,0.0019,0.0582,0.0601,0,0.0629,0.0458,0.1087,0,0.018,0,0.018,0,0.9773,0,0,0.9773,0.9773000000000001,0.9773,0,,,
140,衢州市,常山县,信江,信江,3,71.3,1.1,1,2.1,0.7712,4.777,5.1197,10.6679,0,3.4,0,3.4,0,0,1.63,1.35,1.79,0.04,0.03,1.86,0.49,0,0.2,0,0.01,0.02,2.1,2.12,0.0709,0.0101,0.012,0,0,0,0.093,0,0,0,0,0,0,0,0,0.093,0,0.059,0.0003,0.0005,0.0598,0,0,0.0006,0,0.0009,0.0001,0.0006,0.0022,0,0,0,0.018,0,0.018,0,0,0.0036,0.0036,0,0.0056,0.0038,0.0094,0,0,0,0,0,0.093,0,0,0.093,0.09300000000000001,0.093,0,,,
141,衢州市,开化县,富春江坝址以上,衢江上游,3,1934.4,13.1,10.4,23.5,10.0098,51.2949,77.6542,138.959,0,25.3,0,25.3,0,0,32.53,17.09,13.62,0,1.98,15.6,9.18,0,5.01,0,0.32,0.14,5.12,5.26,0.58,0.2196,0.1656,0,0,0,0.9652,0,0,0,0,0,0,0,0,0.9652,0,0.7374,0,0.0171,0.7545,0,0,0.0188,0,0.0125,0.0005,0.0013,0.0331,0,0,0,0.048,0,0.048,0,0.0018,0.0216,0.0234,0,0.0586,0.0386,0.0972,0,0.009,0,0.009,0,0.9652,0,0,0.9652,0.9652,0.9652,0,,,
142,衢州市,开化县,富春江坝址以上,新安江,3,24.6,0,0.1,0.1,0.3003,0.0111,0,0.3114,0,0,0,0,0,0,0.07,0.04,0.03,0,0,0.03,0.03,0,0.03,0,0,0,0.02,0.02,0.0022,0,0,0,0,0,0.0022,0,0,0,0,0,0,0,0,0.0022,0,0.0017,0,0,0.0017,0,0,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0004,0,0,0,0,0,0.0022,0,0,0.0022,0.0022,0.0022,0,,,
143,衢州市,开化县,饶河,饶河,3,272,0.1,1.8,1.9,4.7269,1.6794,1.1233,7.5296,0,2.5,0,2.5,0,0,1.22,0.66,0.54,0,0.06,0.6,0.48,0,0.56,0,0.03,0.04,0.55,0.59,0.0551,0,0,0,0,0,0.0551,0,0,0,0,0,0,0,0,0.0551,0,0.0287,0,0.0005,0.0292,0,0,0.0018,0,0.0013,0.0001,0.0002,0.0034,0,0,0,0.006,0,0.006,0,0.0001,0.0003,0.0004,0,0.0006,0.0065,0.0071,0,0.009,0,0.009,0,0.0551,0,0,0.0551,0.055099999999999996,0.0551,0,,,
8,衢州市,,,,,8845,133.1,88.7,221.8,97.7978,716.0408,759.6612,1573.502,0,528.9999999999999,0,528.9999999999999,0,81.5,216.93999999999997,157.12999999999997,117.76000000000002,22.249999999999996,4.54,144.55,70.88000000000001,5.000000000000001,23.999999999999996,0,4.01,2.31,124.00999999999999,126.32500000000002,5.5593,4.457700000000001,0.8820999999999999,0.0405,0,0,10.939599999999997,0.0206,0,0,0.0206,0,0,0,0,10.960199999999999,0.0488,5.384799999999999,0.157,0.1179,5.659700000000001,0.0015,0.0154,0.08499999999999999,0,0.17380000000000004,0.006899999999999999,0.044700000000000004,0.3258,0.0045,0,0.8181,2.3815999999999997,0.0075,3.2071999999999994,0.0015999999999999999,0.028099999999999997,0.6939999999999998,0.7221,0,0.5176000000000001,0.3032000000000001,0.8208,0.013000000000000001,0.2223,0.0023,0.22460000000000002,0,10.960199999999999,0.0206,0.0488,11.008999999999999,,,,,,
,衢州,衢江干流供水区,衢州市区,,,2355,58.1,26.400000000000002,84.5,36.994800000000005,339.3623,364.5429,740.9019999999999,0,262.1,0,262.1,0,57.5,59.78,48.32,39.32,6.18,0,45.5,18.02,2.5,6.699999999999999,0,1.06,1.19,17.200000000000003,18.39,1.9693,2.6831000000000005,0.21380000000000002,0,0,0,4.8662,0,0,0,0,0,0,0,0,4.8662,0,1.634,0.0369,0.025800000000000003,1.6967,0,0.008300000000000002,0.022699999999999998,0,0.043300000000000005,0.0035,0.0060999999999999995,0.0839,0,0,0.8065,1.4291,0.0075,2.2431,0,0.0131,0.4164,0.4295,0,0.1982,0.08330000000000001,0.28150000000000003,0,0.1315,0,0.1315,0,4.8662,0,0,4.8662,衢江干流供水区,衢州市区,0,0.0,2.8969000000000005,2.8969000000000005
,衢州,,龙游区,,,1143,19.9,17.8,37.7,13.9787,112.3375,105.6838,232,0,81.9,0,81.9,0,0,47,36.35,22.47,7.84,0,30.31,16.4,0.1,6.3,0,1.01,0.24,26.11,26.35,1.114,0.6481,0.0977,0,0,0,1.8598,0,0,0,0,0,0,0,0,1.8598,0,1.1043,0.0643,0.0496,1.2182,0,0.0003,0.025,0,0.0456,0.0007,0.0084,0.08,0,0,0.0046,0.3262,0,0.3308,0,0.0062,0.0651,0.0713,0,0.0775,0.054,0.1315,0,0.028,0,0.028,0,1.8598,0,0,1.8598,,龙游区,0,0.0,0.7458,0.7458
,衢州,江山供水区,江山区,,,2019.0000000000002,28.599999999999998,20,48.599999999999994,22.0941,148.0445,133.2613,303.4,0,109.4,0,109.4,0,24,52.14,35.69,27.35,5.2299999999999995,2.41,34.99,19.9,2.4,2.4,0,1.38,0.605,52.2,52.805,1.1764,0.6121000000000001,0.33230000000000004,0,0,0,2.1208,0.0206,0,0,0.0206,0,0,0,0,2.1414,0.0488,1.2901,0.0398,0.0239,1.3538,0.0015,0.0068000000000000005,0.0072,0,0.059800000000000006,0.0018,0.019299999999999998,0.0949,0.0045,0,0.007,0.3378,0,0.3448,0.0015999999999999999,0.005,0.1288,0.1338,0,0.1142,0.0708,0.18500000000000003,0.013000000000000001,0.026799999999999997,0.0023,0.029099999999999997,0,2.1414,0.0206,0.0488,2.1902,江山供水区,江山区,0,0.0,0.9444000000000001,0.9932000000000001
,衢州,常山港供水区,常山区,,,1097,13.299999999999999,12.2,25.5,9.693200000000001,63.3111,77.39569999999999,150.4,0,47.8,0,47.8,0,0,24.2,18.98,14.43,3,0.09,17.52,6.87,0,3,0,0.21000000000000002,0.095,22.810000000000002,22.91,0.6623,0.2948,0.0727,0.0405,0,0,1.0703,0,0,0,0,0,0,0,0,1.0703,0,0.5886,0.016,0.001,0.6055999999999999,0,0,0.0094,0,0.0113,0.00030000000000000003,0.0094,0.0304,0,0,0,0.2345,0,0.2345,0,0.0019,0.0618,0.0637,0,0.06849999999999999,0.0496,0.11810000000000001,0,0.018,0,0.018,0,1.0703,0,0,1.0703,常山港供水区,常山区,0,0.0,0.3675,0.3675
,衢州,,开化区,,,2231,13.2,12.3,25.5,15.036999999999999,52.9854,78.7775,146.79999999999998,0,27.8,0,27.8,0,0,33.82,17.79,14.189999999999998,0,2.04,16.23,9.69,0,5.6,0,0.35,0.18000000000000002,5.6899999999999995,5.869999999999999,0.6373,0.2196,0.1656,0,0,0,1.0225,0,0,0,0,0,0,0,0,1.0225,0,0.7678,0,0.0176,0.7854,0,0,0.0207,0,0.0138,0.0006000000000000001,0.0015,0.0366,0,0,0,0.054,0,0.054,0,0.0019,0.021900000000000003,0.0238,0,0.0592,0.0455,0.10469999999999999,0,0.018,0,0.018,0,1.0225,0,0,1.0225,,开化区,0,0.0,0.3852,0.3852
