序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
142,衢州市,江山市,信江,信江,3,214.2,0.708,1.0257,1.7337,8.3,9.3,13.4,31,0,13,0,13,0,0,4.59,4.13,2.99,0.54,0.41,3.94,1.476,0.4,0.3,0,0.23,0.08,10.74,10.82,0.1682,0.0305,0.0164,0,,0,0.2151,0.003,0,0,0.003,0,0,0,0,0.2181,0,0.1466,0.0042,0.0039,0.1547,0.0002,0.0011,0.0013,0,0.0098,0.0003,0.0045,0.017,0.0002,0,0,0.0337,0,0.0337,0.0001,0.0012,0.0003,0.0015,0,0.0026,0.0033,0.0059,0.0025,0.0046,0.0007,0.0053,0,0.2181,0.003,0,0.2181,0.21810000000000002,0.21810000000000002,0,,,,,,,,,,,,,,,,,,,,,,,
143,衢州市,常山县,富春江坝址以上,衢江上游,3,1025.7,11.7143,12.142,23.8563,7.7,62.6,78.5,148.8,0,46.4435,0,46.4435,0,0,22.57,17.63,12.64,2.96,0.06,15.66,5.0003,0,2.8,0,0.12,0.07,20.68,20.75,0.528978056,0.254751806,0.054323447,0.036246691,,0,0.8743,0,0,0,0,0,0,0,0,0.8743,0,0.5198,0.0154,0.0005,0.5357,0,0,0.0078,0,0.0058,0.0002,0.0088,0.0226,0,0,0,0.1524,0,0.1524,0,0.009,0.0287,0.0377,0,0.0622,0.0457,0.1079,0,0.017,0.001,0.018,0,0.8743,0,0,0.8743,0.8742999999999999,0.8743,0,,,,,,,,,,,,,,,,,,,,,,,
144,衢州市,常山县,信江,信江,3,71.3,1.0562,1.0841,2.1403,0.7,5.1,5.5,11.3,0,3.5565,0,3.5565,0,0,1.63,1.35,1.79,0.04,0.03,1.86,0.5939,0,0.2,0,0.06,0.03,2.1,2.13,0.0682,0.0097,0.0115,0,,0,0.0894,0,0,0,0,0,0,0,0,0.0894,0,0.0579,0.0003,0.0005,0.0587,0,0,0.0006,0,0.0025,0.0001,0.0006,0.0038,0,0,0,0.0148,0,0.0148,0,0,0.0021,0.0021,0,0.0055,0.0045,0.01,0,0,0,0,0,0.0894,0,0,0.0894,0.08940000000000001,0.0894,0,,,,,,,,,,,,,,,,,,,,,,,
145,衢州市,开化县,富春江坝址以上,衢江上游,3,1934.4,13.003,10.8047,23.8077,9.4193,51.1638,82.3094,142.8925,0,27.2112,0,27.2112,0,0,32.53,17.09,13.62,0,1.98,15.6,5.6552,0,5.01,0,0.32,0.13,5.1,5.23,0.569905501,0.215893139,0.162801359,0,,0,0.9486,0.0023,0,0,0.0023,0,0,0,0,0.9509,0,0.7205,0,0.0167,0.7372,0,0,0.0169,0,0.0125,0.0005,0.0013,0.0312,0,0,0,0.0444,0,0.0444,0.0017,0.0017,0.0241,0.0258,0.0006,0.0608,0.0402,0.101,0,0.0108,0.0005,0.0113,0,0.9509,0.0023,0,0.9509,0.9509,0.9509,0,,,,,,,,,,,,,,,,,,,,,,,
146,衢州市,开化县,富春江坝址以上,新安江,3,24.6,0,0.1039,0.1039,0.2826,0.0111,0,0.2937,0,0,0,0,0,0,0.07,0.04,0.03,0,0,0.03,0.0185,0,0.03,0,0,0,0,0,0.0022,0,0,0,,0,0.0022,0,0,0,0,0,0,0,0,0.0022,0,0.0017,0,0,0.0017,0,0,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0004,0,0,0,0,0,0.0022,0,0,0.0022,0.0022,0.0022,0,,,,,,,,,,,,,,,,,,,,,,,
147,衢州市,开化县,饶河,饶河,3,272,0.0993,1.8701,1.9694,4.4481,1.6751,1.1906,7.3138,0,2.6888,0,2.6888,0,0,1.22,0.66,0.54,0,0.06,0.6,0.2957,0,0.56,0,0.03,0.03,0.55,0.58,0.0472,0,0,0,,0,0.0472,0,0,0,0,0,0,0,0,0.0472,0,0.028,0,0.0005,0.0285,0,0,0.0016,0,0.0013,0.0001,0.0002,0.0032,0,0,0,0.0075,0,0.0075,0,0.0001,0.0003,0.0004,0,0.0004,0.0063,0.0067,0,0.0009,0,0.0009,0,0.0472,0,0,0.0472,0.04719999999999999,0.0472,0,,,,,,,,,,,,,,,,,,,,,,,
,衢州,衢江干流供水区,衢州市区,,,2355,57.668800000000005,32.6079,90.27670000000002,30.080000000000002,299.09,438.75999999999993,767.9299999999998,0,258.19000000000005,0,258.19000000000005,34.5,23,59.78,48.315,39.315,6.18,0,45.495000000000005,15.0779,2.5,6.699999999999999,0,0.9540000000000001,1.03,17.13,18.16,1.954538587,2.757261413,0.20500000000000002,0,,0,4.9168,0.0002,0,0,0.0002,0,0,0,0,4.917000000000001,0,1.5996,0.0361,0.0253,1.6609999999999998,0,0.008299999999999998,0.020999999999999998,0,0.5307000000000001,0.0034999999999999996,0.0060999999999999995,0.5696,0,0.7896,0.001,1.01774942,0,1.8082999999999998,0.0002,0.0306,0.42639299999999997,0.4570000000000001,0,0.2447,0.1025,0.3472,0,0.0716,0.0023,0.0739,0,4.917000000000001,0.0002,0,4.917000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,
,衢州,,龙游区,,,1143,18.5813,17.4416,36.0229,15.23,104.17,128.21,247.61,0,83.7,0,83.7,0,22.7,47,36.35,22.4666,7.84,0,30.3066,12.1419,0.1,6.3,0,1.01,0.23,26.08,26.31,1.106210125,0.643614972,0.096974903,0,,0,1.8468,0,0,0,0,0,0,0,0,1.8468,0,1.0883,0.0634,0.0489,1.2006,0,0.0003,0.025,0,0.0356,0.0007,0.0084,0.07,0,0,0.0127,0.3155,0,0.3282,0,0.0068,0.0654,0.0722,0,0.087,0.0605,0.1475,0,0.0268,0.0015,0.0283,0,1.8468,0,0,1.8468,,,,,,,,,,,,,,,,,,,,,,,,,,
,衢州,江山供水区,江山区,,,2019.0000000000002,28.926899999999996,20.5143,49.441199999999995,24.0289,136.319,152.28820000000002,312.6361,0,109.4,0,109.4,0,26.1,52.14,35.682,27.3491,5.2299999999999995,2.41,34.9891,15.540700000000001,2.4,2.4,0,1.38,0.52,52.2,52.720000000000006,1.0775,0.5767,0.32280000000000003,0,,0,1.977,0.0114,0,0,0.0114,0,0,0,0,1.9884,0.0488,1.2633,0.038900000000000004,0.0234,1.3256000000000001,0.0015,0.0068000000000000005,0.0072,0,0.059800000000000006,0.0019,0.0223,0.09799999999999999,0.0015,0,0.0089,0.2105,0,0.2194,0.0006000000000000001,0.0082,0.0645,0.0727,0,0.1179005,0.0677,0.1856,0.0078,0.08480000000000001,0.0023,0.08710000000000001,0,1.9884,0.0114,0.0488,2.0372,,,,,,,,,,,,,,,,,,,,,,,,,,
,衢州,常山港供水区,常山区,,,1097,12.7705,13.226099999999999,25.9966,8.4,67.7,84,160.10000000000002,0,50,0,50,0,0,24.2,18.98,14.43,3,0.09,17.52,5.5942,0,3,0,0.18,0.1,22.78,22.88,0.5971780560000001,0.264451806,0.065823447,0.036246691,,0,0.9637,0,0,0,0,0,0,0,0,0.9637,0,0.5777,0.015700000000000002,0.001,0.5943999999999999,0,0,0.0084,0,0.0083,0.00030000000000000003,0.0094,0.0264,0,0,0,0.16720000000000002,0,0.16720000000000002,0,0.009,0.0308,0.039799999999999995,0,0.0677,0.050199999999999995,0.11789999999999999,0,0.017,0.001,0.018,0,0.9637,0,0,0.9637,,,,,,,,,,,,,,,,,,,,,,,,,,
,衢州,,开化区,,,2231,13.1023,12.7787,25.881,14.15,52.85,83.5,150.5,0,29.900000000000002,0,29.900000000000002,0,0,33.82,17.79,14.189999999999998,0,2.04,16.23,5.9694,0,5.6,0,0.35,0.16,5.6499999999999995,5.8100000000000005,0.619305501,0.215893139,0.162801359,0,,0,0.998,0.0023,0,0,0.0023,0,0,0,0,1.0003,0,0.7502000000000001,0,0.0172,0.7674,0,0,0.0186,0,0.0138,0.0006000000000000001,0.0015,0.0345,0,0,0,0.0519,0,0.0519,0.0017,0.0018,0.0244,0.0262,0.0006,0.0612,0.0469,0.1081,0,0.0117,0.0005,0.012199999999999999,0,1.0003,0.0023,0,1.0003,,,,,,,,,,,,,,,,,,,,,,,,,,
