序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
118,东南诸河,钱塘江,富春江坝址以上,兰江及富春江上游段,G010160,330781,兰溪市,金华市,851.3,0.5105,0.0078,0.012,0.5303,0,0,0.0084,0,0.0665,0.001,0.009,0.0849,0.008,0,0,0.1707,0.0426,0.2133,0.0026,0.0031,0.0213,0.0244,0,0.1269,0.0899,0.2168,0,0.0273,0.0071,0.0344,0,1.1041,0.0106,0,1.1041,0,0
119,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330781,兰溪市,金华市,4.5,0.003,0.0001,0.0002,0.0033,0,0,0.0075,0,0.0003,0.0002,0.0005,0.0085,0,0,0,0.0005,0.0002,0.0007,0,0.0002,0.0001,0.0003,0,0.0001,0.0003,0.0004,0,0.0001,0.0001,0.0002,0,0.0134,0,0,0.0134,0,0
120,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330782,义乌市,金华市,349.1,0.1189,0.0121,0.0048,0.1358,0,0.0047,0.0042,0,0.0268,0,0.0021,0.0378,0,0,0,0.1456,0.1374,0.283,0,0.0228,0.1995,0.2223,0,0.461,0.1021,0.5631,0,0.0367,0.005,0.0417,0,1.2837,0,0,1.2837,0,0
121,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330782,义乌市,金华市,491.7,0.2309,0.0179,0.0076,0.2564,0,0.0066,0.006,0,0.0378,0,0.003,0.0534,0,0,0.0115,0.1407,0.1328,0.285,0,0.0075,0.0662,0.0737,0,0.1531,0.0339,0.187,0,0.0517,0.007,0.0587,0,0.9142,0,0,0.9142,0,0
122,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330782,义乌市,金华市,264.2,0.1072,0.0091,0.0038,0.1201,0,0.0035,0.0032,0,0.0203,0,0.0016,0.0286,0,0,0,0.074,0.0699,0.1439,0,0.0078,0.0685,0.0763,0,0.1582,0.035,0.1932,0,0.0277,0.0038,0.0315,0,0.5936,0,0,0.5936,0,0
123,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330783,东阳市,金华市,1528.8,0.9023,0.0195,0.0206,0.9424,0,0.0108,0,0,0.1425,0.0004,0.0042,0.1579,0,0,0.0105,0.2667,0.1201,0.3973,0,0.0461,0.0852,0.1313,0,0.3584,0.1325,0.4909,0,0.0812,0.0563,0.1375,0,2.2573,0,0,2.2573,0,0
124,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330783,东阳市,金华市,30,0.0181,0.0004,0.0004,0.0189,0,0.0002,0,0,0.0028,0,0.0001,0.0031,0,0,0,0.0008,0.0004,0.0012,0,0.0005,0.0009,0.0014,0,0,0.0029,0.0029,0,0,0.0012,0.0012,0,0.0287,0,0,0.0287,0,0
125,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330783,东阳市,金华市,18.6,0.012,0.0003,0.0003,0.0126,0,0.0001,0,0,0.0017,0,0.0001,0.0019,0,0,0,0.0012,0.0005,0.0017,0,0.0003,0.0006,0.0009,0,0,0.0019,0.0019,0,0,0.0008,0.0008,0,0.0198,0,0,0.0198,0,0
126,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330783,东阳市,金华市,166.5,0.075,0.0016,0.0017,0.0783,0,0.0012,0,0,0.0155,0,0.0005,0.0172,0,0,0,0.0009,0.0004,0.0013,0,0.0006,0.001,0.0016,0,0,0.0034,0.0034,0,0,0.0015,0.0015,0,0.1033,0,0,0.1033,0,0
127,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330783,东阳市,金华市,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330784,永康市,金华市,92.6,0.018,0.0115,0.0016,0.0311,0,0.0034,0,0,0.013,0,0.0003,0.0167,0,0,0,0,0.006,0.006,0,0.002,0.0043,0.0063,0,0,0.0113,0.0113,0,0,0.0065,0.0065,0,0.0779,0,0,0.0779,0,0
129,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330784,永康市,金华市,934.9,0.2036,0.1298,0.0177,0.3511,0,0.0342,0,0,0.131,0.0002,0.0031,0.1685,0.0018,0,0.0056,0.1867,0.0549,0.2472,0.0001,0.0488,0.1029,0.1517,0,0.3234,0.1268,0.4502,0,0.0782,0.0657,0.1439,0,1.5126,0.0019,0,1.5126,0,0
130,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330784,永康市,金华市,19.5,0.0033,0.0021,0.0003,0.0057,0,0.0007,0,0,0.0027,0,0.0001,0.0035,0,0,0,0,0.0007,0.0007,0,0.0003,0.0007,0.001,0,0.0009,0.0019,0.0028,0,0,0.0013,0.0013,0,0.015,0,0,0.015,0,0
