水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
,,,,,,,,全省,104800.00000000001,71.35880000000002,26.878499999999995,55.65880000000001,12.932499999999994,0,0,166.82859999999997,0.1321,0,0,0.1321,4.1930000000000005,0.1472,1.831,6.171200000000001,173.1318999999999,39.6928,212.82469999999986,332.518,2.9426,2.3553,16.7942,13.794099999999998,3.8066000000000004,39.6928,,,,,,
,,,,,,,,全省,,地表水源供水量,,,,,,,地下水源供水量,,,,其他水源供水量,,,,总供水量,环境配水量,总计,"海水 
利用量",环境配水供水量明细表,,,,,,,,,,,
水系,所属流域,,,,,行政区,,全省,,蓄 水,引水,提水,跨流域调水,,非工程供水,小计,潜水,承压水,微咸水,小计,污水处理回用,"雨  水 
利  用","海 水
淡 化",小计,,,,,蓄 水,引水,提水,调水,污水回用,小计,,,,,,
,,,,,,,,全省,104800,71.3588,26.878499999999995,55.6588,12.932500000000001,0,0,166.8286,0.1321,0,0,0.1321,4.1930000000000005,0.14720000000000003,1.831,6.171200000000002,173.1319,39.692800000000005,212.82469999999998,332.51800000000003,2.9425999999999997,2.3553,16.7942,13.794099999999998,3.8066000000000004,39.692800000000005,,,,,,
,,,,,,,,全省,,地表水源供水量,,,,,,,地下水源供水量,,,,其他水源供水量,,,,总供水量,环境配水量,总计,"海水 
利用量",环境配水供水量明细表,,,,,,,,,,,
水系,所属流域,,,,,行政区,,全省,,蓄 水,引水,提水,跨流域调水,,非工程供水,小计,潜水,承压水,微咸水,小计,污水处理回用,"雨  水 
利  用","海 水
淡 化",小计,,,,,蓄 水,引水,提水,调水,污水回用,小计,,,,,,
,,,,,,,,全省,104800.00000000003,71.35879999999999,26.878500000000003,55.6588,12.932500000000001,0,0,166.82860000000002,0.13210000000000002,0,0,0.13210000000000002,4.1930000000000005,0.14720000000000003,1.831,6.1712,173.1319,39.69279999999999,212.8247,332.51800000000003,2.9425999999999997,2.3553,16.7942,13.794099999999998,3.8066,39.69279999999999,,,,,,
,,,,,,,,全省,,地表水源供水量,,,,,,,地下水源供水量,,,,其他水源供水量,,,,总供水量,环境配水量,总计,"海水 
利用量",环境配水供水量明细表,,,,,,,,,,,
水系,所属流域,,,,,行政区,,全省,,蓄 水,引水,提水,跨流域调水,,非工程供水,小计,潜水,承压水,微咸水,小计,污水处理回用,"雨  水 
利  用","海 水
淡 化",小计,,,,,蓄 水,引水,提水,调水,污水回用,小计,,,,,,
,,,,,,,,全省,104800,71.35880000000004,26.878499999999995,55.65880000000001,12.932499999999994,0,0,166.8286,0.1321,0,0,0.1321,4.193000000000001,0.1472,1.831,6.171200000000001,173.13189999999997,39.69279999999999,212.8247,332.518,2.9426,2.3553,16.7942,13.794099999999998,3.8066000000000004,39.69279999999999,,,,,,
