序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查,col_47,col_48,zjszyreport,12.0
119,东南诸河,钱塘江,富春江坝址以上,兰江及富春江上游段,G010160,330781,兰溪市,金华市,851.3,0.5841,0.0089,0.0138,0.6068,0,0,0.0098,0,0.1024,0.0036,0.0091,0.1249,0,0,0.0004,0.1452,0.0162,0.1618,0.0012,0.0005,0.0151,0.0156,0,0.0956,0.054,0.1496,0.0001,0.0068,0.0017,0.0085,0,1.0672,0.0013,,1.0672,0,0,,,,
120,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330781,兰溪市,金华市,4.5,0.002,0.0001,0.0001,0.0022,0,0,0.0088,0,0.0005,0.001,0.0004,0.0107,0,,,0.0009,0.0001,0.001,0,0.0002,0.0001,0.0003,0,0.0002,0.0001,0.0003,0,0.0001,0.0001,0.0002,0,0.0147,0,,0.0147,0,0,,,,
121,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330782,义乌市,金华市,349.1,0.1733,0.0303,0.0236,0.2272,0,0.0059,0.0046,0,0.04,0,0.001,0.0515,0,,,0.3317,0.2358,0.5675,0,0.028,0.1071,0.1351,0,0.3271,0.0715,0.3986,0,0.0669,0.0042,0.0711,0,1.451,0,0.2582,1.7092,0,0,,,,
122,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330782,义乌市,金华市,491.7,0.0953,0.0344,0.0205,0.1502,0,0.0047,0.0042,0,0.0321,0,0.001,0.042,0,,,0.0606,0.1282,0.1888,0,0.0043,0.0453,0.0496,0,0.139,0.0154,0.1544,0,0.0287,0.0084,0.0371,0,0.6221,0,,0.6221,0,0,,,,
123,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330782,义乌市,金华市,264.2,0.0732,0.0513,0.0134,0.1379,0,0.0042,0.0046,0,0.0021,0,0.0039,0.0148,0,,,0.1019,0.1024,0.2043,0,0.0118,0.0026,0.0144,0,0.0793,0.0205,0.0998,0,0.0618,0.0038,0.0656,0,0.5368,0,,0.5368,0,0,,,,
124,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330783,东阳市,金华市,1528.8,0.9605,0.0207,0.0219,1.0031,0,0.0081,0,0,0.1417,0.0003,0.0197,0.1698,0,0,0.0102,0.3234,0.1456,0.4792,0.0002,0.0122,0.0818,0.094,0,0.2847,0.0967,0.3814,0,0.0952,0.0702,0.1654,0,2.2929,0.0002,,2.2929,0,0,,,,
125,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330783,东阳市,金华市,30,0.0185,0.0013,0.001,0.0208,0,0.001,0,0,0.0005,0.0001,0.0006,0.0022,0,,,0,0,0,0,0,0,0,0,0,0.0036,0.0036,0,0,0.0002,0.0002,0,0.0268,0,,0.0268,0,0,,,,
126,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330783,东阳市,金华市,18.6,0.0003,0.0002,0.0001,0.0006,0,0.0001,0,0,0,0,0.0001,0.0002,0,,,0,0,0,0,0,0,0,0,0,0.0008,0.0008,0,0,0,0,0,0.0016,0,,0.0016,0,0,,,,
127,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330783,东阳市,金华市,166.5,0.0295,0.0018,0.0019,0.0332,0,0.002,0,0,0.0022,0.0001,0.0013,0.0056,0,,,0,0.0078,0.0078,0,0,0,0,0,0,0.0067,0.0067,0,0,0.0005,0.0005,0,0.0538,0,,0.0538,0,0,,,,
128,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330783,东阳市,金华市,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,
129,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330784,永康市,金华市,92.6,0.0079,0.0205,0.0013,0.0297,0,0.003,0,0,0.0073,0,0.0001,0.0104,0.0004,,,0,0.0006,0.0006,0,0,0,0,0,0,0.0006,0.0006,0,0,0.0175,0.0175,0,0.0588,0.0004,,0.0588,0,0,,,,
130,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330784,永康市,金华市,934.9,0.2183,0.1124,0.0171,0.3478,0,0.0336,0,0,0.0922,0.0001,0.002,0.1279,0.0012,0,0.0048,0.3256,0.0957,0.4261,0.0001,0.0012,0.062,0.0632,0.0048,0.2061,0.0873,0.2934,0,0.2238,0.1935,0.4173,0,1.6757,0.0061,,1.6757,0,0,,,,
131,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330784,永康市,金华市,19.5,0.0006,0.0116,0.0013,0.0135,0,0.0016,0,0,0.0018,0,0.0001,0.0035,0.0001,,,0,0.0012,0.0012,0,0.0001,0.0008,0.0009,0,0.0036,0.0026,0.0062,0,0,0.0001,0.0001,0,0.0254,0.0001,,0.0254,0,0,,,,
