序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计
115,金华市,磐安县,瓯江温溪以下,永安溪,3,140.2,0.08,0.96,1.04,0.89,6.45,4.12,11.46,0,2.95,1.7,4.65,0,0,0.93,0.93,0.4,0.43,0,0.83,0.16,0.03,0.3,0,0.03,0.0028,0.7602,0.763,0.0309,0,0,0,,0,0.0309,0,0,0,0,0,0,0,0,0.0309,0,0.0118,0.0045,0,0.0163,0,0.0002,0.0016,0,0.0013,0,0.0004,0.0035,0,0,0.0015,0.0016,0.0024,0.004,0,0,0.0002,0.0002,0,0.0005,0.0047,0.0052,0,0.0017,0,0.0017,0,0.0309,0,0,0.0309
116,金华市,磐安县,瓯江温溪以下,始丰溪,3,204.9,0.11,1.15,1.26,3.55,1.29,6.23,11.07,0,0.59,0.34,0.93,0,0,3.71,3.71,1.59,1.71,0,3.3,0.64,0.02,0.28,0,0.03,0.0027,0.717,0.7197,0.0762,0,0,0,,0,0.0762,0,0,0,0,0,0,0,0,0.0762,0,0.0464,0.0175,0,0.0639,0,0.0002,0.0016,0,0.0013,0,0.0004,0.0035,0,0,0.0015,0.0003,0.0005,0.0008,0,0,0.0002,0.0002,0,0.0006,0.0056,0.0062,0,0.0016,0,0.0016,0,0.0762,0,0,0.0762
117,金华市,兰溪市,富春江坝址以上,衢江下游,3,330.1,7.34,5.8,13.14,9.22,62.07,61.58,132.87,0,31.28,9.37,40.65,0,0,14.87,14.87,12.25,1.89,0,14.14,3.14,0.33,4.64,0,2.34,0.3,11.51,11.81,0.4028,0.1898,0.1596,0,,0,0.7522,0,0,0,0,0,0,0,0,0.7522,0,0.4288,0.0083,0,0.4371,0,0.0022,0.0217,0,0.1163,0.0009,0.0081,0.1492,0,0,0.0021,0.0528,0.0133,0.0661,0,0.0047,0.0117,0.0164,0,0.0403,0.0287,0.069,0,0.0114,0.003,0.0144,0,0.7522,0,0,0.7522
118,金华市,兰溪市,富春江坝址以上,金华江下游,3,126.1,3.3,2.67,5.97,5.91,35.57,49.09,90.57,0,41.59,7.99,49.58,0,264,4.8,4.8,3.31,1.49,0,4.8,1.07,0.1,3.03,0,0.24,0.13,6.11,6.24,0.1324,0.0241,0.3997,0,,0,0.5562,0.0023,0,0,0.0023,0,0,0,0,0.5585,0,0.1254,0.0055,0,0.1309,0,0.0006,0.0117,0,0.0105,0.0004,0.0032,0.0264,0.001,0,0.2971,0.0444,0.0118,0.3533,0.0013,0.0013,0.0099,0.0112,0,0.0184,0.0132,0.0316,0,0.0043,0.0008,0.0051,0,0.5585,0.0023,0,0.5585
119,金华市,兰溪市,富春江坝址以上,兰江及富春江上游段,3,851.3,22.63,16.27,38.9,10.9,144.53,112.81,268.24,0,98.53,32.52,131.05,0,0,21.3,21.3,15.14,2.5,0,17.64,3.92,0.4,2.27,0,1.06,0.32,14.52,14.84,0.7135,0.1003,0.2996,0,,0,1.1134,0.0063,0,0,0.0063,0,0,0,0,1.1197,0,0.5278,0.0081,0,0.5359,0,0.0025,0.0116,0,0.0554,0.0009,0.008,0.0784,0.004,0,0.0021,0.184,0.046,0.23,0.0023,0.0022,0.0312,0.0334,0,0.1246,0.0803,0.2049,0,0.0295,0.0076,0.0371,0,1.1197,0.0063,0,1.1197
120,金华市,兰溪市,富春江坝址以下,浦阳江,3,4.5,0.02,0.07,0.09,0.04,0.01,3.06,3.11,0,0.25,0.14,0.39,0,0,0.12,0.12,0.07,0.02,0,0.09,0.02,0.15,1.77,0,0.01,0.07,0.76,0.83,0.0037,0.0015,0.0105,0,,0,0.0157,0,0,0,0,0,0,0,0,0.0157,0,0.0031,0.0001,0,0.0032,0,0.001,0.0077,0,0.0003,0.0002,0.0017,0.0109,0,0,0.0021,0.0005,0.0002,0.0007,0,0.0002,0.0001,0.0003,0,0.0001,0.0003,0.0004,0,0.0001,0.0001,0.0002,0,0.0157,0,0,0.0157
121,金华市,义乌市,富春江坝址以上,金华江上游,3,349.1,92.1911,20.7263,112.9174,7.0724,273.2562,1140.1328,1420.4614,0,107.6723,115.4472,223.1195,0,0,6.6888,6.6888,4.5149,1.4104,0,5.9253,1.24,0.1166,1.5747,0,0.4474,0,8.3878,8.3878,0.3862,0.8,0.1079,0,,0,1.2941,0,0,0,0,0.0839,0.0033,0,0.0872,1.3813,0.3735,0.1422,0.0072,0,0.1494,0,0.0008,0.0084,0,0.0246,0,0.005,0.0388,0,0,0.0021,0.1492,0.1408,0.29,0,0.016,0.2246,0.2406,0,0.4993,0.111,0.6103,0,0.046,0.0062,0.0522,0,1.3813,0,0.3735,1.7548
122,金华市,义乌市,富春江坝址以上,金华江下游,3,491.7,31.5598,7.1795,38.7393,15.4462,183.9776,92.911,292.3348,0.105,97.0981,111.5482,208.7513,0,0.45,12.6265,12.6265,8.5228,2.6624,0,11.1852,2.34,0.2202,2.9728,0,0.6312,0.0249,10.4065,10.4314,0.884,0,0.0335,0,,0,0.9175,0,0,0,0,0.0718,0.0012,0,0.073,0.9905,0,0.2682,0.0134,0,0.2816,0,0.0011,0.0118,0,0.0347,0.0001,0.0071,0.0548,0,0,0.0081,0.1481,0.1418,0.298,0,0.0053,0.0745,0.0798,0,0.1658,0.0369,0.2027,0,0.0648,0.0088,0.0736,0,0.9905,0,0,0.9905
123,金华市,义乌市,富春江坝址以下,浦阳江,3,264.2,31.5291,7.1142,38.6433,3.7014,171.1862,167.9362,342.8238,0,60.5196,72.7196,133.2392,0,0,5.9147,5.9147,3.9923,1.2472,0,5.2395,1.09,0.1032,1.3925,0,0.3389,0,5.2207,5.2207,0.5528,0,0.0261,0,,0,0.5789,0,0,0,0,0.0616,0,0,0.0616,0.6405,0,0.1257,0.0063,0,0.132,0,0.0006,0.0064,0,0.0186,0,0.0039,0.0295,0,0,0.0021,0.0758,0.0717,0.1475,0,0.0055,0.077,0.0825,0,0.1714,0.0381,0.2095,0,0.0347,0.0048,0.0395,0,0.6405,0,0,0.6405
124,金华市,东阳市,富春江坝址以上,金华江上游,3,1528.8,76.51,30.73,107.24,19.32,348.68,408.61,776.61,1.96,157.94,106.02,265.92,0,8.1,35.41,29.85,22.18,7.67,0,29.85,8.98,0.99,4.6,0,2.67,0.16,8.7,8.86,2.4163,0.1332,0.019,0,,0,2.5685,0,0,0,0,0,0,0,0,2.5685,0,1.1963,0.0531,0,1.2494,0,0.0052,0.0223,0,0.1388,0.0004,0.0047,0.1714,0,0,0.0242,0.2501,0.1127,0.387,0,0.0109,0.1512,0.1621,0,0.3648,0.1349,0.4997,0,0.0584,0.0405,0.0989,0,2.5685,0,0,2.5685
125,金华市,东阳市,富春江坝址以上,金华江下游,3,30,0,0.77,0.77,0.39,1.35,3.89,5.63,0,0.43,0.28,0.71,0,0,0.71,0.59,0.44,0.15,0,0.59,0.18,0.01,0.09,0,0.05,0,0.2,0.2,0.0256,0,0.0092,0,,0,0.0348,0,0,0,0,0,0,0,0,0.0348,0,0.0239,0.0011,0,0.025,0,0.0001,0.0005,0,0.0025,0,0.0001,0.0032,0,0,0.0021,0.0007,0.0004,0.0011,0,0.0001,0.0015,0.0016,0,0,0.003,0.003,0,0,0.0009,0.0009,0,0.0348,0,0,0.0348
