序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
183,丽水市,青田县,瓯江温溪以下,飞云江,6,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
184,丽水市,云和县,瓯江温溪以上,大溪,6,819.7,9.4499,2.9017,12.3516,3.99,43.99,32.59,80.57,0,24.51,14.65,39.16,0,0,11.45,8.74,7.024,0.76,0.32,8.104,1.39,0,0.25,0,0.05,0.1652,1.5,1.6652,0.334,0.0271,0.0004,0,,0,0.3615,0,0,0,0,0,0,0,0,0.3615,0,0.2203,0.0073,0.0038,0.2314,0,0,0.0016,0,0.0021,0.0007,0.0005,0.0049,0,0,0,0.0191,0.0209,0.04,0,0.0025,0.0161,0.0186,0,0.0369,0.0107,0.0476,0,0.0152,0.0038,0.019,0,0.3615,0,0,0.3615,0.36150000000000004,0.3615,0,,,,,,,,,,,,,,,,,,,,,,,
185,丽水市,云和县,瓯江温溪以上,小溪及瓯江青田段,6,164.3,0,0.57,0.57,0.92,0,5.5,6.42,0,0,0,0,0,0,2.49,1.69,1.08,0.27,0.21,1.56,0.42,0,0.05,0,0,0.0124,0.06,0.0724,0.0394,0.0031,0,0,,0,0.0425,0,0,0,0,0,0,0,0,0.0425,0,0.0354,0.0026,0.0026,0.0406,0,0,0.0002,0,0,0.0001,0.0002,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,0.0014,0,0,0,0,0,0.0425,0,0,0.0425,0.042499999999999996,0.0425,0,,,,,,,,,,,,,,,,,,,,,,,
186,丽水市,庆元县,瓯江温溪以上,大溪,6,64,0.79,0.47,1.26,0.72,1.99,4.87,7.58,0,0,0,0,0,0,2.54,1.85,0.95,0.05,0.12,1.12,0.4,0,0,0,0,0,0,0,0.0084,0.0446,0,0,,0,0.053,0,0,0,0,0,0,0,0,0.053,0,0.0454,0.0006,0.0015,0.0475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0007,0.0012,0,0.0029,0.0014,0.0043,0,0,0,0,0,0.053,0,0,0.053,0.053,0.053,0,,,,,,,,,,,,,,,,,,,,,,,
187,丽水市,庆元县,瓯江温溪以上,小溪及瓯江青田段,6,546.7,2.11,1.21,3.32,1.53,7.5,9.98,19.01,0,2.48,0,2.48,0,0,6.43,5.942,1.979,0.22,0.65,2.849,0.73,0.01,0.01,0,0,0.19,0.98,1.17,0.0424,0.0818,0,0,,0,0.1242,0,0,0,0,0,0,0,0,0.1242,0,0.095,0.0023,0.0085,0.1058,0,0,0,0,0,0.0006,0.0004,0.001,0,0,0,0,0.0026,0.0026,0,0.0017,0.0018,0.0035,0,0.0076,0.0037,0.0113,0,0,0,0,0,0.1242,0,0,0.1242,0.12420000000000002,0.1242,0,,,,,,,,,,,,,,,,,,,,,,,
188,丽水市,庆元县,闽东诸河,闽东诸河,6,247.3,1.18,0.52,1.7,1.25,3.33,5.9,10.48,0,0,0,0,0,0,3.67,3.38,1.06,0.18,0.28,1.52,0.44,0,0.01,0,0,0,0.59,0.59,0.02,0.0461,0,0,,0,0.0661,0,0,0,0,0,0,0,0,0.0661,0,0.0517,0.0019,0.0038,0.0574,0,0,0,0,0,0,0.0003,0.0003,0,0,0,0,0,0,0,0.001,0.0013,0.0023,0,0.0045,0.0016,0.0061,0,0,0,0,0,0.0661,0,0,0.0661,0.06609999999999999,0.0661,0,,,,,,,,,,,,,,,,,,,,,,,
189,丽水市,庆元县,闽江上游,闽江,6,1040,4.9724,3.0027,7.9751,4.06,15.44,22.36,41.86,0.46,17.41,0,17.87,0,9,11.18,9.8,3.91,0.24,0.48,4.63,1.73,0.09,0.08,0,0,0.07,2.16,2.23,0.0662,0.195,0,0,,0,0.2612,0.0002,0,0,0.0002,0,0,0,0,0.2614,0,0.1881,0.0025,0.0062,0.1968,0,0.0005,0.0006,0,0,0.0002,0.0011,0.0024,0,0,0.003,0.0181,0,0.0211,0.0002,0.0046,0.0042,0.0088,0,0.0185,0.0088,0.0273,0,0.005,0,0.005,0,0.2614,0.0002,0,0.2616,0.2614,0.26139999999999997,0,,,,,,,,,,,,,,,,,,,,,,,
190,丽水市,缙云县,富春江坝址以上,金华江下游,6,298.7,7.85,5.77,13.62,3.04,34.29,19.38,56.71,0,28.79,0,28.79,0,0,10.65,4.27,3.53,0.44,0.24,4.21,1.08,0.07,0.28,0,0.12,0.03,2.57,2.6,0.1366,0.1132,0.0382,0,,0,0.288,0,0,0,0,0,0,0,0,0.288,0,0.1516,0.0048,0.0034,0.1598,0,0.0003,0.0018,0,0.0051,0.0001,0.0013,0.0086,0,0,0,0.0431,0,0.0431,0,0.0023,0.0238,0.0261,0,0.0282,0.0176,0.0458,0,0.004,0.0006,0.0046,0,0.288,0,0,0.288,0.288,0.288,0,,,,,,,,,,,,,,,,,,,,,,,
191,丽水市,缙云县,瓯江温溪以上,大溪,6,981.9,15.1804,7.9514,23.1318,7.38,65.32,97.47,170.17,0,55.68,0,55.68,0,0,20.39,9.45,7.814,0.93,0.53,9.274,2.74,0.08,0.31,0,0.2,0.03,3.52,3.55,0.3233,0.1694,0.1051,0,,0,0.5978,0,0,0,0,0,0,0,0,0.5978,0,0.3605,0.01,0.0077,0.3782,0,0.0003,0.0021,0,0.0091,0.0001,0.0016,0.0132,0,0,0,0.0876,0,0.0876,0,0.0045,0.028,0.0325,0,0.0547,0.0247,0.0794,0,0.0059,0.001,0.0069,0,0.5978,0,0,0.5978,0.5978,0.5978,0,,,,,,,,,,,,,,,,,,,,,,,
192,丽水市,缙云县,瓯江温溪以下,永安溪,6,130.9,0,2.97,2.97,1.12,6.35,5.22,12.69,0,1.01,0,1.01,0,0,2.5,1.29,0.9,0.35,0,1.25,0.46,0,0,0,0,0.02,1.07,1.09,0.0366,0.0148,0.0034,0,,0,0.0548,0,0,0,0,0,0,0,0,0.0548,0,0.0386,0.0038,0,0.0424,0,0,0,0,0,0,0.0006,0.0006,0,0,0,0.0015,0,0.0015,0,0,0,0,0,0,0.0092,0.0092,0,0,0.0011,0.0011,0,0.0548,0,0,0.0548,0.0548,0.0548,0,,,,,,,,,,,,,,,,,,,,,,,
