序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan
97,绍兴市,嵊州市,富春江坝址以下,曹娥江百官以上,2,1779.2,41.67,27.76,69.43,43.2477,293.4763,252.476,589.2,2.6206,85.6968,155.0826,243.4,0,7.05,67.29,59.84,55.39,0,1.51,56.9,15.02,1.275,2.49,0,0.48,0.095,75,75.09,0.7591,1.488,0.1176,0,0,0,2.3647,0.0266,0,0,0.0266,0,0,0,0,2.3913,0,1.4736,0,0.003,1.4766,0.0028,0.0051,0.0105,0,0.0375,0.0004,0.0277,0.0812,0,0,0.0273,0.1312,0.1918,0.3503,0.0109,0.0073,0.0751,0.0824,0,0.2487,0.132,0.3807,0.0129,0.0201,0,0.0201,0,2.3913,0.0266,0,2.3913,2.3912999999999998,2.3913,0,,,
98,绍兴市,嵊州市,浙东沿海诸河,奉化江及甬江干流,2,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
99,绍兴市,新昌县,富春江坝址以下,曹娥江百官以上,2,1207.6,23.87,14.97,38.84,26.1053,219.7258,205.6689,451.5,1.1363,106.6743,90.0894,197.9,0,3.6,42.44,20.09,15.26,1.37,3.46,20.09,5.52,1.11,0.3,0,0.3,0.25,7.75,8,0.7205,0.2744,0.3234,0,0,0,1.3183,0.0017,0,0,0.0017,0,0,0,0,1.32,0,0.6757,0.0163,0.0326,0.7246,0,0.0124,0.0035,0,0.027,0.001,0.0029,0.0468,0,0,0.0187,0.1382,0.0415,0.1984,0.0017,0.0128,0.0982,0.111,0,0.1494,0.083,0.2324,0,0.0068,0,0.0068,0,1.32,0.0017,0,1.32,1.3199999999999998,1.32,0,,,
100,绍兴市,新昌县,浙东沿海诸河,奉化江及甬江干流,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
101,绍兴市,新昌县,瓯江温溪以下,始丰溪,2,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6,绍兴市,,,,,8279,345.89000000000004,159.81,505.69999999999993,233.5971,2833.3578,2712.6451,5779.5868,40.0827,1713.2329,570.5844,2323.9,1.8,148.85000000000002,297.12,232.38,187.94,18.71,22.09,228.74,87.83999999999999,6.515,6.31,0,19.32,0.875,254.72000000000003,255.59,5.5911,7.3253,3.6102,0.9201999999999999,0,0,17.4468,0.06779999999999999,0,0,0.06779999999999999,0.044199999999999996,0,0,0.044199999999999996,17.5588,1.85,6.3139,0.3242,0.18560000000000001,6.8237,0.0106,0.0626,0.042800000000000005,0,1.1613,0.0037000000000000006,0.0929,1.3632999999999997,0,0.0032,0.5847000000000001,2.8698,0.9017,4.3594,0.0187,0.31629999999999997,1.6024999999999998,1.9187999999999998,0.0012,1.9413,0.7631,2.7044,0.0373,0.38749999999999996,0.0017,0.38919999999999993,0,17.5588,0.06779999999999999,1.85,19.408800000000003,,,,,,
,绍兴,绍北供水区,越城区,,,493,78.79,19.99,98.78,15.0294,363.851,565.2196,944.1,3.9919,219.4006,50.9075,274.3,1.8,7.2,18.27,15,11.85,0,2.45,14.3,5.05,3.15,1.61,0,2.4,0,65.6,65.6,0.3888,0.4406,0.466,0.8684,0,0,2.1638,0.0101,0,0,0.0101,0,0,0,0,2.1739,1.85,0.5051,0,0.015,0.5201,0.0008,0.0267,0.0108,0,0.135,0,0.0218,0.1943,0,0.0032,0.0456,0.4387,0.0652,0.5527,0.0021,0.0335,0.3703,0.4038,0.0012,0.4045,0.088,0.4925,0.006,0.0105,0,0.0105,0,2.1739,0.0101,1.85,4.0239,绍北供水区,越城区,0,0.0,0.9066000000000001,2.7566
,绍兴,,柯桥区,,,1066,80.10999999999999,19.91,100.02,39.7382,764.4296,700.1322,1504.2957999999999,20.8577,557.0278,62.1145,639.9999999999999,0,107.7,27.08,21.57,17.08,0,4.49,21.57,11.4,0.27,1.2,0,2.3199999999999994,0.01,7.279999999999999,7.289999999999999,1.5441,1.0242,1.7522,0,0,0,4.3205,0.0169,0,0,0.0169,0.0004,0,0,0.0004,4.3378,0,0.7826000000000001,0,0.044700000000000004,0.8272999999999999,0,0.0016,0.0075,0,0.1472,0.0001,0.0026,0.159,0,0,0.3635,1.4984000000000002,0.202,2.0638999999999994,0,0.1295,0.5139,0.6434,0,0.4466,0.0945,0.5411,0.0169,0.1031,0,0.1031,0,4.3378,0.0169,0,4.3378,,柯桥区,0,0.0,2.7763999999999998,2.7763999999999998
,绍兴,,上虞区,,,1406,49.62,30.23,79.85,52.1454,516.0461,409.9085,978.0952,9.6821,293.7256,123.79230000000001,427.2,0,15.9,64.63,49.83,30.25,17.34,2.24,49.83,21.53,0.15000000000000002,0.1,0,6.620000000000001,0.34,36.44,36.78,1.0067,1.6376,0.49529999999999996,0.0518,0,0,3.1914,0.0121,0,0,0.0121,0,0,0,0,3.2035,0,1.1991999999999998,0.3079,0.028700000000000003,1.5358,0.007,0.0005,0.0010999999999999998,0,0.40459999999999996,0.0014000000000000002,0.014499999999999999,0.4221,0,0,0.0865,0.36239999999999994,0.1976,0.6465000000000001,0.0036,0.0131,0.1326,0.1457,0,0.2811,0.1356,0.4167,0.0015,0.036699999999999997,0,0.036699999999999997,0,3.2035,0.0121,0,3.2035,,上虞区,0,0.0,2.1329,2.1329
,绍兴,嵊新供水区,嵊州市,,,1789,41.67,27.76,69.43,43.2477,293.4763,252.476,589.2,2.6206,85.6968,155.0826,243.4,0,7.05,67.29,59.84,55.39,0,1.51,56.9,15.02,1.275,2.49,0,0.48,0.095,75,75.09,0.7591,1.488,0.1176,0,0,0,2.3647,0.0266,0,0,0.0266,0,0,0,0,2.3913,0,1.4736,0,0.003,1.4766,0.0028,0.0051,0.0105,0,0.0375,0.0004,0.0277,0.0812,0,0,0.0273,0.1312,0.1918,0.3503,0.0109,0.0073,0.0751,0.0824,0,0.2487,0.132,0.3807,0.0129,0.0201,0,0.0201,0,2.3913,0.0266,0,2.3913,嵊新供水区,嵊州市,0,0.0,1.6056,1.6056
,绍兴,,新昌县,,,1214,23.87,14.97,38.84,26.1053,219.7258,205.6689,451.5,1.1363,106.6743,90.0894,197.9,0,3.6,42.44,20.09,15.26,1.37,3.46,20.09,5.52,1.11,0.3,0,0.3,0.25,7.75,8,0.7205,0.2744,0.3234,0,0,0,1.3183,0.0017,0,0,0.0017,0,0,0,0,1.32,0,0.6757,0.0163,0.0326,0.7246,0,0.0124,0.0035,0,0.027,0.001,0.0029,0.0468,0,0,0.0187,0.1382,0.0415,0.1984,0.0017,0.0128,0.0982,0.111,0,0.1494,0.083,0.2324,0,0.0068,0,0.0068,0,1.32,0.0017,0,1.32,,新昌县,0,0.0,0.5978,0.5978
,绍兴,诸暨供水区,诸暨区,,,2311,71.83,46.949999999999996,118.78,57.3311,675.829,579.2399,1312.3958,1.7941,450.7078,88.5981,541.1,0,7.4,77.41,66.05,58.11,0,7.9399999999999995,66.05,29.32,0.56,0.61,0,7.2,0.18,62.65,62.83,1.1719000000000002,2.4605,0.4557,0,0,0,4.0881,0.0004,0,0,0.0004,0.0438,0,0,0.0438,4.1323,0,1.6777,0,0.0616,1.7393,0,0.0163,0.0094,0,0.41,0.0008,0.0234,0.4599,0,0,0.0431,0.3009,0.2036,0.5476,0.0004,0.1201,0.41240000000000004,0.5325,0,0.411,0.22999999999999998,0.641,0,0.2103,0.0017,0.212,0,4.1323,0.0004,0,4.1323,诸暨供水区,诸暨区,0,0.0,2.9162,2.9162
