序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
115,金华市,东阳市,富春江坝址以下,曹娥江百官以上,3,166.5,0,0.9,0.9,1.62,7.78,7.92,17.32,0,0.46,0.31,0.77,0,0,3.66,2.48,1.93,0.16,0.22,2.31,0.67,0.23,0,0,0.29,0,0.7,0.7,0.074,0.0278,0.0015,0,0,0,0.1033,0,0,0,0,0,0,0,0,0.1033,0,0.075,0.0016,0.0017,0.0783,0,0.0012,0,0,0.0155,0,0.0005,0.0172,0,0,0,0.0009,0.0004,0.0013,0,0.0006,0.001,0.0016,0,0,0.0034,0.0034,0,0,0.0015,0.0015,0,0.1033,0,0,0.1033,0.1033,0.1033,0,,149.1628614916286,,,,,,,,
116,金华市,东阳市,瓯江温溪以上,大溪,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
117,金华市,义乌市,富春江坝址以上,金华江上游,3,349.1,89.65,22.2,111.85,6.63,240.97,937.03,1184.63,0,109.47,87.03,196.5,0,0,8.64,6.885,4.2515,1.2681,0.7211,6.2407,1.535,1.4502,0.9068,0,0.5359,0.0033,5.62,5.6233,0.5125,0.5,0.1865,0,0,0,1.199,0,0,0,0,0.0815,0.0032,0,0.0847,1.2837,0,0.1189,0.0121,0.0048,0.1358,0,0.0047,0.0042,0,0.0268,0,0.0021,0.0378,0,0,0,0.1456,0.1374,0.283,0,0.0228,0.1995,0.2223,0,0.461,0.1021,0.5631,0,0.0367,0.005,0.0417,0,1.2837,0,0,1.2837,1.2837,1.2837,0,220.0337690715033,132.17326915957054,,,,,,,,
118,金华市,义乌市,富春江坝址以上,金华江下游,3,491.7,30.69,7.69,38.38,14.48,162.24,76.36,253.08,7.8,98.72,83.79,190.31,0,0.45,16.31,12.997,8.0256,2.3939,1.3614,11.7809,2.8977,2.7375,1.7118,0,0.7561,0.0063,6.98,6.9863,0.8314,0,0.0119,0,0,0,0.8433,0,0,0,0,0.0697,0.0012,0,0.0709,0.9142,0,0.2309,0.0179,0.0076,0.2564,0,0.0066,0.006,0,0.0378,0,0.003,0.0534,0,0,0.0115,0.1407,0.1328,0.285,0,0.0075,0.0662,0.0737,0,0.1531,0.0339,0.187,0,0.0517,0.007,0.0587,0,0.9142,0,0,0.9142,0.9141999999999999,0.9142,0,248.6196476474868,145.71494736092058,,,,,,,,
119,金华市,义乌市,富春江坝址以下,浦阳江,3,264.2,30.66,7.62,38.28,3.47,150.96,138.02,292.45,0,61.53,54.5,116.03,0,0,7.64,6.088,3.7594,1.1214,0.6377,5.5185,1.3573,1.2823,0.8019,0,0.406,0.0029,3.5,3.5029,0.5116,0,0.0222,0,0,0,0.5338,0,0,0,0,0.0598,0,0,0.0598,0.5936,0,0.1072,0.0091,0.0038,0.1201,0,0.0035,0.0032,0,0.0203,0,0.0016,0.0286,0,0,0,0.074,0.0699,0.1439,0,0.0078,0.0685,0.0763,0,0.1582,0.035,0.1932,0,0.0277,0.0038,0.0315,0,0.5936,0,0,0.5936,0.5936,0.5936,0,234.2975095836796,139.50311005644843,,,,,,,,
120,金华市,永康市,富春江坝址以上,金华江上游,3,92.6,0,2.6,2.6,0.77,10.34,13.28,24.39,0,4.71,4.19,8.9,0,0,2.86,1.95,0.62,1.13,0.2,1.95,0.6,0.39,0,0,0.13,0,0.38,0.38,0.0688,0.0039,0.0052,0,,0,0.0779,0,0,0,0,0,0,0,0,0.0779,0,0.018,0.0115,0.0016,0.0311,0,0.0034,0,0,0.013,0,0.0003,0.0167,0,0,0,0,0.006,0.006,0,0.002,0.0043,0.0063,0,0,0.0113,0.0113,0,0,0.0065,0.0065,0,0.0779,0,0,0.0779,0.0779,0.0779,0,,187.56585879873546,,,,,,,,
121,金华市,永康市,富春江坝址以上,金华江下游,3,934.9,64.85,29.15,94,8.3,382.21,303.45,693.96,0.68,187.64,167.47,355.79,0,1.5,32.27,21.8,6.96,12.62,2.22,21.8,6.74,3.89,0,0,1.32,0.06,3.99,4.05,1.3946,0.0281,0.0671,0,,0,1.4898,0.0019,0,0,0.0019,0.0095,0.0114,0,0.0209,1.5126,0,0.2036,0.1298,0.0177,0.3511,0,0.0342,0,0,0.131,0.0002,0.0031,0.1685,0.0018,0,0.0056,0.1867,0.0549,0.2472,0.0001,0.0488,0.1029,0.1517,0,0.3234,0.1268,0.4502,0,0.0782,0.0657,0.1439,0,1.5126,0.0019,0,1.5126,1.5126,1.5126,0,233.75334016328517,180.92530369604552,,,,,,,,
122,金华市,永康市,瓯江温溪以上,大溪,3,19.5,0.19,0.43,0.62,0.14,1.29,2.46,3.89,0,0.43,0.39,0.82,0,0,0.52,0.33,0.1,0.19,0.04,0.33,0.11,0.07,0,0,0.03,0,0.13,0.13,0.0125,0.0012,0.0013,0,,0,0.015,0,0,0,0,0,0,0,0,0.015,0,0.0033,0.0021,0.0003,0.0057,0,0.0007,0,0,0.0027,0,0.0001,0.0035,0,0,0,0,0.0007,0.0007,0,0.0003,0.0007,0.001,0,0.0009,0.0019,0.0028,0,0,0.0013,0.0013,0,0.015,0,0,0.015,0.015,0.015,0,273.972602739726,203.8865880853775,,,,,,,,
123,金华市,浦江县,富春江坝址以下,富春江下游段,3,400.6,3.26,1.84,5.1,1.01,9.54,18.36,28.91,0,3.94,4.41,8.35,0,0,6.14,4.069,1.33,0.93,0.1,2.36,1.03,0.12,3.1,0,0.05,0.05,3.62,3.67,0.1004,0.0191,0.0082,0,,0,0.1277,0,0,0,0,0,0,0,0,0.1277,0,0.0302,0.0077,0.0008,0.0387,0,0.0003,0.0218,0,0.0094,0.0001,0.0027,0.0343,0,0,0,0.0132,0.0053,0.0185,0,0.0014,0.0041,0.0055,0,0.0155,0.0077,0.0232,0,0.0032,0.0043,0.0075,0,0.1277,0,0,0.1277,0.1277,0.1277,0,203.3784351626187,178.67778439547348,,,,,,,,
124,金华市,浦江县,富春江坝址以下,浦阳江,3,517.4,25.82,15.31,41.13,9.88,107.39,116.12,233.39,0.98,41.45,50.74,93.17,0,0,17.92,16.358,14.21,1.19,0.54,15.94,6.14,0.09,4.49,0,0.11,0,5.38,5.38,0.7903,0.0717,0.039,0,,0,0.901,0,0,0,0,0,0,0,0,0.901,0,0.3156,0.0102,0.0042,0.33,0,0.0008,0.018,0,0.0122,0,0.0063,0.0373,0,0,0.0277,0.1527,0.0722,0.2526,0,0.0155,0.0413,0.0568,0,0.1367,0.0653,0.202,0,0.0174,0.0049,0.0223,0,0.901,0,0,0.901,0.901,0.901,0,223.78319875216198,125.6229700348058,,,,,,,,
