序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,杭州市,余杭区,湖西及湖区,西苕溪及长兴平原,1,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
12,杭州市,余杭区,湖西及湖区,东苕溪,1,555.3,45.91,12.72,58.63,13.62,174.65,599.12,787.39,0,113.01,29.6,142.61,0,0,14.02,11.62,8.48,1.31,1.82,11.61,3.24,0,1.07,0,1.59,0.03,30.49,30.52,0.1702,0.3611,0.88,0,,0,1.4113,0.0001,0,0,0.0001,0,0,0,0,1.4114,0,0.3891,0.0183,0.031,0.4384,0,0,0.0155,0,0.1052,0.0001,0.0198,0.1406,0,0,0,0.1229,0.0273,0.1502,0.0001,0.046,0.2334,0.2794,0,0.239,0.0568,0.2958,0,0.0973,0.0097,0.107,0,1.4114,0.0001,0,1.4114,1.4114,1.4114,0,,,,,,,,,,,,,,,,,,,,,,,
13,杭州市,余杭区,杭嘉湖平原,杭嘉湖平原,1,653.2,148.37,33.25,181.62,39,502.28,1722.94,2264.22,0.06,393.75,89.78,483.59,0,11.2,34.9,28.72,24.65,2.1,1.98,28.73,8.01,8.52,0.57,0,5.82,0,24.35,24.35,0,0.7965,2.654,0.1994,杭州水务趸售,0,3.6499,0,0,0,0,0.2501,0,0,0.2501,3.9,5.4782,1.0725,0.0283,0.0345,1.1353,0,0.088,0.0087,0,0.3904,0,0.016,0.5031,0,0,0.0009,0.4281,0.0746,0.5036,0,0.1178,0.623,0.7408,0,0.7318,0.1508,0.8826,0,0.1075,0.0271,0.1346,0,3.9,0,5.4782,9.3782,3.9,3.9000000000000004,0,,,,,,,,,,,,,,,,,,,,,,,
14,杭州市,富阳区,富春江坝址以下,富春江下游段,3,1760.1,58.27,23.53,81.8,49.21,343.17,415.32,807.7,2.45,235.75,57.7976,295.9976,0,10.85,36.66,33.69,31.94,1.04,0.72,33.7,9.67,0.18,0.45,0,2.91,0.32,77.63,77.95,0.0245,1.255,1.8308,0,,0,3.1103,0.0019,0,0,0.0019,0.0603,0,0,0.0603,3.1725,1.3562,1.2878,0.0119,0.0106,1.3103,0,0.0022,0.0056,0,0.3254,0.0013,0.0484,0.3829,0,0,0.039,0.309,0.1359,0.4839,0.0019,0.1634,0.1638,0.3272,0,0.3149,0.1072,0.4221,0,0.1678,0.0783,0.2461,0,3.1725,0.0019,1.3562,4.5287,3.1725000000000003,3.1725,0,,,,,,,,,,,,,,,,,,,,,,,
15,杭州市,富阳区,富春江坝址以下,浦阳江,3,47.9,0.15,1.25,1.4,0.3,1.85,2.21,4.36,0,0,0.7824,0.7824,0,0,0.37,0.3,0.14,0.13,0.02,0.29,0.13,0,0,0,0,0,0,0,0,0.0096,0.0102,0,,0,0.0198,0,0,0,0,0,0,0,0,0.0198,0,0.007,0.0006,0.0001,0.0077,0,0,0,0,0,0,0,0,0,0,0,0,0.0042,0.0042,0,0,0.0012,0.0012,0,0.0009,0.0058,0.0067,0,0,0,0,0,0.0198,0,0,0.0198,0.0198,0.0198,0,,,,,,,,,,,,,,,,,,,,,,,
16,杭州市,临安区,湖西及湖区,东苕溪,1,845,28.93,10.99,39.92,25.66,156.3,153.14,335.1,0.8552,158.4493,19.2529,178.5574,0,1.35,15.24,10.42,7.88,0.47,0.64,8.99,1.3,0.29,0.3,0,0.085,0.09,8.8209,8.9109,0.5522,0.2686,0.2207,0,,0,1.0415,0.0003,0,0,0.0003,0.0261,0,0,0.0261,1.0679,0,0.3391,0.0066,0.0102,0.3559,0,0.0029,0.0035,0,0.0066,0.0003,0.0027,0.016,0,0,0.0066,0.1061,0.0246,0.1373,0.0003,0.0915,0.1508,0.2423,0,0.1599,0.0505,0.2104,0,0.073,0.033,0.106,0,1.0679,0.0003,0,1.0679,1.0679,1.0679,0,,,,,,,,,,,,,,,,,,,,,,,
17,杭州市,临安区,富春江坝址以下,富春江下游段,1,2279,8.7,14.83,23.53,20.35,123.75,121.21,265.31,0,24.9207,32.8619,57.7826,0,0,28.14,19.46,15.64,1.04,1.21,17.89,2.6,0.25,0.27,0,0.085,0.12,25.1291,25.2491,0.0437,0.6051,0.4093,0,,0,1.0581,0.0009,0,0,0.0009,0,0,0,0,1.059,0,0.6801,0.0145,0.0191,0.7137,0,0.0024,0.0029,0,0.0087,0.0004,0.0083,0.0227,0,0,0,0.0219,0.0135,0.0354,0,0.0314,0.0599,0.0913,0.0009,0.0526,0.0743,0.1269,0,0.049,0.02,0.069,0,1.059,0.0009,0,1.059,1.0590000000000002,1.059,0,,,,,,,,,,,,,,,,,,,,,,,
18,杭州市,桐庐县,富春江坝址以上,兰江及富春江上游段,3,146.5,0,0.31,0.31,0.3,1.72,1.97,3.99,0,0,0.2693,0.2693,0,0,0.6,0.4499,0.29,0.09,0.0601,0.4401,0.09,0.04,0,0,0.01,0,0,0,0,0.016,0.0068,0,,0,0.0228,0,0,0,0,0,0,0,0,0.0228,0,0.0121,0.0013,0.0011,0.0145,0,0.0005,0,0,0.0012,0,0,0.0017,0,0,0,0,0.0012,0.0012,0,0.0012,0.0027,0.0039,0,0,0.0015,0.0015,0,0,0,0,0,0.0228,0,0,0.0228,0.0228,0.0228,0,,,,,,,,,,,,,,,,,,,,,,,
19,杭州市,桐庐县,富春江坝址以下,富春江下游段,3,1633.5,31.88,13.12,45,25.06,159.06,188.17,372.29,0.36,91.79,38.8207,130.9707,0,1.8,31.53,21.7651,18.9699,1.39,1.13,21.4899,4.56,0.82,0,0,0.99,0.09,21.42,21.51,0.0668,0.7077,0.8134,0,,0,1.5879,0.0083,0,0,0.0083,0.0302,0.0004,0,0.0306,1.6268,0,0.7828,0.0186,0.0186,0.82,0,0.0115,0,0,0.1164,0.0004,0.0105,0.1388,0,0,0.0037,0.1513,0.0625,0.2175,0.0038,0.0563,0.095,0.1513,0.0012,0.1757,0.0644,0.2401,0.0032,0.0556,0.0035,0.0591,0.0001,1.6268,0.0083,0,1.6268,1.6267999999999998,1.6268,0,,,,,,,,,,,,,,,,,,,,,,,
20,杭州市,建德市,富春江坝址以上,衢江下游,3,78.3,0.11,1.73,1.84,1.57,7.79,7.41,16.77,0,5.7002,0.1922,5.8924,0,0,2.65,1.1002,1.01,0.06,0.03,1.1,0.37,0.04,0.26,0,0.1,0,2.71,2.71,0,0.0401,0.0327,0,,0,0.0728,0,0,0,0,0,0,0,0,0.0728,0,0.0455,0.0009,0.0005,0.0469,0,0.0003,0.0009,0,0.0022,0,0.0009,0.0043,0,0,0,0.0096,0.0007,0.0103,0,0.0008,0.0008,0.0016,0,0.0006,0.008,0.0086,0,0.0008,0.0003,0.0011,0,0.0728,0,0,0.0728,0.0728,0.0728,0,,,,,,,,,,,,,,,,,,,,,,,
21,杭州市,建德市,富春江坝址以上,新安江,3,1326.1,18.48,13.65,32.13,26.58,130.08,123.54,280.2,0,94.9259,9.8485,104.7744,0,0,26.18,17.0737,14.2301,0.44,0.32,14.9901,4.97,0.19,1.41,0,0.55,0.19,27.07,27.26,0.4561,0.1727,0.7002,0,,0,1.329,0.0136,0.0001,0,0.0137,0.031,0,0,0.031,1.3737,0,0.6344,0.0069,0.0051,0.6464,0,0.0034,0.0249,0,0.0526,0.0007,0.0106,0.0922,0,0,0,0.2356,0.0318,0.2674,0.0136,0.0336,0.1251,0.1587,0.0001,0.0994,0.068,0.1674,0,0.0361,0.0055,0.0416,0,1.3737,0.0137,0,1.3737,1.3737000000000001,1.3737,0,,,,,,,,,,,,,,,,,,,,,,,
22,杭州市,建德市,富春江坝址以上,兰江及富春江上游段,3,871.1,4.67,4.58,9.25,8.06,39.65,37.69,85.4,0,30.944,3.507,34.451,0,0,9.87,4.861,3.94,0.11,0.08,4.13,1.37,0.11,0.56,0,0.4,0,12.07,12.07,0.0084,0.243,0.1879,0,,0,0.4393,0,0,0,0,0,0,0,0,0.4393,0,0.1673,0.0015,0.0012,0.17,0,0.0017,0.0078,0,0.0334,0,0.0037,0.0466,0,0,0,0.0904,0.0135,0.1039,0,0.017,0.0372,0.0542,0,0.0235,0.0202,0.0437,0,0.0184,0.0025,0.0209,0,0.4393,0,0,0.4393,0.4393,0.4393,0,,,,,,,,,,,,,,,,,,,,,,,
23,杭州市,建德市,富春江坝址以下,富春江下游段,3,88.5,0.11,0.95,1.06,0.94,4.44,4.13,9.51,0,3.4899,0.4324,3.9223,0,0,0.93,0.6501,0.36,0.04,0.02,0.42,0.14,0.04,0.26,0,0.1,0,2.44,2.44,0,0.0121,0.0302,0,,0,0.0423,0,0,0,0,0,0,0,0,0.0423,0,0.0162,0.0006,0.0003,0.0171,0,0.0002,0.0008,0,0.0048,0,0.0008,0.0066,0,0,0,0.0091,0.003,0.0121,0,0.0004,0.0007,0.0011,0,0.0006,0.0042,0.0048,0,0.0004,0.0002,0.0006,0,0.0423,0,0,0.0423,0.0423,0.0423,0,,,,,,,,,,,,,,,,,,,,,,,
24,杭州市,淳安县,富春江坝址以上,衢江上游,3,16.4,0,0.18,0.18,0.1,0.24,0.51,0.85,0,0,0,0,0,0,0.09,0.08,0.06,0,0.02,0.08,0.03,0,0.04,0,0,0,0.05,0.05,0.0006,0.0031,0,0,,0,0.0037,0,0,0,0,0,0,0,0,0.0037,0,0.0026,0,0.0001,0.0027,0,0,0.0002,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0008,0,0,0,0,0,0.0037,0,0,0.0037,0.0037,0.0037,0,,,,,,,,,,,,,,,,,,,,,,,
25,杭州市,淳安县,富春江坝址以上,新安江,3,4369.3,15.36,16.81,32.17,37.61,61.07,136.74,235.42,0,26.59,11.33,37.92,0,0,26.49,13.83,8.62,1.12,1.68,11.42,4.06,0.03,1.75,0,0.25,0.1,17.25,17.35,0.7858,0.4833,0.0149,0,,0,1.284,0,0,0,0,0.0136,0,0,0.0136,1.2976,0,0.4005,0.0166,0.0282,0.4453,0,0.0004,0.0198,0,0.0151,0.0003,0.0063,0.0419,0,0,0,0.1086,0.0301,0.1387,0,0.031,0.4725,0.5035,0,0.0805,0.0756,0.1561,0,0.0121,0,0.0121,0,1.2976,0,0,1.2976,1.2975999999999999,1.2976,0,,,,,,,,,,,,,,,,,,,,,,,
26,杭州市,淳安县,富春江坝址以下,富春江下游段,3,66.3,0,0.54,0.54,0.71,1.12,2.52,4.35,0,0,0,0,0,0,0.83,0.61,0.43,0.02,0.01,0.46,0.16,0,0.02,0,0,0,0.2,0.2,0.0027,0.0216,0,0,,0,0.0243,0,0,0,0,0,0,0,0,0.0243,0,0.0209,0.0003,0.0002,0.0214,0,0,0.0004,0,0,0,0.0001,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0.0024,0.0024,0,0,0,0,0,0.0243,0,0,0.0243,0.0243,0.0243,0,,,,,,,,,,,,,,,,,,,,,,,
27,杭州市,钱塘新区,杭嘉湖平原,杭嘉湖平原,1,104.7,47,0,47,0.37,465.43,269.83,735.63,0.6,421.91,27.65,450.16,0,5.7,3.68,0.56,0,0.03,0.03,0.06,0.03,0,0.04,0,0,0.025,0,0.025,0,0,0,0.8444,钱塘江,0,0.8444,0,0,0,0,0.025,0,0,0.025,0.8694,1.4135,0,0.0005,0.0005,0.001,0,0,0.0005,0,0.017,0.0001,0,0.0176,0,0,0.0191,0.4592,0.0032,0.4815,0,0.0104,0.1017,0.1121,0,0.2106,0,0.2106,0,0.0466,0,0.0466,0,0.8694,0,1.4135,2.2829,0.8694,0.8694000000000001,0,,,,,,,,,,,,,,,,,,,,,,,
28,杭州市,钱塘新区,富春江坝址以下,萧绍平原,2,427,20.83,9.09,29.92,14.07,266.79,79.25,360.11,5.1,229.84,9.52,244.46,0,111.9,20.29,30.26,26.355,0,0.555,26.91,2.9,0,0.4,0,2.32,0.12,19.89,20.01,0,1.1604,1.1522,0,,0,2.3126,0,0,0,0,0.052,0,0,0.052,2.3646,0,1.1611,0,0.01,1.1711,0,0,0.0059,0,0.1959,0.0005,0.0113,0.2136,0,0,0.1098,0.5558,0.022,0.6876,0,0.0401,0.0378,0.0779,0,0.106,0.0393,0.1453,0,0.0479,0.0212,0.0691,0,2.3646,0,0,2.3646,2.3646000000000007,2.3646000000000003,0,,,,,,,,,,,,,,,,,,,,,,,
,杭州,"钱塘河口供水区
（江北片）",江北主城区,,,610.0000000000001,399.52000000000004,3.2199999999999998,402.74,4.32,1306.23,5080.13,6390.68,9.91,1013.4100000000001,63.269999999999996,1086.59,0,247.2,9.36,4.6,2.7800000000000002,0.26,0.9200000000000002,3.96,0.15,1.81,0.04,0,0.53,0.025,0,0.025,0,0.22840000000000002,0.5603,4.6677,,0,5.4564,0,0.0001,0,0.0001,0.5007,0,0,0.5007,5.9572,11.1084,0.1363,0.0043,0.0114,0.152,0,0.0284,0.0005,0,0.0801,0.0001,0,0.1091,0,0,0.0655,0.8602000000000001,0.0305,0.9561999999999999,0.0001,0.314,2.2153,2.5293,0,1.9472999999999998,0.0129,1.9602,0,0.2504,0,0.2504,0,5.9572,0.0001,11.1084,17.0656,,,,,,,,,,,,,,,,,,,,,,,,,,
,杭州,,余杭区,,,1222,194.28,45.97,240.25,52.62,676.93,2322.06,3051.6099999999997,0.06,506.76,119.38,626.2,0,11.2,48.92,40.339999999999996,33.129999999999995,3.41,3.8,40.34,11.25,8.52,1.6400000000000001,0,7.41,0.03,54.84,54.870000000000005,0.1702,1.1576,3.534,0.1994,,0,5.0612,0.0001,0,0,0.0001,0.2501,0,0,0.2501,5.3114,5.4782,1.4616,0.0466,0.0655,1.5737,0,0.088,0.0242,0,0.49560000000000004,0.0001,0.0358,0.6436999999999999,0,0,0.0009,0.5509999999999999,0.1019,0.6538,0.0001,0.1638,0.8564,1.0202,0,0.9708,0.2076,1.1784000000000001,0,0.20479999999999998,0.0368,0.24159999999999998,0,5.3114,0.0001,5.4782,10.7896,,,,,,,,,,,,,,,,,,,,,,,,,,
,杭州,临安供水区,临安区,,,3124,37.629999999999995,25.82,63.45,46.010000000000005,280.05,274.34999999999997,600.4100000000001,0.8552,183.37,52.1148,236.34,0,1.35,43.38,29.880000000000003,23.52,1.51,1.85,26.880000000000003,3.9000000000000004,0.54,0.5700000000000001,0,0.17,0.21,33.95,34.16,0.5959,0.8736999999999999,0.63,0,,0,2.0996,0.0012,0,0,0.0012,0.0261,0,0,0.0261,2.1269,0,1.0192,0.0211,0.0293,1.0695999999999999,0,0.005299999999999999,0.0063999999999999994,0,0.0153,0.0007,0.011,0.0387,0,0,0.0066,0.128,0.0381,0.17270000000000002,0.0003,0.1229,0.2107,0.3336,0.0009,0.2125,0.12480000000000001,0.33730000000000004,0,0.122,0.053000000000000005,0.175,0,2.1269,0.0012,0,2.1269,,,,,,,,,,,,,,,,,,,,,,,,,,
