序号,市,县（市、区）,水资源分区,nan,水资源利用分区,nan,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水
183,丽水市,缙云县,瓯江温溪以下,楠溪江,6,0.0,82.5,0,0.7664,0.7664,0.57,1.03,2.96,4.56,0,0.08,0,0.08,0,0,0.71,0.38,0.28,0,0,0.28,0.15,0,0,0,0,0,0.91,0.91,0.01,0.0063,0.0031,0,,0,0.0194,0,0,0,0,0,0,0,0,0.0194,0,0.0147,0,0,0.0147,0,0,0,0,0,0,0.0003,0.0003,0,0,0,0.0001,0,0.0001,0,0,0,0,0,0,0.0035,0.0035,0,0,0.0008,0.0008,0,0.0194,0,0,0.0194,0,0,0
184,丽水市,遂昌县,富春江坝址以上,衢江下游,6,0.0,1822,2.505,3.6813,6.1863,8.6281,34.9519,48.4722,92.0522,0,5.8924,0,5.8924,0,0,11.2963,9.18,6.58,1.8,0,8.38,3.9568,0.0266,0.28,0,0.1847,0.1244,3.885,4.0094,0.2213,0.1631,0.0181,0,,0,0.4025,0.0002,0,0,0.0002,0,0,0,0,0.4027,0,0.3002,0.0211,0,0.3213,0,0.0001,0.0008,0,0.0093,0.0006,0.0009,0.0117,0,0,0,0.0057,0.0099,0.0156,0,0.0048,0.0217,0.0265,0.0002,0.0114,0.0124,0.0238,0,0.0024,0.0014,0.0038,0,0.4027,0.0002,0,0.4027,0,0,0
185,丽水市,遂昌县,富春江坝址以上,金华江下游,6,0.0,27.5,0,0.0291,0.0291,0.0519,0.0898,0.0268,0.1685,0,0,0,0,0,0,0.2192,0.03,0.02,0.01,0,0.03,0.0097,0,0,0,0,0,0,0,0.0006,0.0002,0,0,,0,0.0008,0,0,0,0,0,0,0,0,0.0008,0,0.0006,0.0001,0,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0,0,0,0,0,0.0008,0,0,0.0008,0,0,0
186,丽水市,遂昌县,瓯江温溪以上,大溪,6,0.0,689.5,8.553,4.6316,13.1846,5.67,37.4483,37.411,80.5293,0,54.4176,0,54.4176,0,0,6.7015,5.36,3.8,1.04,0,4.84,2.2069,0.0534,0.56,0,0.2053,0.0356,2.39,2.4256,0.1847,0.1428,0.011,0,,0,0.3385,0,0,0,0,0.0137,0,0,0.0137,0.3522,0,0.129,0.0093,0,0.1383,0,0.0002,0.0012,0,0.0102,0.0002,0.0006,0.0124,0,0,0,0.085,0.0242,0.1092,0,0.0021,0.0222,0.0243,0,0.0387,0.0165,0.0552,0,0.0104,0.0024,0.0128,0,0.3522,0,0,0.3522,0,0,0
187,丽水市,松阳县,瓯江温溪以上,大溪,6,0.0,1406,10.35,10.15,20.5,14.98,59.46,68.54,142.98,0.22,49.1,0,49.32,0,1.5,28.3,13.745,8.977,4.768,0,13.745,3.86,0,2.72,0,0.1095,0.2371,6.5558,6.7929,0.2332,0.3199,0.033,0,,0,0.5861,0.0002,0,0,0.0002,0.0087,0,0,0.0087,0.595,0,0.274,0.0383,0,0.3123,0,0,0.0107,0,0.0055,0.0007,0.0036,0.0205,0,0,0.0036,0.0695,0,0.0731,0.0002,0.0056,0.0539,0.0595,0,0.0584,0.0485,0.1069,0,0.0227,0,0.0227,0,0.595,0.0002,0,0.595,0,0,0
188,丽水市,云和县,瓯江温溪以上,大溪,6,0.0,819.7,9.4,2.89,12.29,4.64,44.6,38.36,87.6,0,24.78,14.81,39.59,0,0,11.45,8.74,7.2238,0.8802,0,8.104,1.49,0,0.485,0,0.03,0.1744,2.8,2.9744,0.3645,0.0303,0.0005,0,,0,0.3953,0,0,0,0,0.0105,0,0,0.0105,0.4058,0,0.2347,0.005,0,0.2397,0,0,0.003,0,0.0013,0.0005,0.001,0.0058,0,0,0,0.0191,0.0207,0.0398,0,0.003,0.0347,0.0377,0,0.0499,0.0151,0.065,0,0.0143,0.0035,0.0178,0,0.4058,0,0,0.4058,0,0,0
189,丽水市,云和县,瓯江温溪以上,小溪及瓯江青田段,6,0.0,164.3,0,0.41,0.41,1.07,0,6.47,7.54,0,0,0,0,0,0,2.49,1.69,1.3906,0.1694,0,1.56,0.42,0,0.097,0,0,0.0132,0.3,0.3132,0.0461,0.0038,0,0,,0,0.0499,0,0,0,0,0,0,0,0,0.0499,0,0.0471,0.001,0,0.0481,0,0,0.0003,0,0,0.0001,0.0003,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0.0011,0,0,0,0,0,0.0499,0,0,0.0499,0,0,0
190,丽水市,庆元县,瓯江温溪以上,大溪,6,0.0,64,0.806,0.4448,1.2508,0.77,2.25,5.94,8.96,0,0,0,0,0,0,1.55,1.55,1.08,0.09,0,1.17,0.45,0,0,0,0,0,0,0,0.0089,0.0466,0,0,,0,0.0555,0,0,0,0,0,0,0,0,0.0555,0,0.0488,0.0012,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0005,0.0007,0,0.0031,0.0017,0.0048,0,0,0,0,0,0.0555,0,0,0.0555,0,0,0
191,丽水市,庆元县,瓯江温溪以上,小溪及瓯江青田段,6,0.0,546.7,2.1048,1.2027,3.3075,1.65,8.48,12.17,22.3,0,2.84,0,2.84,0,0,4.98,4.98,2.25,0.49,0,2.74,0.83,0,0,0,0,0.11,1.22,1.33,0.0447,0.0837,0,0,,0,0.1284,0,0,0,0,0,0,0,0,0.1284,0,0.1048,0.0067,0,0.1115,0,0,0,0,0,0.0004,0.0004,0.0008,0,0,0,0.0017,0,0.0017,0,0.0003,0.0014,0.0017,0,0.0081,0.0046,0.0127,0,0,0,0,0,0.1284,0,0,0.1284,0,0,0
192,丽水市,庆元县,闽东诸河,闽东诸河,6,0.0,247.3,1.2491,0.4966,1.7457,1.34,3.76,7.2,12.3,0,0,0,0,0,0,2.82,2.82,1.2,0.209,0,1.409,0.5,0,0,0,0,0,0.73,0.73,0.021,0.0476,0,0,,0,0.0686,0,0,0,0,0,0,0,0,0.0686,0,0.0574,0.003,0,0.0604,0,0,0,0,0,0,0.0003,0.0003,0,0,0,0,0,0,0,0.0002,0.001,0.0012,0,0.0048,0.0019,0.0067,0,0,0,0,0,0.0686,0,0,0.0686,0,0,0
