序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
100,绍兴市,嵊州市,富春江坝址以下,曹娥江百官以上,2,1779.2,38.6087,28.9139,67.5226,42.0226,259.3689,299.8823,601.2738,2.8574,94.7431,124.6766,222.2771,0,7.05,67.29,59.84,55.39,0,1.51,56.9,15.1,1.275,2.49,0,0.23,0.11,68.54,68.65,0.7133,1.3898,0.1321,0,,0,2.2352,0.0265,0,0,0.0265,0.0612,0,0,0.0612,2.3229,0,1.4838,0,0.0033,1.4871,0.0027,0.0115,0.0199,0,0.0276,0.0004,0.0227,0.0821,0,0,0.0309,0.1015,0.1535,0.2859,0.0109,0.0096,0.074,0.0836,0,0.2131,0.146,0.3591,0.0129,0.022,0.0031,0.0251,0,2.3229,0.0265,0,2.3229,2.3229,2.3228999999999997,0,,,,,,,,,,,,,,,,,,,,,,,
101,绍兴市,嵊州市,浙东沿海诸河,奉化江及甬江干流,2,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
102,绍兴市,新昌县,富春江坝址以下,曹娥江百官以上,2,1207.6,26.1282,15.7754,41.9036,22.4075,221.2042,217.8518,461.4635,1.2553,103.5267,89.2494,194.0314,3.6,0,42.44,20.09,15.26,1.37,3.46,20.09,4.4,1.11,0.3,0,0.19,0.28,7.9,8.18,0.7406,0.2428,0.2843,0,,0,1.2677,0.0068,0,0,0.0068,0.0443,0,0,0.0443,1.3188,0,0.6837,0.0169,0.0346,0.7352,0.0005,0.0105,0.0033,0,0.027,0.0009,0.0028,0.0445,0,0.0206,0,0.1634,0.0437,0.2277,0.0017,0.0116,0.0657,0.0773,0,0.1401,0.0782,0.2183,0.0046,0.0137,0.0021,0.0158,0,1.3188,0.0068,0,1.3188,1.3188,1.3188,0,,,,,,,,,,,,,,,,,,,,,,,
103,绍兴市,新昌县,浙东沿海诸河,奉化江及甬江干流,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
104,绍兴市,新昌县,瓯江温溪以下,始丰溪,2,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
,绍兴,绍北供水区,越城区,,,493,86.087,15.9167,102.0037,13.087,360.9062,634.5274,1008.5206,4.9415,217.1506,49.4285,271.5206,1.8,4.8,18.27,15,11.85,0,2.45,14.3,7.1,3.15,1.61,0,1.1,0,62.15,62.15,1.1985,0.4325,0.4575,0,,0,2.0885,0.0072,0,0,0.0072,0.0591,0,0,0.0591,2.1548,1.8,0.5121,0,0.0181,0.5302,0.0008,0.0284,0.0129,0,0.131,0,0.0216,0.1939,0,0.0147,0.0448,0.5315,0.1083,0.6993,0.0021,0.0929,0.1049,0.1978,0.0012,0.4138,0.0693,0.4831,0.0031,0.041,0.0095,0.0505,0,2.1548,0.0072,1.8,3.9548,,,,,,,,,,,,,,,,,,,,,,,,,,
,绍兴,,柯桥区,,,1066,90.3061,19.5798,109.88589999999999,38.690799999999996,733.9357,744.1039000000001,1516.7304,22.3742,543.0581000000001,55.0233,620.4556,0,130.5,27.08,21.57,17.08,0,4.49,21.57,11.62,0.27,1.2,0,1.1,0.03,6.700000000000001,6.73,1.5661,0.9088,1.7505,0,,0,4.2254,0.010100000000000001,0,0,0.010100000000000001,0.0809,0,0,0.0809,4.3164,0,0.7563,0,0.0437,0.8,0.0003,0.0024,0.0096,0,0.1772,0.0001,0.0025,0.1918,0,0,0.3852,1.5085000000000002,0.1991,2.0928,0.0005,0.23809999999999998,0.2915,0.5296000000000001,0,0.459,0.08480000000000001,0.5438000000000001,0.009300000000000001,0.132,0.0264,0.15839999999999999,0,4.3164,0.010100000000000001,0,4.3164,,,,,,,,,,,,,,,,,,,,,,,,,,
,绍兴,,上虞区,,,1406,56.9149,27.0598,83.9747,52.141,514.579,477.0988,1043.8188,11.0821,292.1337,123.1079,426.32370000000003,8.1,7.8,64.63,49.83,30.25,17.34,2.24,49.83,22.799999999999997,0.15000000000000002,0.1,0,3.1,0.37999999999999995,39.879999999999995,40.260000000000005,1.0208,1.5335999999999999,0.4895,0.0449,,0,3.0888,0.0082,0,0,0.0082,0.0873,0,0,0.0873,3.1843000000000004,0,1.1907,0.30569999999999997,0.028499999999999998,1.5249000000000001,0.0046,0.0013999999999999998,0.001,0,0.40349999999999997,0.0014000000000000002,0.0143,0.42160000000000003,0,0.0432,0.056,0.3097,0.1558,0.5647,0.0021,0.0599,0.1313,0.19119999999999998,0,0.28700000000000003,0.1189,0.40590000000000004,0.0015,0.0654,0.0106,0.076,0,3.1843000000000004,0.0082,0,3.1843000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,
,绍兴,嵊新供水区,嵊州市,,,1789,38.6087,28.9139,67.5226,42.0226,259.3689,299.8823,601.2738,2.8574,94.7431,124.6766,222.2771,0,7.05,67.29,59.84,55.39,0,1.51,56.9,15.1,1.275,2.49,0,0.23,0.11,68.54,68.65,0.7133,1.3898,0.1321,0,,0,2.2352,0.0265,0,0,0.0265,0.0612,0,0,0.0612,2.3229,0,1.4838,0,0.0033,1.4871,0.0027,0.0115,0.0199,0,0.0276,0.0004,0.0227,0.0821,0,0,0.0309,0.1015,0.1535,0.2859,0.0109,0.0096,0.074,0.0836,0,0.2131,0.146,0.3591,0.0129,0.022,0.0031,0.0251,0,2.3229,0.0265,0,2.3229,,,,,,,,,,,,,,,,,,,,,,,,,,
,绍兴,,新昌县,,,1214,26.1282,15.7754,41.9036,22.4075,221.2042,217.8518,461.4635,1.2553,103.5267,89.2494,194.0314,3.6,0,42.44,20.09,15.26,1.37,3.46,20.09,4.4,1.11,0.3,0,0.19,0.28,7.9,8.18,0.7406,0.2428,0.2843,0,,0,1.2677,0.0068,0,0,0.0068,0.0443,0,0,0.0443,1.3188,0,0.6837,0.0169,0.0346,0.7352,0.0005,0.0105,0.0033,0,0.027,0.0009,0.0028,0.0445,0,0.0206,0,0.1634,0.0437,0.2277,0.0017,0.0116,0.0657,0.0773,0,0.1401,0.0782,0.2183,0.0046,0.0137,0.0021,0.0158,0,1.3188,0.0068,0,1.3188,,,,,,,,,,,,,,,,,,,,,,,,,,
,绍兴,诸暨供水区,诸暨区,,,2311,76.2917,45.5155,121.8072,50.9141,617.6168,693.8274,1362.3582999999999,1.0441,424.43,80.5981,506.0722,0,7.4,77.41,66.05,58.11,0,7.9399999999999995,66.05,22.599999999999998,0.56,0.61,0,3.4,0.3,60.52,60.82,1.1665,2.252,0.5263,0,,0,3.9448,0.0086,0,0,0.0086,0.1019,0,0,0.1019,4.0553,0,1.6861000000000002,0,0.063,1.7490999999999999,0.0015,0.0056,0.0067,0,0.512,0.001,0.023,0.5483,0,0,0.0251,0.2539,0.148,0.427,0.0012,0.1959,0.23659999999999998,0.4325,0,0.402,0.2024,0.6044,0.0059,0.2521,0.0419,0.294,0,4.0553,0.0086,0,4.0553,,,,,,,,,,,,,,,,,,,,,,,,,,
