序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查,col_47,col_48,zjszyreport,12.0
189,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331125,云和县,丽水市,164.3,0.0354,0.0026,0.0026,0.0406,0,0,0.0002,0,0,0.0001,0.0002,0.0005,0,,,0,0,0,0,0,0,0,0,0,0.0014,0.0014,0,0,0,0,0,0.0425,0,,0.0425,0,0,,,,
190,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331126,庆元县,丽水市,64,0.0454,0.0006,0.0015,0.0475,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0.0005,0.0007,0.0012,0,0.0029,0.0014,0.0043,0,0,0,0,0,0.053,0,,0.053,0,0,,,,
191,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331126,庆元县,丽水市,546.7,0.095,0.0023,0.0085,0.1058,0,0,0,0,0,0.0006,0.0004,0.001,0,,,0,0.0026,0.0026,0,0.0017,0.0018,0.0035,0,0.0076,0.0037,0.0113,0,0,0,0,0,0.1242,0,,0.1242,0,0,,,,
192,东南诸河,闽东诸河,闽东诸河,闽东诸河,G040100,331126,庆元县,丽水市,247.3,0.0517,0.0019,0.0038,0.0574,0,0,0,0,0,0,0.0003,0.0003,0,,,0,0,0,0,0.001,0.0013,0.0023,0,0.0045,0.0016,0.0061,0,0,0,0,0,0.0661,0,,0.0661,0,0,,,,
193,东南诸河,闽江,闽江上游,闽江上游,G050100,331126,庆元县,丽水市,1040,0.1881,0.0025,0.0062,0.1968,0,0.0005,0.0006,0,0,0.0002,0.0011,0.0024,0,0,0.003,0.0181,0,0.0211,0.0002,0.0046,0.0042,0.0088,0,0.0185,0.0088,0.0273,0,0.005,0,0.005,0,0.2614,0.0002,,0.2616,0,0,,,,
194,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331127,景宁畲族自治县,丽水市,1682.6,0.2125,0.0279,0.0075,0.2479,0,0.0021,0.0009,0,0,0.0015,0.0016,0.0061,0,,,0.0071,0,0.0071,0,0.0048,0.0211,0.0259,0,0.0291,0.0152,0.0443,0,0.0099,,0.0099,0,0.3412,0,,0.3412,0,0,,,,
195,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,331127,景宁畲族自治县,丽水市,266.4,0.0221,0.0015,0,0.0236,0,0.0001,0,0,0,0.0002,0.0003,0.0006,0,,,0.0007,0,0.0007,0,0,0,0,0,0,0.0029,0.0029,0,0,,0,0,0.0278,0,,0.0278,0,0,,,,
196,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,331181,龙泉市,丽水市,316.1,0.0498,0.004,0.0024,0.0562,0,0,0,0,0,0,0.0005,0.0005,0,,,,0.0034,0.0034,0,0,0.0016,0.0016,0,0.0012,0.0005,0.0017,0,0.0018,0,0.0018,0,0.0652,0,,0.0652,0,0,,,,
197,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331181,龙泉市,丽水市,2438.8,0.3792,0.02,0.0108,0.41,0,0,0,0,0.0044,0.0002,0.0026,0.0072,0,0,0.0069,0.0615,0,0.0684,0,0.0048,0.0162,0.021,0,0.0598,0.0244,0.0842,0,0.0044,0,0.0044,0,0.5952,0,,0.5952,0,0,,,,
198,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331181,龙泉市,丽水市,216.3,0.0606,0.0051,0.003,0.0687,0,0,0,0,0,0.0001,0.0003,0.0004,0,,,,0.0081,0.0081,0,0.002,0.001,0.003,0,0.001,0.0004,0.0014,0,0.0018,0,0.0018,0,0.0834,0,,0.0834,0,0,,,,
199,东南诸河,闽江,闽江上游,闽江上游,G050100,331181,龙泉市,丽水市,87.8,0.0554,0.0045,0.0021,0.062,0,0,0,0,0.0045,0.0001,0.0002,0.0048,0,,,,0.0023,0.0023,0,0,0.0032,0.0032,0,0.0012,0.0005,0.0017,0,0,0,0,0,0.074,0,,0.074,0,0,,,,
,,,,,,,,丽水市,1392,1.1682,0.0112,0.0373,1.2167,0,0.0095,0.0398,0.0009,0.0509,0.043800000000000006,0.0148,0.1597,0.0052,0,0.0177,0.38420000000000004,0.1336,0.5355000000000001,0.012,0.0411,0.05898,0.10010000000000001,0.0068000000000000005,0.3017,0.075,0.3767,0.041,0.086,0,0.086,0,2.4747,0.065,0,2.4747,0,0,,,,
,,,,,,,,丽水市,,,,,,,,,,,,,,,,,,,0.43829999999999997,16.60478860433399,,,,,,,,,,,,,2.7621,37.40250243743907,,,,,,,,
,,,,,,,,丽水市,,,,,,,,,,,,,0.3629,3629,,,,,,,,,,,,,,,,,0.0805,805,,,,,,,,,,
,,,,,,,,丽水市,,,,,,,,,,,,,0.3805,3805,,,,,,,,,,,,,,,,,0.0907,907,,,,,,,,,,
,,,,,,,,丽水市,,,,,,,,,,,,,0.3696,3696,,,,,,,,,,,,,,,,,0.0228,228,,,,,,,,,,
,,,,,,,,丽水市,,,,,,,,,,,,,0.2843,2843,,,,,,,,,,,,,,,,,0.0258,258,,,,,,,,,,
,,,,,,,,丽水市,,,,,,,,,,,,,0.2024,2024,,,,,,,,,,,,,,,,,0.029699999999999997,297,,,,,,,,,,
