序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan
112,金华市,东阳市,富春江坝址以下,曹娥江百官以上,3,166.5,0,2.13,2.13,0.16,1.26,0.56,1.98,0,0,1.15,1.15,0,1.8,2.84,1.47,0.89,0.23,0.25,1.31,0.76,0.28,0,0,0.03,0.07,1.95,2.02,0.0402,0.0151,0.0008,0,0,0,0.0561,0,0,0,0,0,0,0,0,0.0561,0,0.0285,0.0017,0.0018,0.032,0,0.0019,0,0,0.0021,0.0001,0.001,0.0051,0,0,0.0037,0,0.0081,0.0118,0,0,0,0,0,0,0.007,0.007,0,0,0.0002,0.0002,0,0.0561,0,0,0.0561,0.0561,0.0561,0,,,
113,金华市,东阳市,瓯江温溪以上,大溪,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
114,金华市,义乌市,富春江坝址以上,金华江上游,3,349.1,58.68,19.05,77.73,15.35,284.26,666.75,966.36,0,0,252.2,252.2,0,0,14.39,12.47,4.8501,2.9,3.04,10.79,2.65,1.91,0,0,0.53,0,2.5,2.5,0.6345,0.5,0.1935,0,0,0,1.328,0,0,0,0,0.0902,0.003,0,0.0932,1.4212,0.7707,0.1684,0.0295,0.023,0.2209,0,0.0058,0.0046,0,0.04,0,0.001,0.0514,0,0,0,0.3235,0.23,0.5535,0,0.0327,0.123,0.1557,0,0.2978,0.0671,0.3649,0,0.0704,0.0044,0.0748,0,1.4212,0,0.7707,2.1919,1.4212,1.4212,0,,,
115,金华市,义乌市,富春江坝址以上,金华江下游,3,491.7,26.32,4.1,30.42,3.84,71.07,166.69,241.6,0,0,58.38,58.38,0,0,11.88,8.179,2.6,2.9,1.02,6.52,1.61,1.76,0,0,0.47,0,2.3,2.3,0.5545,0,0.0108,0,0,0,0.5653,0,0,0,0,0.0436,0.001,0,0.0446,0.6099,0.0508,0.0925,0.0335,0.02,0.146,0,0.0045,0.0042,0,0.0321,0,0.001,0.0418,0,0,0,0.0591,0.125,0.1841,0,0.006,0.058,0.064,0,0.1118,0.0232,0.135,0,0.0302,0.0088,0.039,0,0.6099,0,0.0508,0.6607,0.6099,0.6099,0,,,
116,金华市,义乌市,富春江坝址以下,浦阳江,3,264.2,17.32,6.39,23.71,3.39,62.7,147.09,213.18,0,0,50.92,50.92,0,0,6.32,5.319,2.53,2.71,0.99,6.23,1.53,1.8,0,0,0.07,0.01,9.15,9.16,0.4385,0,0.021,0,0,0,0.4595,0,0,0,0,0.0691,0,0,0.0691,0.5286,0.1706,0.0712,0.0498,0.0131,0.1341,0,0.0041,0.0046,0,0.0021,0,0.0039,0.0147,0,0,0,0.0995,0.0998,0.1993,0,0.0118,0.0023,0.0141,0,0.0773,0.02,0.0973,0,0.0651,0.004,0.0691,0,0.5286,0,0.1706,0.6992,0.5286,0.5286,0,,,
117,金华市,永康市,富春江坝址以上,金华江上游,3,92.6,0,0.16,0.16,0.28,7.81,4.75,12.84,0,0,7.29,7.29,0,0,1.12,0.93,0.73,0.18,0.02,0.93,0.2,0.17,0,0,0.05,0,0.06,0.06,0.0759,0.0024,0.0033,0,0,0,0.0816,0.0032,0,0,0.0032,0,0,0,0,0.0848,0,0.0124,0.0023,0.0001,0.0148,0,0.0028,0,0,0.0029,0,0.0001,0.0058,0.0004,0,0,0,0.001,0.001,0.0023,0.0015,0.0015,0.003,0.0002,0,0.0005,0.0005,0.0003,0,0.0597,0.0597,0,0.0848,0.0032,0,0.0848,0.0848,0.0848,0,,,
118,金华市,永康市,富春江坝址以上,金华江下游,3,934.9,47.27,25.59,72.86,7.5,321.16,266.73,595.39,0,0,299.98,299.98,0,1.5,33.85,22.93,21.73,1.09,0.11,22.93,5.76,3.92,0,0,1.31,0.03,1.98,2.01,1.6147,0.0325,0.0775,0,0,0,1.7247,0.0632,0,0,0.0632,0.0308,0.0108,0,0.0416,1.8295,0,0.3428,0.0126,0.0013,0.3567,0,0.0311,0,0,0.0369,0.0001,0.0021,0.0702,0.0011,0,0.0044,0.5607,0.1687,0.7338,0.0392,0.0011,0.0781,0.0792,0.0046,0.1743,0.0831,0.2574,0.0183,0.2016,0.1306,0.3322,0,1.8295,0.0632,0,1.8295,1.8295000000000001,1.8295,0,,,
119,金华市,永康市,瓯江温溪以上,大溪,3,19.5,1.94,1.57,3.51,0.46,12.99,7.88,21.33,0,0,12.13,12.13,0,0,0.24,0.22,0.05,0.15,0.02,0.22,0.12,0.26,0,0,0.27,0,0.04,0.04,0.0091,0.0019,0.002,0,0,0,0.013,0.0006,0,0,0.0006,0,0,0,0,0.0136,0,0.0009,0.0013,0.0001,0.0023,0,0.0015,0,0,0.0007,0,0.0001,0.0023,0.0001,0,0,0,0.0021,0.0021,0.0002,0.0001,0.0008,0.0009,0.0002,0.0031,0.0028,0.0059,0.0001,0,0.0001,0.0001,0,0.0136,0.0006,0,0.0136,0.013599999999999998,0.0136,0,,,
120,金华市,浦江县,富春江坝址以下,富春江下游段,3,400.6,4.28,2.56,6.84,0.95,7.97,16.69,25.61,0,5.39,1.75,7.14,0,0,6.14,4.669,1.33,0.93,0.1,2.36,1.03,0.12,3.1,0,0,1.5,4.46,5.96,0.0782,0.0198,0.0084,0,0,0,0.1064,0,0,0,0,0,0,0,0,0.1064,0,0.0302,0.0077,0.0008,0.0387,0,0.0001,0.0022,0,0,0.0006,0.0004,0.0033,0,0,0,0.0212,0.0084,0.0296,0,0.0018,0.0029,0.0047,0,0.0162,0.0085,0.0247,0,0.0023,0.0031,0.0054,0,0.1064,0,0,0.1064,0.1064,0.1064,0,,,
121,金华市,浦江县,富春江坝址以下,浦阳江,3,517.4,21.62,13.59,35.21,9.31,89.72,105.52,204.55,0,58.14,20.12,78.26,0,0,17.92,15.758,14.21,1.19,0.54,15.94,6.14,0.09,4.49,0,0,4.01,15.95,19.96,0.8587,0.0756,0.0411,0,0,0,0.9754,0,0,0,0,0,0,0,0,0.9754,1.0866,0.3138,0.0101,0.0041,0.328,0,0.0002,0.0019,0,0,0.0017,0.0012,0.005,0,0,0,0.2868,0.1163,0.4031,0,0.0195,0.0291,0.0486,0,0.1233,0.0515,0.1748,0,0.0124,0.0035,0.0159,0,0.9754,0,1.0866,2.062,0.9754,0.9754,0,,,
122,金华市,武义县,富春江坝址以上,金华江下游,3,929.4,21.38,7.6,28.98,13.16,112.66,96.48,222.3,0,0,104.22,104.22,0,2.4,29.55,18.536,16.415,0.88,0.65,17.95,6.08,0.61,0.41,0,0.84,0.08,14.5,14.58,1.0493,0.0063,0.0019,0,0,0,1.0575,0.0439,0,0,0.0439,0,0,0,0,1.1014,0,0.6172,0.0125,0.0113,0.641,0,0.004,0.0031,0,0.0385,0.0003,0.0096,0.0555,0.0044,0,0.0051,0.1807,0.0072,0.193,0.0179,0.0085,0.0347,0.0432,0.0092,0.0945,0.034,0.1285,0.0124,0.03,0.0102,0.0402,0,1.1014,0.0439,0,1.1014,1.1014,1.1014000000000002,0,,,
123,金华市,武义县,瓯江温溪以上,大溪,3,638.6,2.99,4.35,7.34,2.33,19.87,17.04,39.24,0,0,18.38,18.38,0,0,6.89,4.259,3.9,0.27,0.04,4.21,1.41,0.42,0.28,0,0.08,0.07,8.7,8.77,0.0729,0.0915,0.0708,0,0,0,0.2352,0.0069,0,0,0.0069,0,0,0,0,0.2421,0,0.1481,0.0038,0.0009,0.1528,0,0.003,0.0018,0,0.0036,0.0002,0.0058,0.0144,0.0013,0,0,0.0244,0.0014,0.0258,0.0009,0.001,0.0061,0.0071,0.0022,0.0135,0.0179,0.0314,0.0025,0.0043,0.0063,0.0106,0,0.2421,0.0069,0,0.2421,0.24209999999999998,0.24209999999999998,0,,,
124,金华市,磐安县,富春江坝址以上,金华江上游,3,418.5,5.3,1.94,7.24,2.63,18.12,19.43,40.18,0,0,13.72,13.72,0,0,4.88,1.34,0.32,0.51,0.4,1.23,0.76,0.25,0,0,0,0.03,0.69,0.72,0.1024,0.0068,0,0,0,0,0.1092,0.0001,0,0,0.0001,0,0,0,0,0.1093,0,0.0083,0.004,0.0018,0.0141,0,0.0014,0,0,0,0.0001,0.0008,0.0023,0,0,0,0.0071,0.0083,0.0154,0,0.0225,0.0149,0.0374,0,0.0305,0.0086,0.0391,0.00015,0.001,0,0.001,0,0.1093,0.0001,0,0.1093,0.10930000000000001,0.10930000000000001,0,,,
125,金华市,磐安县,富春江坝址以下,曹娥江百官以上,3,207.4,1.88,3.05,4.93,3.99,11.42,14.22,29.63,0,0,8.64,8.64,0,0,7.64,3.13,0.36,0.5,2.2395,3.1,0.85,0.29,0,0,0,0.025,0.555,0.58,0.1115,0.003,0,0,0,0,0.1145,0,0,0,0,0,0,0,0,0.1145,0,0.009,0.0039,0.0379,0.0508,0,0.0017,0,0,0,0.0001,0.0006,0.0024,0,0,0,0.004,0.0055,0.0095,0,0.0161,0.0035,0.0196,0,0.0086,0.023,0.0316,0,0.0006,0,0.0006,0,0.1145,0,0,0.1145,0.11449999999999999,0.1145,0,,,
126,金华市,磐安县,瓯江温溪以下,永安溪,3,140.2,0.31,0.68,0.99,0.91,3.5,7.36,11.77,0,0,2.65,2.65,0,0,1.68,0.65,0.29,0.15,0.09,0.53,0.46,0.04,0,0,0,0.02,0.16,0.18,0.0184,0.0002,0,0,0,0,0.0186,0,0,0,0,0,0,0,0,0.0186,0,0.0073,0.0011,0.0006,0.009,0,0.0003,0,0,0,0.0001,0.0004,0.0008,0,0,0,0.001,0.0012,0.0022,0,0.0018,0.0009,0.0027,0,0.0018,0.002,0.0038,0,0.0001,0,0.0001,0,0.0186,0,0,0.0186,0.018600000000000002,0.0186,0,,,
