序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
28,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330203,海曙区,宁波市,47,0,0.3,0.3,0.1254,0,0,0.1254,0,0,0,0,0,0,0.87,0.303,0.1808,0.0169,,0.1977,0.01,0.015,0,0,0,0,0,0
29,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330203,海曙区,宁波市,547.7,93.2,12.3,105.5,17.0539,425.8353,1058.2602,1501.1494,0,337.88,0,337.88,0,10.1,19.15,15.037,13.1314,1.4764,,14.6078,6.33,0.939,0.9165,0,0.2625,0.0692,3.4986,3.5678
30,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330205,江北区,宁波市,207.6,42.6,7.7,50.3,8.94,271.07,580.31,860.32,0,169.1,56.37,225.47,0,0,6.665,6.665,6.04,0.318,,6.358,1.9,0.636,0.996,0,0.096,0.4427,1.9086,2.3513
31,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330206,北仑区,宁波市,399.9,53.83,10.74,64.57,5.36,988.29,859.75,1853.4,35.39,821.03,27.81,884.23,500,90,6.289,6.289,3.321,2.312,,5.633,0.27,0.18,0.6213,0,0.0268,0.033,3.6024,3.6354
32,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330206,北仑区,宁波市,199.1,14.57,8.76,23.33,3.56,311.84,462.04,777.44,12.13,324.11,13.08,349.32,0,75,4.281,4.281,2.123,1.714,,3.837,0.19,0.12,0.4167,0,0.0112,0.0289,0.7803,0.8092
33,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330211,镇海区,宁波市,245.7,47,4.6,51.6,7.32,954.92,412.05,1374.29,21.02,879.17,0,900.19,0,268.2,9,5.67,2.62,2.62,,5.24,1.81,0.066,0.5835,0,0.0543,0.0961,3.905,4.0011
34,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330212,鄞州区,宁波市,560.3,119.77,21.63,141.4,20.48,654.02,1775.47,2449.97,1.81,535.28,0,537.09,0,0,14.85,14.45,13.3415,0.38,,13.7215,6.6,0.724,1.405,0,0.183,0.0471,1.01,1.0571
35,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330212,鄞州区,宁波市,253.7,18.13,6.67,24.8,10.25,97.14,177.42,284.81,0,69.25,0,69.25,0,0,4.55,4.55,3.264,0.31,,3.574,2.1,0.361,1.201,0,0.141,0.0307,0.6372,0.6679
36,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330213,奉化区,宁波市,999.6,30.3,17.2,47.5,19.79,410.53,259.15,689.47,0,394.28,0,394.28,0,0,14.7,14.7,13.3,1.4,,14.7,4.1,6.093,2.8535,0,0.108,0.067,10.554,10.621
37,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330213,奉化区,宁波市,268.4,5.4,5.7,11.1,16.19,136.84,64.78,217.81,0,98.57,0,98.57,0,0,3.81,3.81,3.36,0.45,,3.81,2.22,2.6115,1.537,0,0,0.028,7.0361,7.0641
38,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330225,象山县,宁波市,1382,36,21.6,57.6,98.45,273.75,347.84,720.04,13.34,192.37,0,205.71,240,3.75,35.05,20.51,18.05,2.14,,20.19,6.99,1.422,9.213,0,2.03,0.1723,30.8567,31.029
39,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330226,宁海县,宁波市,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
40,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330226,宁海县,宁波市,1840.2,45.2,25.7,70.9,54.52,436.49,409.71,900.72,34.45,352.11,0,386.56,452,2.5,32.11,32.11,24.554,0.491,,25.045,9.02,0.8475,6.4515,0,1.5,0.4965,20.9792,21.4757
41,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330281,余姚市,宁波市,106.7,0.38,1.29,1.67,0.106,0.6,1.466,2.172,0,0,0,0,0,0,1.35,1.35,0.284,0.192,,0.476,0.52,0.7,0.47,0,0,0.161,0.69,0.851
42,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330281,余姚市,宁波市,1236.7,102.06,20.71,122.77,53.442,895.86,558.017,1507.319,3.64,840.65,0,844.29,0,87.16,38.05,38.05,25.32,10.952,,36.272,15.78,4.35,1.804,0,2.48,0.325,27.6632,27.9882
43,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330281,余姚市,宁波市,157.6,0.36,1.6,1.96,0.212,1.81,2.077,4.099,0,0,0,0,0,0,2.38,2.38,0.97,1.41,,2.38,1.25,0.275,0.45,0,0,0.137,1.05,1.187
44,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330282,慈溪市,宁波市,1361,149.4,37.1,186.5,66.01,1531.35,924.23,2521.59,0.762,1423.708,0,1424.47,0,12.7,49.65,49.65,10.42,35.32,,45.74,9.5744,2.1705,8.1405,0,2.429,0.1042,47.7612,47.8654
