序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计
152,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331002,椒江区,台州市,100.9,0.2436,0,0.0897,0,0.0000,0,0.3333,0.0003,0,0,0.0003,0,0,0,0,0.3336,0.0322,0.3658,6.7293,,,,,0.0322,0.0322
153,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331002,椒江区,台州市,174.1,0.8452,0,0.2948,0,0.0000,0,1.14,0.0011,0,0,0.0011,0.0377,0.0093,0,0.047,1.1881,0.4086,1.5967,0,,,,,0.4086,0.4086
154,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331003,黄岩区,台州市,4.3,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331003,黄岩区,台州市,933.5,1.0186,0,0.2545,,,,1.2731,0.0023,0,0,0.0023,0.061,0.0041,,0.0651,1.3405,0.393,1.7335,0,0,0,0,0,0.393,0.393
156,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331003,黄岩区,台州市,50.2,0.0148,0,0,,,,0.0148,0,0,0,0,0,0.0049,,0.0049,0.0197,0,0.0197,0,0,0,0,0,0,0
157,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331004,路桥区,台州市,273,0.7017,,0.5579,,,,1.2596,0.0073,0,,0.0073,0.0156,0.0035,,0.0191,1.286,0.3294,1.6154,0,,,,,0.3294,0.3294
158,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331022,三门县,台州市,1069.6,0.5179,0,0.327,,,,0.8449,0.0005,0,,0.0005,0.0216,0.0146,0.0196,0.0558,0.9012,0.1193,1.0205,46.4101,,,,,0.1193,0.1193
159,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331022,三门县,台州市,2.4,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,331023,天台县,台州市,114.3,0.0065,0.0042,0.0029,,,,0.0136,0.0001,0,,0.0001,0,0,,0,0.0137,0,0.0137,0,,,,,,0
161,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331023,天台县,台州市,224.7,0.0315,0.0103,0.0064,,,,0.0482,0.0001,0,,0.0001,0,0,,0,0.0483,0,0.0483,0,,,,,,0
