序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计
1,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330102,上城区,杭州市,123.3,,,0.0749,1.5584,钱塘江,,1.6333,,0.0001,,0.0001,,0.0073,,0.0073,1.6407,8.0073,9.648,0,,,,8.0073,,8.0073
2,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330105,拱墅区,杭州市,119,,,0.1139,1.2757,钱塘江,,1.3896,,0,,0,,0.006,,0.006,1.3956,0,1.3956,0,,,,,,0
3,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330106,西湖区,杭州市,115.9,,0,0.0026,1.2245,钱塘江,,1.2271,,0,,0,,,,0,1.2271,0,1.2271,0,,,,,,0
4,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330106,西湖区,杭州市,147.1,,0.1723,0.3517,0,,,0.524,,0,,0,,,,0,0.524,3.1999,3.7239,0,,,,3.1999,,3.1999
5,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330108,滨江区,杭州市,73,,0.0108,0.7522,,,,0.763,,0,,0,0.004,0.0028,,0.0068,0.7698,1.884,2.6538,0,,,1.884,,,1.884
6,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330109,萧山区,杭州市,9,,0,0.0223,,,,0.0223,,0,,0,,,,0,0.0223,0,0.0223,0,,,,,,0
7,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330109,萧山区,杭州市,363.4,,0.4423,1.3804,,,,1.8227,,0,,0,,,,0,1.8227,0.208,2.0307,0,,,0.208,,,0.208
8,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330109,萧山区,杭州市,363.6,,1.0321,2.0375,,,,3.0696,,0,,0,0.0263,,,0.0263,3.0959,8.8282,11.9241,0,,,8.8282,,,8.8282
9,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330110,余杭区,杭州市,13.5,,,,,,,0,,0,,0,,,,0,0,0,0,0,,,,,,0
10,长江,太湖水系,湖西及湖区,东苕溪,F120120,330110,余杭区,杭州市,555.3,0.1192,0.1743,0.7326,0.6217,钱塘江,,1.6478,,0,,0,,,,0,1.6478,0,1.6478,0,,,,,,0
11,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330110,余杭区,杭州市,367.2,,0.3668,0.2553,1.0283,钱塘江,,1.6504,,0,,0,0.056,,,0.056,1.7064,0,1.7064,0,,,,,,0
12,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330111,富阳区,杭州市,1760.1,0.0271,0.9789,1.8175,,,,2.8235,0.0003,0,,0.0003,0.0805,,,0.0805,2.9043,1.1024,4.0067,0,,,1.1024,,,1.1024
13,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330111,富阳区,杭州市,47.9,0.0003,0,0.0359,,,,0.0362,0,0,,0,,,,0,0.0362,0,0.0362,0,,,,,,0
14,长江,太湖水系,湖西及湖区,东苕溪,F120120,330112,临安区,杭州市,845,0.4418,0.5057,0.0507,0.1273,钱塘江,,1.1255,0.0006,0,,0.0006,0.0285,0.003,,0.0315,1.1576,0,1.1576,0,,,,,,0
15,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330112,临安区,杭州市,2279,0.4559,0.4026,0.0304,,,,0.8889,,0,,0,,,,0,0.8889,0,0.8889,0,,,,,,0
16,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330113,临平区,杭州市,286,,,0.6827,1.2961,钱塘江,,1.9788,,0,,0,0.0211,,,0.0211,1.9999,3.624,5.6239,0,,3.54,0.084,,,3.624
17,东南诸河,钱塘江,富春江坝址以上,兰江及富春江上游段,G010160,330122,桐庐县,杭州市,146.5,0.0086,0.0053,0.0038,,,,0.0177,,0,,0,,,,0,0.0177,0,0.0177,0,,,,,,0
18,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330122,桐庐县,杭州市,1633.5,0.6723,0.524,0.3793,,,,1.5756,0.0063,0,,0.0063,0.0425,0.0001,,0.0426,1.6245,0,1.6245,0,,,,,,0
19,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330127,淳安县,杭州市,16.4,0,0.0005,0.0004,,,,0.0009,,0,,0,,,,0,0.0009,0,0.0009,0,,,,,,0
20,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330127,淳安县,杭州市,4369.3,0.8717,0.5003,0.0538,,,,1.4258,,0,,0,0.0411,,,0.0411,1.4669,0,1.4669,0,,,,,,0
21,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330127,淳安县,杭州市,66.3,0,0.0187,0.0021,,,,0.0208,,0,,0,,,,0,0.0208,0,0.0208,0,,,,,,0
22,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330155,钱塘区,杭州市,104.7,,,0.0514,0.8509,钱塘江,,0.9023,,0,,0,,0.0003,,0.0003,0.9026,1.1009,2.0035,0,,,,1.1009,,1.1009
23,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330155,钱塘区,杭州市,427,,0.8929,1.1408,,,,2.0337,,0,,0,0.121,0.0059,,0.1269,2.1606,0,2.1606,0,,,,,,0
