水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计,col_37,col_38,zjszyreport,12.0
200,,,,,,,,合计,110034.3,4152.0788,1816.5012,5968.58,1993.3315,26455.7768,33336.7255,63157.1229,558.2322,16198.0342,6068.2995,23308.5459,3992.8,2545.735,3054.15,2167.9094,1613.1657,258.708,134.631,2006.3958,660.1812,90.0077,116.698,1.185,115.3132,36.0123,2531.2232,2567.194,,,,
,,,,,,,,合计,,,,105.5,,,,711.9200000000001,,,,268.08,,,,,,,,36.356,,,,,,,,,,,,
