序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计,col_37,col_38,zjszyreport,12.0
70,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330402,南湖区,嘉兴市,439,73.55,10.39,83.94,13.4,350.47,433.98,797.85,10.88,284.14,,295.02,0,10,33.21,24.34,13.39,2.74,3.84,19.97,10.0413,,0.69,,0.78,0,82.4882,82.4882,,,,
71,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330411,秀洲区,嘉兴市,548,45.29,22.63,67.92,14.17,338.91,351.45,704.53,6.36,297.79,,304.15,0,20.3,43.44,33.98,23.65,3.02,0.69,27.36,14.7931,,,,2.29,0.1343,46.9671,47.1014,,,,
72,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330421,嘉善县,嘉兴市,507,47.36,17.46,64.82,22.1,347.98,285.69,655.77,4.76,311.63,,316.39,0,11.1,39.86,33.6,29.67,1.09,0.02,30.78,14.4065,,0.45,,3.52,0.0003,29.6368,29.6371,,,,
73,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330424,海盐县,嘉兴市,530.8,29.79,15.89,45.68,17.83,313.74,212.95,544.52,123.32,151.5,15.96,290.78,0,498.1,38.92,33.45,27.892,4.3,1,33.192,14.0831,0.09,3.3,,1.91,,476.3323,476.3323,,,,
74,东南诸河,钱塘江,富春江坝址以下,钱塘江河口水域,G010250,330424,海盐县,嘉兴市,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
75,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330481,海宁市,嘉兴市,730.4,75.28,32.34,107.62,18.61,574.81,437.36,1030.78,5.01,504.45,,509.46,0,13.8,49.68,43.83,30.275,2.72,3.41,36.405,12.1745,,3.08,,2.19,0,297.4547,297.4547,,,,
76,东南诸河,钱塘江,富春江坝址以下,钱塘江河口水域,G010250,330481,海宁市,嘉兴市,132.6,,,0,,,,0,,,,0,,,,,,,,0,,,,,,,,0,,,,
77,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330482,平湖市,嘉兴市,554,44.96,22.17,67.13,14.16,452.98,311.86,779,26.22,395.98,,422.2,530,18.2,43.85,34.69,23.19,3.17,1.78,28.14,18.8307,,,,1.42,0.0047,43.4817,43.4864,,,,
78,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330483,桐乡市,嘉兴市,727,69.06,33.92,102.98,24.17,481.42,497.39,1002.98,10.93,410.68,,421.61,0,59.75,58.39,47.17,23,8.46,12.42,43.88,13.1934,,0.57,,2.54,0,197.2692,197.2692,,,,
