序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查,col_47,col_48,zjszyreport,12.0
148,东南诸河,浙东诸河,舟山群岛,舟山群岛,G020210,330902,定海区,舟山市,572,0.0421,0.0019,0.0268,0.0708,,0.0002,0.0002,0,0.015,0.0024,0.0066,0.0244,,0.0144,0,0.1824,0.0582,0.255,0.0003,0.0228,0.0906,0.1134,,0.1642,0.0511,0.2153,0,0.0095,,0.0095,,0.6884,0.0003,,0.6884,0,0,,,,
149,东南诸河,浙东诸河,舟山群岛,舟山群岛,G020210,330903,普陀区,舟山市,462,0.0246,0.004,0.0321,0.0607,,0.0003,0.0015,0,0.0159,0.0007,0.0018,0.0202,,0.0213,0,0.1497,0.0045,0.1755,0,0.0035,0.0939,0.0974,0.0001,0.1424,0.0503,0.1927,0,0.0013,,0.0013,,0.5478,0.0001,,0.5478,0,0,,,,
150,东南诸河,浙东诸河,舟山群岛,舟山群岛,G020210,330921,岱山县,舟山市,325,0.0219,0.0072,0.0236,0.0527,,0,0.0005,0,0.0105,0.001,0.0017,0.0137,,,,0.6476,0.0135,0.6611,0,0.039,0.0122,0.0512,,0.058,0.0224,0.0804,0,0.0155,,0.0155,,0.8746,0,,0.8746,0,0,,,,
151,东南诸河,浙东诸河,舟山群岛,舟山群岛,G020210,330922,嵊泗县,舟山市,97,0,0,0.0004,0.0004,,0,0,0,0,0.0001,0.0002,0.0003,,,,0.0004,0.0028,0.0032,0.0004,0.0008,0.0065,0.0073,,0.0193,0.0065,0.0258,0.0038,0,,0,,0.037,0.0042,,0.037,0,0,,,,
