序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
115,金华市,东阳市,富春江坝址以下,曹娥江百官以上,3,166.5,0,2.4853,2.4853,0.17,1.21,0.57,1.95,0,0.64,0.48,1.12,0,0,2.96,1.47,0.89,0.23,0.25,1.37,0.84,0.28,0,0,0.03,0.06,1.84,1.9,0.0385,0.0145,0.0008,0,,0,0.0538,0,0,0,0,0,0,0,0,0.0538,0,0.0295,0.0018,0.0019,0.0332,0,0.002,0,0,0.0022,0.0001,0.0013,0.0056,0,0,0,0,0.0078,0.0078,0,0,0,0,0,0,0.0067,0.0067,0,0,0.0005,0.0005,0,0.0538,0,0,0.0538,0.0538,0.0538,0,,,,,,,,,,,,,,,,,,,,,,,
116,金华市,东阳市,瓯江温溪以上,大溪,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
117,金华市,义乌市,富春江坝址以上,金华江上游,3,349.1,84.9566,24.3772,109.3338,16.15,286.98,707.06,1010.19,0,110.54,105.66,216.2,0,0,14.39,12.47,4.8501,2.9,3.04,10.7901,2.65,1.91,0,0,0.55,0,2.61,2.61,0.6599,0.5,0.1966,0,,0,1.3565,0,0,0,0,0.0914,0.0031,0,0.0945,1.451,0.2582,0.1733,0.0303,0.0236,0.2272,0,0.0059,0.0046,0,0.04,0,0.001,0.0515,0,0,0,0.3317,0.2358,0.5675,0,0.028,0.1071,0.1351,0,0.3271,0.0715,0.3986,0,0.0669,0.0042,0.0711,0,1.451,0,0.2582,1.7092,1.451,1.451,0,,,,,,,,,,,,,,,,,,,,,,,
118,金华市,义乌市,富春江坝址以上,金华江下游,3,491.7,38.106,5.2465,43.3525,4.04,71.75,176.77,252.56,0,20.19,57.45,77.64,0,0,11.88,8.179,2.6,2.9,1.02,6.52,1.61,1.76,0,0,0.49,0,2.36,2.36,0.5659,0,0.0109,0,,0,0.5768,0,0,0,0,0.0442,0.0011,0,0.0453,0.6221,0,0.0953,0.0344,0.0205,0.1502,0,0.0047,0.0042,0,0.0321,0,0.001,0.042,0,0,0,0.0606,0.1282,0.1888,0,0.0043,0.0453,0.0496,0,0.139,0.0154,0.1544,0,0.0287,0.0084,0.0371,0,0.6221,0,0,0.6221,0.6221,0.6221,0,,,,,,,,,,,,,,,,,,,,,,,
119,金华市,义乌市,富春江坝址以下,浦阳江,3,264.2,25.0758,8.1769,33.2527,3.57,63.3,155.98,222.85,0,33.97,45.89,79.86,0,0,6.32,5.319,2.53,2.71,0.99,6.23,1.53,1.8,0,0,0.075,0.0095,10.35,10.3595,0.44681,0,0.0202,0,,0,0.467,0,0,0,0,0.0698,0,0,0.0698,0.5368,0,0.0732,0.0513,0.0134,0.1379,0,0.0042,0.0046,0,0.0021,0,0.0039,0.0148,0,0,0,0.1019,0.1024,0.2043,0,0.0118,0.0026,0.0144,0,0.0793,0.0205,0.0998,0,0.0618,0.0038,0.0656,0,0.5368,0,0,0.5368,0.5368,0.5368,0,,,,,,,,,,,,,,,,,,,,,,,
120,金华市,永康市,富春江坝址以上,金华江上游,3,92.6,0,0.1311,0.1311,0.61,15,9.83,25.44,0,2.49,2.38,4.87,0,0,0.81,0.64,0.26,1.21,0.23,1.7,0.16,0.12,0,0,0.07,0,0.08,0.08,0.0516,0.0029,0.0039,0,,0,0.0584,0.0004,0,0,0.0004,0,0,0,0,0.0588,0,0.0079,0.0205,0.0013,0.0297,0,0.003,0,0,0.0073,0,0.0001,0.0104,0.0004,0,0,0,0.0006,0.0006,0,0,0,0,0,0,0.0006,0.0006,0,0,0.0175,0.0175,0,0.0588,0.0004,0,0.0588,0.058800000000000005,0.0588,0,,,,,,,,,,,,,,,,,,,,,,,
121,金华市,永康市,富春江坝址以上,金华江下游,3,934.9,62.6365,31.3244,93.9609,7.88,307.58,277.32,592.78,0.5154,150.53,143.75,294.7954,0,1.5,34.23,23.22,7.41,11.25,1.9,20.56,6.86,3.97,0,0,1.29,0.03,2.26,2.29,1.5457,0.0307,0.0733,0,,0,1.6497,0.0061,0,0,0.0061,0.0086,0.0113,0,0.0199,1.6757,0,0.2183,0.1124,0.0171,0.3478,0,0.0336,0,0,0.0922,0.0001,0.002,0.1279,0.0012,0,0.0048,0.3256,0.0957,0.4261,0.0001,0.0012,0.062,0.0632,0.0048,0.2061,0.0873,0.2934,0,0.2238,0.1935,0.4173,0,1.6757,0.0061,0,1.6757,1.6757,1.6757,0,,,,,,,,,,,,,,,,,,,,,,,
122,金华市,永康市,瓯江温溪以上,大溪,3,19.5,1.2198,1.1085,2.3283,0.5,12.74,8.33,21.57,0,6.06,5.77,11.83,0,0,0.26,0.22,0.02,1.47,0.33,1.82,0.14,0.26,0,0,0.27,0,0.09,0.09,0.021,0.0021,0.0022,0,,0,0.0253,0.0001,0,0,0.0001,0,0,0,0,0.0254,0,0.0006,0.0116,0.0013,0.0135,0,0.0016,0,0,0.0018,0,0.0001,0.0035,0.0001,0,0,0,0.0012,0.0012,0,0.0001,0.0008,0.0009,0,0.0036,0.0026,0.0062,0,0,0.0001,0.0001,0,0.0254,0.0001,0,0.0254,0.025400000000000002,0.0254,0,,,,,,,,,,,,,,,,,,,,,,,
123,金华市,浦江县,富春江坝址以下,富春江下游段,3,400.6,3.4583,3.9859,7.4442,1.06,7.92,17.21,26.19,0,5.65,1.71,7.36,0,0,6.14,4.669,1.33,0.93,0.1,2.36,0.81,0.12,3.1,0,0.04,0.24,1.12,1.36,0.1023,0.0183,0.0078,0,,0,0.1284,0,0,0,0,0,0,0,0,0.1284,0,0.0307,0.0078,0.0008,0.0393,0,0.0001,0.0221,0,0.0104,0.0006,0.0004,0.0336,0,0,0,0.014,0.0056,0.0196,0,0.0018,0.003,0.0048,0,0.0139,0.0118,0.0257,0,0.0023,0.0031,0.0054,0,0.1284,0,0,0.1284,0.1284,0.1284,0,,,,,,,,,,,,,,,,,,,,,,,
124,金华市,浦江县,富春江坝址以下,浦阳江,3,517.4,17.4691,21.1593,38.6284,10.34,89.12,108.81,208.27,0,56.78,19.26,76.04,0,0,17.92,15.758,14.21,1.19,0.54,15.94,4.95,0.09,4.49,0,0.11,0.62,4.65,5.27,0.7632,0.0698,0.038,0,,0,0.871,0,0,0,0,0,0,0,0,0.871,0,0.3195,0.0103,0.0042,0.334,0,0.0002,0.0182,0,0.0135,0.0016,0.0011,0.0346,0,0,0,0.1899,0.077,0.2669,0,0.0191,0.03,0.0491,0,0.0888,0.0814,0.1702,0,0.0126,0.0036,0.0162,0,0.871,0,0,0.871,0.8710000000000001,0.871,0,,,,,,,,,,,,,,,,,,,,,,,
