序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
100,绍兴市,嵊州市,富春江坝址以下,曹娥江百官以上,2,1779.2,40,28.8,68.8,41.8071,294.6371,321.9466,658.3908,3.2845,130.6151,121.5992,255.4988,0,11.95,67.29,59.84,55.39,0,1.51,56.9,15.1,1.275,2.49,0,0.23,0.12,80.7,80.82,0.9213,1.3016,0.1578,0,,0,2.3807,0.0377,0,0,0.0377,0.0678,0,0,0.0678,2.4862,0,1.4273,0,0.0032,1.4305,0.0027,0.0112,0.0197,0,0.0272,0.0004,0.053,0.1115,0,0,0.0415,0.1117,0.1614,0.3146,0.0178,0.0329,0.1115,0.1444,0.0094,0.2386,0.1578,0.3964,0.0078,0.0771,0.0117,0.0888,0,2.4862,0.0377,0,2.4862,2.4861999999999997,2.4862,0,315.13698630136986,161.2442922374429,,,,,,,,
101,绍兴市,嵊州市,浙东沿海诸河,奉化江及甬江干流,2,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
102,绍兴市,新昌县,富春江坝址以下,曹娥江百官以上,2,1207.6,25.7,15,40.7,23.5781,260.9937,232.8314,517.4032,1.5023,157.3444,73.361,232.2077,0,4.2,42.44,20.09,15.26,1.37,3.46,20.09,4.4,1.11,0.3,0,0.19,0.11,17.4,17.51,0.714,0.3419,0.2954,0,,0,1.3513,0.0052,0,0,0.0052,0.0445,0,0,0.0445,1.401,0,0.6699,0.0166,0.0339,0.7204,0.0005,0.0104,0.0033,0,0.0264,0.0004,0.0114,0.0519,0,0,0.0256,0.1693,0.041,0.2359,0.0001,0.0197,0.0689,0.0886,0,0.1487,0.0816,0.2303,0.0046,0.0616,0.0123,0.0739,0,1.401,0.0052,0,1.401,1.401,1.401,0,318.6397313576036,171.50684931506854,,,,,,,,
103,绍兴市,新昌县,浙东沿海诸河,奉化江及甬江干流,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
104,绍兴市,新昌县,瓯江温溪以下,始丰溪,2,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
,绍兴,绍北供水区,越城区,,,493,93.2,18.6,111.8,16.5767,495.5132,673.1667,1185.2566,5.2628,364.4168,1.9142,371.5938,2.4,4.8,32.27,29.68,18.95,7.58,2.45,28.98,7.1,3.15,1.61,0,3.1,0,8.7,8.7,1.3502,0.9693,0.8125,0,,0,3.132,0.0038,0,0,0.0038,0.0615,0,0,0.0615,3.1973,1.698,0.9524,0.1038,0.0187,1.0749,0.0008,0.0287,0.013,0,0.3872,0,0.0057,0.4346,0,0.0212,0.0495,0.6061,0.1207,0.7975,0,0.0723,0.1205,0.1928,0,0.4589,0.0837,0.5426,0.003,0.1328,0.0221,0.1549,0,3.1973,0.0038,1.698,4.8953,3.1973,3.1973000000000003,0,,1.7818,3.4798,0.8903,0.7975,1.5095,,,,
,绍兴,,柯桥区,,,1066,91.89999999999999,19.400000000000002,111.3,39.833600000000004,874.7138,833.4363000000001,1747.9837000000002,27.1454,517.7654,207.8537,752.7645,0,108.9,27.08,21.57,17.08,0,4.49,21.57,11.62,0.27,1.2,0,1.1,0.0069,13.3,13.3069,1.3702,1.0526,1.7615999999999998,0,,0,4.1844,0.0093,0,0,0.0093,0.1388,0,0,0.1388,4.3325,0,0.7232000000000001,0,0.041800000000000004,0.765,0.0003,0.0024,0.0095,0,0.1699,0.0001,0.0086,0.1905,0,0,0.4502,1.6424,0.1855,2.2781,0,0.0623,0.3003,0.3626,0,0.5217,0.1007,0.6224,0.009000000000000001,0.0989,0.015,0.1139,0,4.3325,0.0093,0,4.3325,4.3325000000000005,4.3325,0,,2.8141999999999996,2.8141999999999996,1.0989,2.2781,0.9555,,,,
,绍兴,,上虞区,,,1406,54.400000000000006,25.1,79.5,52.0201,571.0304,512.6261,1135.6766,12.505099999999999,449.0938,19.465899999999998,481.0648,0,15.9,50.629999999999995,35.150000000000006,22.950000000000003,10.04,2.16,35.150000000000006,22.799999999999997,0.14,0.1,0,0.8999999999999999,0.6100000000000001,26.6,27.21,1.0392000000000001,0.6592,0.4806,0.0395,,0,2.2184999999999997,0.0061,0,0,0.0061,0.0857,0,0,0.0857,2.3103,0,0.831,0.1212,0.0281,0.9803,0.0046,0.0013999999999999998,0.001,0,0.1242,0.002,0.017499999999999998,0.14609999999999998,0,0,0.1055,0.32530000000000003,0.1009,0.5317000000000001,0,0.03560000000000001,0.1356,0.1712,0,0.2808,0.10880000000000001,0.3896,0.0015,0.0788,0.0126,0.09140000000000001,0,2.3103,0.0061,0,2.3103,2.3103,2.3103,0,,1.1398000000000001,1.1398000000000001,0.6522,0.5317000000000001,1.1263999999999998,,,,
,绍兴,嵊新供水区,嵊州市,,,1789,40,28.8,68.8,41.8071,294.6371,321.9466,658.3908,3.2845,130.6151,121.5992,255.4988,0,11.95,67.29,59.84,55.39,0,1.51,56.9,15.1,1.275,2.49,0,0.23,0.12,80.7,80.82,0.9213,1.3016,0.1578,0,,0,2.3807,0.0377,0,0,0.0377,0.0678,0,0,0.0678,2.4862,0,1.4273,0,0.0032,1.4305,0.0027,0.0112,0.0197,0,0.0272,0.0004,0.053,0.1115,0,0,0.0415,0.1117,0.1614,0.3146,0.0178,0.0329,0.1115,0.1444,0.0094,0.2386,0.1578,0.3964,0.0078,0.0771,0.0117,0.0888,0,2.4862,0.0377,0,2.4862,2.4861999999999997,2.4862,0,,1.4594,1.4594,0.6295999999999999,0.3146,1.542,,,,
,绍兴,,新昌县,,,1214,25.7,15,40.7,23.5781,260.9937,232.8314,517.4032,1.5023,157.3444,73.361,232.2077,0,4.2,42.44,20.09,15.26,1.37,3.46,20.09,4.4,1.11,0.3,0,0.19,0.11,17.4,17.51,0.714,0.3419,0.2954,0,,0,1.3513,0.0052,0,0,0.0052,0.0445,0,0,0.0445,1.401,0,0.6699,0.0166,0.0339,0.7204,0.0005,0.0104,0.0033,0,0.0264,0.0004,0.0114,0.0519,0,0,0.0256,0.1693,0.041,0.2359,0.0001,0.0197,0.0689,0.0886,0,0.1487,0.0816,0.2303,0.0046,0.0616,0.0123,0.0739,0,1.401,0.0052,0,1.401,1.401,1.401,0,,0.6373,0.6373,0.39280000000000004,0.2359,0.7723,,,,
,绍兴,诸暨供水区,诸暨区,,,2311,76.5,45,121.5,53.5884,734.5059,758.5256,1546.6199,1.2529,314.8687,291.1318,607.2534,0,8.4,77.41,66.05,58.11,0,7.9399999999999995,66.05,22.599999999999998,0.56,0.61,0,3.4,0.3,39.3,39.6,1.1438,2.0119000000000002,0.4878,0,,0,3.6435,0.0077,0,0,0.0077,0.1058,0,0,0.1058,3.757,0,1.6685999999999999,0,0.062400000000000004,1.7309999999999999,0.0015,0.0055,0.0065,0,0.5321,0.001,0.0258,0.5709,0,0,0.0309,0.2569,0.1443,0.4321,0.0003,0.0593,0.22089999999999999,0.2802,0,0.3647,0.1854,0.5500999999999999,0.0059,0.1606,0.0321,0.1927,0,3.757,0.0077,0,3.757,3.7570000000000006,3.7569999999999997,0,,2.4997000000000003,2.4997000000000003,1.023,0.4321,2.3019,,,,
