功能区,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年合计
QT-153,5133.800167480231,5403.675782305339,5178.201546701017,5457.59754654961,5299.503844909525,5457.683738074322,5555.822751896915,4789.684671430692,5579.525667791175,4772.900329479127,5074.523215679983,5167.230106927667,62870.149369225604
QT-154,5900.536863745472,5866.517871295333,6002.235630390273,5253.653212091759,5307.231201000115,5040.436353507403,5265.983992700118,5356.24150884274,5754.145245396663,5692.121029919534,5791.694882635205,5533.662929970058,66764.46072149466
QT-155,12343.610935467115,11890.941826538983,11434.264412120474,11235.463574780679,11072.049403727606,11702.84652811489,11620.195739400155,11111.885314208543,11789.651848516445,11327.669576617813,11983.641239186538,11330.151121332932,138842.37152001215
QT-156,11509.547754585914,10432.3841045673,12047.742159752797,10237.596585130694,10436.404771588466,11520.152744520834,10827.854812736172,11676.107899153812,11199.579203584475,11638.518223672323,12167.77088567687,10874.818346239612,134568.47749120928
