功能区,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,年合计
SK-01,104314.56185402,106323.15629900806,104133.70861429999,103729.14414211936,104309.10750821614,104682.19519105,105037.24577626452,103519.70662717501,101908.37702663227,103818.90923758066,102499.47339729106,104235.26161035484,1248510.8472840118
SK-02,206233.44477359002,212095.3996214806,204886.5893037,207726.62426514196,206333.42908811616,207927.37896831997,206422.73747461935,208829.29426981002,209757.2904612097,205989.7863642,207754.49165467502,202511.80167868064,2486468.2679235437
