日期	平原产水	其他外供	河网供水	水库供水	合计来水	农业需水	其他生态需水	非农需水	需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	水位生态需水	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量	生态需水	总需水量	本地可供水量	展示本地可供水量
2026/03/03	252.5	178.9398	41.69699999999999	5.357	225.99380000000002	147.68	62.36999999999999	180.8438	328.52379999999994	-164.90000000000003	63315.57534246575	3619.576246265859	3454.676246265859	3623.8272462658592	3623.8272462658592	0.0	0.0	0.0	169.151	0.0	0.0	74231.66666666667	0.0	4.251000000000204	4.251000000000204	62315.17275373415	0.0	3623.8272462658592	62.36999999999999	390.89379999999994	225.99380000000002	221.74279999999993
2026/03/04	18.62	180.5308	27.35000000000001	5.357	213.23779999999996	147.68	62.36999999999999	180.8438	328.52379999999994	-177.65600000000003	63315.57534246575	3623.8272462658592	3446.1712462658593	3626.089246265859	3626.089246265859	0.0	0.0	0.0	179.91800000000003	0.0	0.0	74231.66666666667	0.0	2.2619999999997162	2.2619999999997162	62312.91075373415	0.0	3626.089246265859	62.36999999999999	390.89379999999994	213.23779999999996	210.9757999999999
2026/03/05	748.84	182.3208	23.052000000000007	5.357	210.72979999999995	147.68	62.36999999999999	180.8438	328.52379999999994	-180.16400000000002	63315.57534246575	3626.089246265859	3445.9252462658596	3628.1422462658593	3628.1422462658593	0.0	0.0	0.0	182.217	0.0	0.0	74231.66666666667	0.0	2.0530000000003383	2.0530000000003383	62310.85775373415	0.0	3628.1422462658593	62.36999999999999	390.89379999999994	210.72979999999995	208.67679999999993
2026/03/06	20.910000000000004	184.0868	19.317999999999998	5.357	208.76180000000002	147.68	62.36999999999999	180.8438	328.52379999999994	-182.13199999999995	63315.57534246575	3628.1422462658593	3446.0102462658588	3630.031246265859	3630.031246265859	0.0	0.0	0.0	184.02099999999996	0.0	0.0	74231.66666666667	0.0	1.888999999999669	1.888999999999669	62308.968753734145	0.0	3630.031246265859	62.36999999999999	390.89379999999994	208.76180000000002	206.87279999999998
2026/03/07	63.61	185.2918	16.541	5.357	207.1898	147.68	62.36999999999999	180.8438	328.52379999999994	-183.70399999999998	63315.57534246575	3630.031246265859	3446.327246265859	3631.789246265859	3631.789246265859	0.0	0.0	0.0	185.462	0.0	0.0	74231.66666666667	0.0	1.7580000000002656	1.7580000000002656	62307.21075373415	0.0	3631.789246265859	62.36999999999999	390.89379999999994	207.1898	205.43179999999995
2026/03/08	219.34	185.6758	15.040999999999997	5.357	206.07380000000006	147.68	62.36999999999999	180.8438	328.52379999999994	-184.82000000000005	63315.57534246575	3631.789246265859	3446.969246265859	3633.454246265859	3633.454246265859	0.0	0.0	0.0	186.48500000000004	0.0	0.0	74231.66666666667	0.0	1.6649999999999636	1.6649999999999636	62305.54575373415	0.0	3633.454246265859	62.36999999999999	390.89379999999994	206.07380000000006	204.4087999999999
2026/03/09	53.40000000000001	186.3658	13.451000000000002	5.357	205.1738	147.68	62.36999999999999	180.8438	328.52379999999994	-185.71999999999997	63315.57534246575	3633.454246265859	3447.734246265859	3635.044246265859	3635.044246265859	0.0	0.0	0.0	187.30999999999997	0.0	0.0	74231.66666666667	0.0	1.5899999999996908	1.5899999999996908	62303.955753734146	0.0	3635.044246265859	62.36999999999999	390.89379999999994	205.1738	203.58379999999997
2026/03/10	274.41999999999996	186.1818	12.998999999999997	5.357	204.53779999999998	147.68	62.36999999999999	180.8438	328.52379999999994	-186.35599999999994	63315.57534246575	3635.044246265859	3448.688246265859	3636.581246265859	3636.581246265859	0.0	0.0	0.0	187.89299999999994	0.0	0.0	74231.66666666667	0.0	1.537000000000262	1.537000000000262	62302.41875373415	0.0	3636.581246265859	62.36999999999999	390.89379999999994	204.53779999999998	203.0008
2026/03/11	1167.8600000000001	184.52179999999998	15.139000000000005	5.357	205.01779999999997	147.68	62.36999999999999	180.8438	328.52379999999994	-185.876	63315.57534246575	3636.581246265859	3450.705246265859	3638.1582462658594	3638.1582462658594	0.0	0.0	0.0	187.453	0.0	0.0	74231.66666666667	0.0	1.5770000000002256	1.5770000000002256	62300.841753734145	0.0	3638.1582462658594	62.36999999999999	390.89379999999994	205.01779999999997	203.44079999999994
2026/03/12	523.9699999999999	183.79579999999999	16.405	5.357	205.55780000000001	147.68	62.36999999999999	180.8438	328.52379999999994	-185.33599999999998	63315.57534246575	3638.1582462658594	3452.822246265859	3639.780246265859	3639.780246265859	0.0	0.0	0.0	186.958	0.0	0.0	74231.66666666667	0.0	1.6219999999998436	1.6219999999998436	62299.21975373415	0.0	3639.780246265859	62.36999999999999	390.89379999999994	205.55780000000001	203.93579999999994
