日期	平原产水	其他外供	河网供水	水库供水	合计来水	农业需水	其他生态需水	非农需水	需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	水位生态需水	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量	生态需水	总需水量	本地可供水量	展示本地可供水量	累积时段
2026/03/13	3375.2099999999996	2022.1778000000002	216.811	58.927	2297.9158	1624.4800000000005	686.0699999999999	1989.2818000000002	3613.7617999999993	-2001.916	696471.3287671234	39942.473708924445	37940.55770892445	39964.30670892444	39964.30670892444	0.0	0.0	0.0	2023.7490000000003	0.0	0.0	816548.3333333333	0.0	21.833000000000084	21.833000000000084	685364.6932910756	0.0	39964.30670892444	686.0699999999999	4299.831799999999	2297.9158	2276.082799999999	2026/03/03至2026/03/13
2026/03/14	3460.4799999999996	2207.2346000000002	231.871	64.284	2503.3896000000004	1772.1600000000005	748.4399999999999	2170.1256000000003	3942.2855999999992	-2187.336	759786.9041095892	43583.8829551903	41396.54695519031	43607.3309551903	43607.3309551903	0.0	0.0	0.0	2210.784	0.0	0.0	890779.9999999999	0.0	23.44800000000032	23.44800000000032	747660.6690448098	0.0	43607.3309551903	748.4399999999999	4690.725599999999	2503.3896000000004	2479.941599999999	2026/03/03至2026/03/14
2026/03/15	4028.7	2391.6654000000003	247.68900000000002	69.641	2708.9954000000002	1919.8400000000006	810.81	2350.9694000000004	4270.809399999999	-2372.624	823102.479452055	47226.90720145616	44854.283201456165	47251.98120145616	47251.98120145616	0.0	0.0	0.0	2397.698	0.0	0.0	965011.6666666665	0.0	25.07400000000007	25.07400000000007	809955.018798544	0.0	47251.98120145616	810.81	5081.619399999999	2708.9954000000002	2683.9213999999993	2026/03/03至2026/03/15
2026/03/16	4028.7	2576.7892	262.598	74.998	2914.3852	2067.5200000000004	873.18	2531.8132000000005	4599.333199999999	-2558.1279999999997	886418.0547945207	50871.55744772202	48313.429447722025	50898.23944772202	50898.23944772202	0.0	0.0	0.0	2584.81	0.0	0.0	1039243.3333333331	0.0	26.682000000000244	26.682000000000244	872247.7605522781	0.0	50898.23944772202	873.18	5472.5131999999985	2914.3852	2887.703199999999	2026/03/03至2026/03/16
2026/03/17	4028.7	2762.871	276.141	80.355	3119.367	2215.2000000000003	935.55	2712.6570000000006	4927.856999999999	-2744.0399999999995	949733.6301369865	54517.81569398788	51773.77569398788	54546.071693987884	54546.071693987884	0.0	0.0	0.0	2772.296	0.0	0.0	1113474.9999999998	0.0	28.256000000000313	28.256000000000313	934538.9283060123	0.0	54546.071693987884	935.55	5863.406999999998	3119.367	3091.110999999999	2026/03/03至2026/03/17
2026/03/18	4028.7	2949.8308	288.278	85.712	3323.8208000000004	2362.88	997.92	2893.5008000000007	5256.380799999999	-2930.4799999999996	1013049.2054794523	58165.647940253744	55235.16794025374	58195.433940253744	58195.433940253744	0.0	0.0	0.0	2960.2659999999996	0.0	0.0	1187706.6666666665	0.0	29.786000000000058	29.786000000000058	996828.5660597464	0.0	58195.433940253744	997.92	6254.300799999998	3323.8208000000004	3294.034799999999	2026/03/03至2026/03/18
2026/03/19	4069.0499999999997	3137.1466	299.495	91.069	3527.7106000000003	2510.56	1060.29	3074.344600000001	5584.904599999999	-3117.4839999999995	1076364.780821918	61815.010186519605	58697.5261865196	61846.279186519605	61846.279186519605	0.0	0.0	0.0	3148.7529999999997	0.0	0.0	1261938.3333333333	0.0	31.269000000000233	31.269000000000233	1059116.7208134807	0.0	61846.279186519605	1060.29	6645.194599999998	3527.7106000000003	3496.4415999999987	2026/03/03至2026/03/19
2026/03/20	5354.33	3323.9454	316.92900000000003	96.426	3737.3004	2658.24	1122.6599999999999	3255.188400000001	5913.428399999999	-3298.7879999999996	1139680.3561643837	65465.855432785465	62167.06743278546	65499.082432785464	65499.082432785464	0.0	0.0	0.0	3332.015	0.0	0.0	1336170.0	0.0	33.22699999999986	33.22699999999986	1121402.917567215	0.0	65499.082432785464	1122.6599999999999	7036.088399999998	3737.3004	3704.073399999999	2026/03/03至2026/03/20
2026/03/21	7533.9400000000005	3501.0832	370.42400000000004	101.783	3973.2902	2805.9199999999996	1185.0299999999997	3436.032200000001	6241.952199999999	-3453.6919999999996	1202995.9315068494	69118.65867905132	65664.96667905131	69157.80267905132	69157.80267905132	0.0	0.0	0.0	3492.836	0.0	0.0	1410401.6666666667	0.0	39.14400000000023	39.14400000000023	1183683.197320949	0.0	69157.80267905132	1185.0299999999997	7426.982199999998	3973.2902	3934.1461999999988	2026/03/03至2026/03/21
2026/03/22	7537.820000000001	3679.406	403.15000000000003	107.14	4189.696	2953.5999999999995	1247.3999999999996	3616.876000000001	6570.475999999999	-3628.1799999999994	1266311.506849315	72777.37892531719	69149.19892531718	72819.17592531719	72819.17592531719	0.0	0.0	0.0	3669.977	0.0	0.0	1484633.3333333335	0.0	41.797000000000025	41.797000000000025	1245960.8240746832	0.0	72819.17592531719	1247.3999999999996	7817.8759999999975	4189.696	4147.8989999999985	2026/03/03至2026/03/22
