功能区,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年合计
QT-153,15755.078995233533,16221.94503276584,15837.04878758933,16315.01885022482,16035.80796727871,16289.357874463447,16480.15033997978,15102.986570638073,16496.18033298176,15118.359921589574,15657.486410769492,15818.92213464656,191128.3432181609
QT-154,24027.637734462805,23935.336188533827,24272.115768516116,22416.45989612586,22515.373342002138,21863.811729127505,22438.355680760436,22672.772404748444,23666.696405003284,23508.780009796385,23751.12288601734,23112.05933858222,278180.5213836764
QT-155,41205.722935329584,40256.50578391047,39271.275990148264,38843.33586113423,38481.39828915502,39827.816955458955,39653.80834990804,38570.26080063417,40010.12214697132,39024.686406860725,40455.95479091571,39017.386174553365,474618.27448497975
QT-156,36436.47166250023,34254.713191764065,37473.01077986077,33869.907803063856,34289.07303098154,36453.778309641886,35081.17739820131,36746.99740883784,35826.816320731356,36676.07562201852,37704.83697681526,35173.564423583855,429986.4229280005
