功能区,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,年合计
SK-01,834516.49483216,850585.2503920645,833069.6689143999,829833.1531369549,834472.8600657291,837457.5615284,840297.9662101162,828157.6530174001,815267.0162130581,830551.2739006453,819995.7871783285,833882.0928828387,9988086.778272094
SK-02,1237400.6686415402,1272572.3977288841,1229319.5358222001,1246359.7455908516,1238000.574528697,1247564.27380992,1238536.4248477165,1252975.7656188603,1258543.742767258,1235938.7181852001,1246526.94992805,1215070.8100720842,14918809.607541261
