功能区,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,年合计
SK-01,5215.728092701,5316.157814950403,5206.685430715,5186.457207105967,5215.4553754108065,5234.1097595525,5251.862288813225,5175.98533135875,5095.418851331613,5190.945461879033,5124.973669864554,5211.763080517742,62425.542364200584
SK-02,10311.6722386795,10604.769981074032,10244.329465185001,10386.331213257097,10316.671454405807,10396.368948415999,10321.136873730968,10441.4647134905,10487.864523060485,10299.48931821,10387.72458273375,10125.590083934032,124323.41339617717
