功能区,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,年合计
SK-01,3129436.8556206,3189694.6889702417,3124011.2584289997,3111874.3242635806,3129273.225246484,3140465.8557314994,3151117.3732879353,3105591.1988152503,3057251.310798968,3114567.2771274196,3074984.201918732,3127057.8483106447,37455325.41852035
SK-02,4124668.8954718,4241907.992429612,4097731.7860739995,4154532.4853028385,4126668.581762323,4158547.5793664,4128454.7494923873,4176585.8853962,4195145.809224194,4119795.7272840003,4155089.8330935,4050236.0335736135,49729365.35847087
