# ============================================================
# 文件名称: in_dry_crop_area.txt
# 文件作用: 旱地作物种植面积
# 数据说明: 各灌区旱地作物种植面积和保证率配置（手动维护）
# 单位说明: 面积(km²)；保证率(50/75/90)
# 数据来源: 用户配置
# ============================================================
平原名称	灌溉保证率	小麦	油菜	蔬菜	瓜果	豆类	单季稻	双季稻
丰惠平原区	90	5.80	7.46	31.79	3.68	1.13	38.0190	27.4137
余姚平原上河区	90	20.14	3.71	37.27	1.84	3.27	30.0150	1.2673
余姚平原下河区	90	16.94	4.22	42.36	2.09	1.33	22.6113	21.2773
余姚平原姚江上游区	90	15.27	3.97	39.90	1.97	2.93	31.3490	9.0045
余姚平原姚江下游区	90	10.00	3.34	33.54	1.66	2.33	25.9463	10.9388
南沙平原区	90	47.76	26.83	183.82	0.98	8.27	118.5259	2.8014
姚江沿线大工业用水区	90	0.0	0.0	0.0	0.0	0.0	0	0
慈溪平原西河区	90	10.74	8.95	72.83	13.27	5.87	22.0110	0.2668
慈溪平原中河区	90	16.34	13.49	109.68	19.99	7.34	33.9503	0.9338
慈溪平原东河区	90	18.54	15.64	127.17	23.18	4.40	42.8881	2.0677
江北镇海平原区	90	18.54	6.76	30.83	1.35	3.27	31.6158	16.5416
海曙平原区	90	0.0	0.0	0.0	0.0	0.0	0	0
绍虞平原区	90	41.69	19.87	84.61	9.81	10.67	99.0495	41.2206
舟山大陆用水区	90	0.0	0.0	0.0	0.0	0.0	0	0
虞北平原上河区	90	26.61	9.81	41.78	4.84	5.00	42.8881	20.6103
虞北平原中河区	90	1.07	0.83	3.54	0.41	0.33	2.4679	4.2021
蜀山平原区	90	1.47	2.51	16.33	1.09	1.87	5.4694	0.1334
鄞州调水区	90	0.0	0.0	0.0	0.0	0.0	0	0
余姚平原马渚中河区	90	1.00	0.76	7.64	0.38	0.27	4.2021	5.7362
